,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,5757384.5,5660767.0,5715422.5,5722164.0,5633464.5
1,4451460.5,4524972.5,4483426.0,4512515.5,4395071.5
2,4096038.25,4136207.25,4172768.5,4443099.5,4197743.5
3,3790568.25,4042724.5,3953926.5,4061623.5,3955515.0
4,3837463.5,3862186.75,3891980.25,3901516.25,3931702.5
5,3511391.0,3671371.25,3697433.5,3719671.0,3730086.5
6,3485912.75,3337392.5,3449046.75,3438591.75,3750734.0
7,3255314.5,3248768.25,3331574.75,3381612.75,3354655.25
8,3121374.5,3172806.5,3302150.75,3302616.25,3184070.0
9,3244795.75,3004761.0,3082578.25,2962609.5,3157275.75
10,3028052.75,3000757.0,3188224.5,3023055.75,2966332.75
11,3041535.25,2878783.5,2987025.75,2915073.75,3078488.5
12,2766400.75,2955892.75,2874630.0,3001324.25,2856495.5
13,2841967.5,2790230.25,2791358.25,2799421.0,2789111.75
14,2691046.25,2611095.0,2693523.25,2819369.0,2872076.25
15,2910612.25,2689170.0,2679860.75,2640302.25,2793710.75
16,2567410.0,2473140.0,2876091.5,2615496.5,2725689.75
17,2730699.75,2513875.5,2521441.75,2386598.0,2803055.75
18,2565148.75,2494891.0,2333637.0,2490040.5,2345840.75
19,2367789.25,2423306.75,2218111.5,2419338.0,2513129.25
20,2195964.75,2410574.25,2435115.0,2511062.25,2171839.5
21,2359037.75,2222739.75,2360589.5,2383460.75,2316114.25
22,2068027.0,2156045.25,2104020.25,2514270.5,2536341.5
23,2246008.25,2097671.25,2152740.75,2286386.75,2260338.5
24,2132658.25,2092617.75,2027663.625,2219685.25,2088423.625
25,2280645.25,2241126.0,2269282.5,2129388.0,2121111.0
26,2178034.75,2031897.75,2027412.625,2017353.625,2175063.5
27,1935611.75,2122635.0,1995877.5,1993081.625,2034663.625
28,2160154.75,2194506.25,2114407.5,2067191.375,2046790.375
29,1928378.25,1967667.875,2042188.875,2042879.375,2099965.25
30,2313383.75,2031467.625,1895355.625,1996641.75,2099527.75
31,1938384.25,1901685.875,2168507.25,1897126.875,1886485.0
32,2435160.5,1839199.0,2051336.25,1922494.25,2016621.625
33,2098929.5,1757992.5,2166765.75,1910338.25,1973050.875
34,2136944.25,1751218.25,1798509.25,1750612.25,1980380.5
35,2100927.0,1771518.125,1781384.5,1822337.0,2032232.25
36,1959417.375,1835226.125,1707775.25,1909642.0,1912997.375
37,2116499.5,1575253.125,1656811.0,1898848.75,1867907.5
38,1908504.875,1712533.125,1741924.625,1804337.625,1930259.5
39,1903514.125,1636832.25,1819514.625,1687636.5,2035204.875
40,1868836.875,1588512.25,1802702.25,1784795.625,1803863.875
41,1716256.25,1528196.875,1727465.375,1633233.5,1819554.375
42,1805745.5,1552087.375,1798622.25,1598650.0,1676172.75
43,1719202.0,1557360.125,1711989.0,1630016.125,1605369.5
44,1894341.125,1600196.125,2039568.125,1520368.375,1863087.375
45,1593007.5,1649859.625,1803157.625,1572193.0,1719605.0
46,1693699.0,1680775.375,1733124.125,1877417.875,1860247.5
47,1590313.125,1633325.5,1649077.125,1742185.75,1875487.0
48,1448198.375,1525955.125,1608398.5,1567814.375,1708555.375
49,1755857.75,1765647.5,1840518.625,1816936.625,1813576.125
50,1641617.25,1530673.375,1776969.25,1543031.625,1997155.5
51,1742693.625,1733244.25,1688684.625,1720331.5,1720706.75
52,1613941.625,1729101.5,1709499.125,1681423.875,1740325.125
53,1703533.5,1761534.75,1665276.75,1653395.5,1576974.25
54,1561423.75,1691129.25,1542181.75,1718880.25,1659077.125
55,1538047.625,1593030.125,1517069.375,1664026.125,1658298.25
56,1745729.0,1725166.375,1554992.5,1685354.75,1636561.875
57,1696488.0,1807200.25,1594892.25,1719746.0,1559321.625
58,1676161.75,1569455.0,1546145.0,1659861.125,1609981.125
59,1542960.5,1674595.0,1503197.25,1560711.875,1668208.125
60,1520273.0,1549161.125,1534855.375,1604097.25,1594200.875
