,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,195416.4375,195977.390625,195710.46875,195379.59375,195516.546875
1,189618.046875,191451.53125,189385.328125,189772.8125,189499.0625
2,184281.859375,187515.375,183963.46875,185835.828125,184345.828125
3,179616.3125,181736.25,178961.8125,179039.53125,178922.4375
4,174251.15625,176712.8125,174527.609375,173395.734375,173560.09375
5,170008.546875,173320.34375,169466.171875,169595.265625,171206.78125
6,166166.203125,169302.453125,167584.375,166345.1875,169301.828125
7,162192.109375,166779.578125,162745.59375,162506.75,165528.40625
8,161402.15625,162261.0,163574.796875,163141.34375,164215.578125
9,159872.984375,163213.28125,160757.1875,163794.421875,161739.84375
10,159980.984375,162352.4375,162966.015625,165881.9375,160105.40625
11,159180.078125,163048.90625,162639.8125,161651.0,160248.796875
12,159900.59375,158908.0625,164325.875,161111.703125,159840.03125
13,157762.8125,160844.796875,160411.578125,159186.6875,158430.28125
14,158310.640625,161856.859375,160608.34375,158368.171875,161294.0
15,157824.078125,160032.34375,160836.375,157036.171875,159041.921875
16,156345.25,157769.828125,160591.234375,158972.25,156233.984375
17,155808.046875,158043.09375,160554.21875,157638.578125,155410.328125
18,155946.640625,156604.796875,157381.03125,156412.375,153898.328125
19,156411.0,156648.984375,157789.53125,154945.90625,156007.53125
20,155237.0,155111.390625,157799.984375,155926.46875,153505.328125
21,158394.640625,153631.046875,158955.46875,155906.828125,153889.546875
22,154490.796875,152945.3125,157335.3125,154921.578125,152938.28125
23,152170.046875,153366.046875,153350.34375,153672.078125,151443.265625
24,152668.234375,152814.96875,153156.390625,155784.484375,153121.96875
25,155811.15625,149474.828125,152966.90625,154045.78125,150520.359375
26,151301.640625,150885.484375,153096.515625,154419.25,149753.90625
27,149571.109375,151370.359375,151600.953125,153001.625,149642.578125
28,151994.90625,149296.25,153791.546875,152229.3125,147571.09375
29,153306.703125,148243.828125,150528.21875,152171.671875,147124.828125
30,151490.328125,149017.40625,151533.984375,151370.703125,146620.125
31,149642.25,148010.46875,152269.09375,151602.296875,146591.84375
32,149610.40625,146178.515625,149236.84375,152571.125,146145.53125
33,149368.125,146134.1875,151031.40625,147982.515625,144842.96875
34,148470.734375,145196.359375,147784.21875,149120.53125,145662.0
35,149128.453125,145354.640625,145905.296875,148611.25,147529.953125
36,147275.125,144923.046875,146085.890625,148277.4375,144270.625
37,148837.34375,149037.78125,144758.625,146027.09375,141328.5625
38,144398.21875,146936.84375,146377.015625,147756.375,141767.390625
39,144364.640625,149401.8125,144748.078125,145478.890625,143860.453125
40,147486.984375,149062.09375,146233.125,145237.34375,141730.234375
41,146304.546875,147628.515625,145660.90625,145424.546875,143510.171875
42,143178.578125,143707.953125,145560.953125,143811.203125,141949.09375
43,145243.375,144573.140625,147705.328125,141959.953125,144973.8125
44,144265.671875,145638.9375,142293.671875,143015.59375,141702.53125
45,143217.640625,142832.53125,145546.25,141711.328125,140722.21875
46,143167.046875,142983.09375,143372.40625,138854.859375,140504.375
47,144226.109375,142808.921875,141053.609375,139890.609375,141761.171875
48,142962.828125,142478.296875,143927.84375,139264.46875,139401.0
49,141810.71875,141835.1875,141016.828125,140735.796875,136575.9375
50,141461.953125,137435.25,140402.34375,139209.890625,138073.71875
51,141096.625,142611.375,142804.046875,136597.234375,134744.96875
52,138123.5625,142459.546875,139263.125,136141.59375,136180.671875
53,140859.859375,142458.40625,140404.734375,137838.890625,134744.71875
54,139642.640625,140520.125,140350.328125,137428.625,132278.125
55,141730.03125,141758.4375,140208.40625,137429.09375,134194.03125
56,141742.046875,134057.671875,139970.640625,137032.3125,132614.71875
57,137099.734375,137226.6875,139698.0625,137753.265625,128528.6640625
58,138132.125,141473.296875,139349.34375,135162.53125,139429.234375
59,137713.40625,139869.625,139812.4375,135010.96875,136893.0625
60,135951.515625,137392.703125,135617.125,132815.203125,136160.140625
61,134369.546875,136995.109375,140218.203125,134519.515625,132233.796875
62,137915.59375,137952.96875,137467.25,136191.28125,137432.9375
63,138855.734375,135100.53125,139288.921875,135030.015625,140021.234375
64,136373.875,134843.6875,132369.125,134066.234375,133044.859375
65,136633.515625,135666.59375,133320.421875,133492.328125,138083.25
66,135542.9375,135364.03125,133150.46875,131626.4375,138422.640625
67,136662.234375,131697.546875,137314.984375,133790.25,138673.71875
68,132746.796875,133451.1875,136902.265625,131479.296875,136319.828125
69,132357.65625,131242.734375,136877.4375,132042.9375,135997.34375
70,131653.203125,130566.9296875,137371.5625,131934.65625,134616.4375
71,131684.5625,132270.59375,136370.28125,129964.3359375,132904.71875
72,132701.796875,126623.9765625,135181.5625,129900.9921875,134171.34375
73,132715.546875,133777.984375,134003.671875,128693.8828125,130819.9140625
74,128304.9453125,136345.578125,132748.515625,127016.46875,129949.6875
75,129490.21875,130633.6796875,130881.5625,131994.65625,128084.8671875
76,132132.0625,129667.59375,130934.1796875,127939.8515625,128535.4453125
77,130058.71875,130869.671875,133899.640625,133501.15625,125923.5390625
78,128798.2421875,124593.734375,133282.0,134391.078125,125093.46875
79,124120.3671875,130263.96875,129908.2734375,134362.671875,122432.1640625
80,125192.1328125,133571.0625,129954.984375,130256.6875,123649.34375
