,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,838635904.0,838608192.0,838602304.0,838604544.0,838603584.0
1,838435968.0,838416384.0,838379968.0,838424768.0,838385088.0
2,838216896.0,838177408.0,838157120.0,838172032.0,838219200.0
3,837984064.0,837941760.0,837934976.0,837956096.0,837967296.0
4,837755840.0,837672832.0,837641024.0,837714048.0,837766272.0
5,837473600.0,837386112.0,837330560.0,837419136.0,837485312.0
6,837142912.0,837092032.0,837050688.0,837087616.0,837224704.0
7,836835328.0,836757120.0,836630784.0,836781952.0,836885440.0
8,836485504.0,836356352.0,836291520.0,836432320.0,836605568.0
9,836103616.0,835927168.0,835859456.0,836040320.0,836302656.0
10,835727488.0,835619328.0,835431744.0,835674304.0,835985984.0
11,835381120.0,835079104.0,834995456.0,835226304.0,835577280.0
12,834952704.0,834620416.0,834508032.0,834680704.0,835203008.0
13,834393472.0,834112832.0,833992960.0,834250112.0,834750528.0
14,833899072.0,833804992.0,833541888.0,833825024.0,834400256.0
15,833561856.0,833208448.0,833045376.0,833398912.0,834048128.0
16,833036416.0,832779584.0,832502720.0,832727296.0,833701184.0
17,832706944.0,832144448.0,832007680.0,832138816.0,833117952.0
18,831948224.0,831662784.0,831335360.0,831625152.0,832487808.0
19,831211776.0,831164864.0,830567488.0,831144512.0,831961152.0
20,830707392.0,830610624.0,830291392.0,830352640.0,831755712.0
21,830616384.0,829708544.0,829793792.0,829847552.0,831083456.0
22,829797184.0,829227904.0,828752000.0,829513472.0,830407040.0
23,829199616.0,828501888.0,828385920.0,828797184.0,829898176.0
24,828566016.0,828099840.0,827949248.0,827921472.0,829421568.0
25,827844032.0,827215232.0,827131776.0,827169920.0,828721152.0
26,827380800.0,826675328.0,826560384.0,826663744.0,828620032.0
27,826772416.0,826261184.0,826198912.0,826200768.0,827582208.0
28,825949184.0,825385152.0,824939136.0,825253120.0,827040448.0
29,825222912.0,824860224.0,824766144.0,824759872.0,826391424.0
30,824844864.0,823949952.0,824143104.0,824274176.0,825841984.0
31,824029312.0,823771520.0,823337920.0,823445504.0,825415744.0
32,823938880.0,822887936.0,822863552.0,822723968.0,824726656.0
33,822502080.0,821928768.0,822537344.0,821969728.0,824110848.0
34,821837504.0,821436992.0,821194752.0,821591808.0,823476224.0
35,821406912.0,820916096.0,820511360.0,820487168.0,822697856.0
36,820592448.0,820292096.0,819958656.0,820162944.0,822177024.0
37,819779520.0,819630464.0,819474368.0,819160768.0,821317056.0
38,819835648.0,818551744.0,818829184.0,818228416.0,821123136.0
39,818874048.0,817949376.0,818383104.0,817824320.0,820291328.0
40,817941248.0,817184384.0,817744320.0,817485824.0,820192320.0
41,817581952.0,817203520.0,816783488.0,817223296.0,819144256.0
42,816766656.0,816086528.0,816065472.0,815649152.0,818330944.0
43,816169216.0,815562944.0,815591552.0,815315456.0,817782976.0
44,815042432.0,814842560.0,815026368.0,814997312.0,817088512.0
45,814574784.0,813843392.0,814464256.0,814191552.0,816404160.0
46,813975616.0,813220224.0,813515264.0,813549120.0,815914432.0
47,813577600.0,812564864.0,812755456.0,813066496.0,814782208.0
48,812428480.0,811719872.0,812325568.0,812320960.0,813640128.0
49,812565696.0,811397312.0,811347584.0,811264000.0,813878208.0
50,811771584.0,810380608.0,811408832.0,811266176.0,813240576.0
51,810580544.0,809826944.0,810139968.0,810224704.0,811945600.0
52,809894592.0,809063936.0,809818624.0,809869312.0,811162560.0
53,809258496.0,808388352.0,808828160.0,809136512.0,811116160.0
54,809096640.0,807903616.0,808302272.0,808261056.0,810230144.0
55,807852608.0,807415424.0,807575616.0,807498816.0,809915776.0
56,807916864.0,806436992.0,806679616.0,807221504.0,808385472.0
57,806979840.0,806724672.0,805911616.0,806035584.0,807733824.0
58,806553344.0,805313024.0,805835136.0,805862976.0,808062592.0
59,805463616.0,805497344.0,804847488.0,804940480.0,806325888.0
60,804728832.0,804013376.0,804739200.0,803969344.0,806342720.0
61,804496640.0,803646720.0,803341952.0,803520000.0,805699136.0
62,803833152.0,802671424.0,804098240.0,803219904.0,804634752.0
63,803089600.0,802175680.0,802564800.0,802613888.0,804322240.0
64,802002688.0,802344128.0,801832512.0,802389248.0,803201920.0
65,801930304.0,800929280.0,801240512.0,801368640.0,802511232.0
66,800953152.0,800638272.0,800475136.0,800291584.0,801754368.0
67,799886016.0,799706240.0,799911168.0,800171968.0,801175872.0
68,799434688.0,799073088.0,799542080.0,799092800.0,800073728.0
69,798827200.0,799015744.0,798242304.0,798685056.0,800871872.0
70,798708416.0,797594496.0,797994176.0,797859712.0,799090560.0
71,797018944.0,797680704.0,798245888.0,797114752.0,799464640.0
72,797853184.0,797161280.0,796326080.0,796356864.0,797766400.0
73,795897664.0,796692608.0,796025984.0,796201536.0,797432448.0
74,795411776.0,795523392.0,795355328.0,795326272.0,796260224.0
75,794916800.0,794536576.0,794566848.0,794519360.0,796177216.0
76,795422848.0,794071424.0,794021248.0,796727040.0,795702272.0
77,794500992.0,793688768.0,793634112.0,793736960.0,795109888.0
78,792861184.0,793548608.0,793127680.0,793077760.0,794557440.0
79,793659328.0,792424192.0,792490368.0,792051968.0,792921600.0
80,791535872.0,791711872.0,791547456.0,791266112.0,792493504.0
81,791973120.0,790772800.0,791318272.0,790846400.0,791471808.0
82,790532416.0,790932160.0,790892416.0,790396032.0,790577536.0
83,790210880.0,789262592.0,789629184.0,789834240.0,791281856.0
84,789501440.0,790003264.0,788950848.0,789277696.0,790384256.0
85,788826688.0,788188160.0,788786368.0,788633920.0,789200000.0
86,788282496.0,787520960.0,788067328.0,787653504.0,788783680.0
87,788563776.0,787944256.0,787227648.0,787071872.0,787817536.0
