,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,25267617792.0,25266878464.0,25266440192.0,25266374656.0,25272717312.0
1,25157001216.0,25155866624.0,25164046336.0,25158795264.0,25157806080.0
2,25029335040.0,25027522560.0,25038671872.0,25025097728.0,25037340672.0
3,24881227776.0,24876374016.0,24888096768.0,24883496960.0,24889012224.0
4,24707090432.0,24716591104.0,24728131584.0,24724703232.0,24732399616.0
5,24553449472.0,24534956032.0,24559742976.0,24545574912.0,24568201216.0
6,24358391808.0,24365103104.0,24395202560.0,24349886464.0,24380612608.0
7,24175243264.0,24153278464.0,24205674496.0,24192512000.0,24220293120.0
8,23946932224.0,23963832320.0,23976001536.0,23992020992.0,23982528512.0
9,23759439872.0,23744174080.0,23798362112.0,23783104512.0,23806377984.0
10,23573936128.0,23554512896.0,23582466048.0,23558602752.0,23565633536.0
11,23378571264.0,23350151168.0,23370897408.0,23394789376.0,23353217024.0
