,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,38118567936.0,38120198144.0,38119108608.0,38120972288.0,38119800832.0
1,38078738432.0,38081626112.0,38082031616.0,38082682880.0,38083047424.0
2,38033702912.0,38031089664.0,38032723968.0,38036267008.0,38034219008.0
3,37978767360.0,37979721728.0,37978984448.0,37979725824.0,37979996160.0
4,37905575936.0,37908869120.0,37912207360.0,37910118400.0,37906788352.0
5,37819486208.0,37823422464.0,37830410240.0,37835235328.0,37827989504.0
6,37740150784.0,37738061824.0,37745455104.0,37730717696.0,37747986432.0
7,37627351040.0,37649444864.0,37636800512.0,37640851456.0,37612675072.0
8,37535793152.0,37523668992.0,37524029440.0,37519155200.0,37521620992.0
9,37431164928.0,37425516544.0,37389844480.0,37423726592.0,37450571776.0
10,37291323392.0,37295964160.0,37299621888.0,37289771008.0,37305024512.0
11,37153636352.0,37163606016.0,37181796352.0,37194387456.0,37189156864.0
12,37039112192.0,37045735424.0,37032013824.0,37077766144.0,37082619904.0
13,36919103488.0,36943925248.0,36924162048.0,36943945728.0,36951121920.0
14,36811456512.0,36835463168.0,36807987200.0,36797607936.0,36805857280.0
15,36640944128.0,36660133888.0,36645052416.0,36656279552.0,36689502208.0
16,36499075072.0,36543291392.0,36508934144.0,36556144640.0,36569219072.0
17,36417146880.0,36433379328.0,36390141952.0,36436344832.0,36448374784.0
18,36266549248.0,36319592448.0,36298145792.0,36321038336.0,36316102656.0
19,36155494400.0,36180484096.0,36162187264.0,36133101568.0,36109873152.0
20,35999641600.0,36047536128.0,35968659456.0,36004806656.0,35986141184.0
21,35912708096.0,35857006592.0,35831975936.0,35876589568.0,35872206848.0
22,35741855744.0,35770257408.0,35751886848.0,35778891776.0,35812904960.0
23,35594027008.0,35613888512.0,35631288320.0,35652194304.0,35633815552.0
24,35486932992.0,35507355648.0,35527204864.0,35426930688.0,35492777984.0
25,35280076800.0,35402379264.0,35406360576.0,35430248448.0,35370766336.0
26,35240316928.0,35262136320.0,35195817984.0,35205804032.0,35296972800.0
27,35106365440.0,35112747008.0,35095379968.0,35086872576.0,35118456832.0
28,34936913920.0,35034955776.0,34974183424.0,35002200064.0,34993192960.0
29,34801287168.0,34854891520.0,34798739456.0,34841116672.0,34847313920.0
30,34755067904.0,34762108928.0,34722045952.0,34635751424.0,34770608128.0
31,34494373888.0,34566332416.0,34571522048.0,34583556096.0,34604634112.0
32,34401550336.0,34437255168.0,34393329664.0,34480300032.0,34422988800.0
33,34320244736.0,34369863680.0,34338416640.0,34294697984.0,34314260480.0
34,34186510336.0,34191888384.0,34209193984.0,34218487808.0,34346637312.0
35,34124136448.0,34077218816.0,34071939072.0,34072383488.0,34106769408.0
36,33954865152.0,34070073344.0,34078576640.0,33918906368.0,34025170944.0
37,33888970752.0,33975742464.0,33864452096.0,33808154624.0,33812398080.0
38,33685286912.0,33731145728.0,33710346240.0,33750548480.0,33726726144.0
39,33640280064.0,33549752320.0,33706207232.0,33595527168.0,33537280000.0
40,33541036032.0,33520353280.0,33527201792.0,33528352768.0,33448816640.0
41,33379778560.0,33403170816.0,33440841728.0,33325797376.0,33357334528.0
42,33224759296.0,33203910656.0,33448030208.0,33248151552.0,33326534656.0
43,33097867264.0,33166764032.0,33211105280.0,33073270784.0,33223706624.0
44,33077035008.0,33105152000.0,33123518464.0,33112776704.0,33072136192.0
45,32900919296.0,32917841920.0,33017600000.0,32929908736.0,33025028096.0
46,32804141056.0,32866711552.0,32939524096.0,32755210240.0,32806658048.0
47,32707463168.0,32725575680.0,32715839488.0,32772483072.0,32742846464.0
48,32597227520.0,32603717632.0,32709152768.0,32583383040.0,32491595776.0
49,32534870016.0,32560347136.0,32558155776.0,32515526656.0,32486875136.0
50,32620378112.0,32480008192.0,32392749056.0,32341000192.0,32408774656.0
51,32261990400.0,32330452992.0,32441296896.0,32266321920.0,32240113664.0
52,32241094656.0,32135419904.0,32207060992.0,32324364288.0,32229513216.0
53,32233689088.0,32092065792.0,32200251392.0,32011317248.0,32102297600.0
54,31909597184.0,31995947008.0,31948369920.0,31998201856.0,31939667968.0
55,31873992704.0,31978237952.0,32006838272.0,31900303360.0,32006637568.0
56,31814086656.0,31818379264.0,31867609088.0,31823042560.0,31903623168.0
57,31760623616.0,31741683712.0,31682142208.0,31796869120.0,31801698304.0
58,31767117824.0,31615186944.0,31638974464.0,31500873728.0,31634870272.0
59,31628343296.0,31593850880.0,31540977664.0,31454099456.0,31564091392.0
60,31415828480.0,31474409472.0,31423150080.0,31551479808.0,31410606080.0
61,31486820352.0,31289604096.0,31346374656.0,31372941312.0,31344723968.0
62,31248111616.0,31261270016.0,31230236672.0,31263578112.0,31347197952.0
63,31138076672.0,31235516416.0,31209230336.0,31267364864.0,31259011072.0
64,31076366336.0,31039328256.0,31259674624.0,31276980224.0,31088375808.0
65,31130920960.0,31040976896.0,31388649472.0,31107776512.0,31058532352.0
66,30814017536.0,30985592832.0,30876450816.0,31055915008.0,30973929472.0
67,30839150592.0,30950248448.0,30723594240.0,30866982912.0,30828134400.0
68,30835200000.0,30749958144.0,30711152640.0,30849079296.0,30890915840.0
69,30733455360.0,30787770368.0,30822813696.0,30686515200.0,30704965632.0
70,30634885120.0,30767751168.0,30661562368.0,30464667648.0,30537951232.0
71,30549219328.0,30556805120.0,30471055360.0,30478700544.0,30461251584.0
72,30529155072.0,30422804480.0,30439045120.0,30504206336.0,30627659776.0
73,30606217216.0,30349873152.0,30291855360.0,30521331712.0,30494111744.0
74,30467379200.0,30497888256.0,30173040640.0,30240542720.0,30372622336.0
75,30422964224.0,30180968448.0,30336772096.0,30271846400.0,30270437376.0
76,30157905920.0,30187616256.0,30137624576.0,30123626496.0,30095898624.0
77,30044268544.0,30099005440.0,29935446016.0,30069239808.0,30223712256.0
78,30098352128.0,30000226304.0,30035931136.0,30143916032.0,29891274752.0
79,29891153920.0,29927686144.0,29841463296.0,29874411520.0,30048948224.0
80,29843068928.0,29836951552.0,29796743168.0,29884723200.0,29898637312.0
81,29646059520.0,29798590464.0,29872541696.0,29816672256.0,29824028672.0
82,29690210304.0,29688461312.0,29742206976.0,29689878528.0,29695668224.0
83,29577824256.0,29669900288.0,29537091584.0,29673940992.0,29722654720.0
84,29577678848.0,29564170240.0,29621280768.0,29740218368.0,29596129280.0
85,29445341184.0,29690015744.0,29521074176.0,29503131648.0,29741101056.0
86,29397000192.0,29367463936.0,29458253824.0,29301350400.0,29506297856.0
87,29312071680.0,29228849152.0,29379899392.0,29316081664.0,29241376768.0
88,29097517056.0,29294202880.0,29413570560.0,29234280448.0,29241671680.0
89,29124210688.0,29097672704.0,29305358336.0,29303957504.0,29310216192.0
90,29080119296.0,29054791680.0,29168951296.0,29298210816.0,29052012544.0
91,29098586112.0,29051254784.0,29046247424.0,29184634880.0,29036926976.0
