,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,14520782848.0,14521268224.0,14522832896.0,14521261056.0,14521264128.0
1,14499156992.0,14500902912.0,14503385088.0,14501962752.0,14501233664.0
2,14468628480.0,14473293824.0,14477446144.0,14471133184.0,14471977984.0
3,14429957120.0,14433014784.0,14434386944.0,14431676416.0,14431799296.0
4,14382347264.0,14396108800.0,14393131008.0,14384894976.0,14389940224.0
5,14343273472.0,14341990400.0,14338908160.0,14343613440.0,14334595072.0
6,14281682944.0,14292370432.0,14292210688.0,14284797952.0,14289488896.0
7,14236116992.0,14233537536.0,14239375360.0,14233147392.0,14240464896.0
8,14180500480.0,14192434176.0,14177269760.0,14193122304.0,14186374144.0
9,14118294528.0,14159036416.0,14135453696.0,14122230784.0,14113239040.0
10,14055251968.0,14068611072.0,14087479296.0,14072604672.0,14065735680.0
11,14019449856.0,14043734016.0,13995254784.0,14007237632.0,13992544256.0
12,13930385408.0,13933694976.0,13923675136.0,13955156992.0,13953620992.0
13,13854090240.0,13895078912.0,13886367744.0,13875945472.0,13919749120.0
14,13787520000.0,13850249216.0,13837580288.0,13803289600.0,13816979456.0
15,13737569280.0,13789844480.0,13759342592.0,13728609280.0,13755404288.0
16,13638868992.0,13695551488.0,13644347392.0,13695831040.0,13690163200.0
17,13638342656.0,13656143872.0,13587338240.0,13590585344.0,13649635328.0
18,13519570944.0,13535230976.0,13521374208.0,13574856704.0,13605175296.0
19,13416681472.0,13478697984.0,13468917760.0,13498836992.0,13509866496.0
20,13376481280.0,13384932352.0,13376167936.0,13371886592.0,13389273088.0
21,13279599616.0,13339789312.0,13294503936.0,13366685696.0,13335350272.0
22,13238228992.0,13207577600.0,13253585920.0,13276557312.0,13290023936.0
23,13170421760.0,13138246656.0,13152199680.0,13206180864.0,13176851456.0
24,13072457728.0,13140355072.0,13131107328.0,13092635648.0,13106903040.0
25,13059568640.0,13065166848.0,13061565440.0,13041801216.0,13088138240.0
26,12987646976.0,12991806464.0,12955134976.0,12955446272.0,12986375168.0
27,12866829312.0,12887492608.0,12879357952.0,12896004096.0,12944400384.0
28,12881886208.0,12865604608.0,12967710720.0,12839739392.0,12897573888.0
29,12858683392.0,12765855744.0,12807117824.0,12794233856.0,12812855296.0
30,12739993600.0,12715902976.0,12646893568.0,12673497088.0,12763509760.0
31,12678430720.0,12643181568.0,12635335680.0,12605933568.0,12662427648.0
32,12636951552.0,12624092160.0,12632060928.0,12605650944.0,12652125184.0
33,12496791552.0,12567977984.0,12534670336.0,12494413824.0,12552057856.0
34,12464638976.0,12469297152.0,12500019200.0,12410468352.0,12493327360.0
35,12460492800.0,12486067200.0,12533767168.0,12448714752.0,12509135872.0
36,12416829440.0,12410430464.0,12370330624.0,12407545856.0,12433380352.0
37,12312693760.0,12321988608.0,12371066880.0,12334624768.0,12403803136.0
38,12266524672.0,12263852032.0,12274719744.0,12267570176.0,12338866176.0
39,12227748864.0,12221765632.0,12214565888.0,12198746112.0,12259983360.0
40,12235158528.0,12262928384.0,12146675712.0,12148121600.0,12172562432.0
41,12093305856.0,12056074240.0,12089948160.0,12102998016.0,12157257728.0
42,12088518656.0,12043624448.0,12106689536.0,11999344640.0,12127531008.0
43,11996931072.0,12077251584.0,12058675200.0,12028447744.0,12090229760.0
44,12093203456.0,12018606080.0,11958327296.0,11924212736.0,12019314688.0
45,11938352128.0,11919604736.0,11987524608.0,11982820352.0,12038217728.0
46,11964297216.0,11851759616.0,11877804032.0,11818758144.0,11902283776.0
47,11836764160.0,11894967296.0,11799870464.0,11851954176.0,11863699456.0
48,11760146432.0,11859823616.0,11786632192.0,11852677120.0,11832209408.0
49,11826745344.0,11778160640.0,11729091584.0,11837484032.0,11853051904.0
50,11790500864.0,11673083904.0,11678717952.0,11785619456.0,11771641856.0
51,11648312320.0,11845638144.0,11665278976.0,11654515712.0,11711504384.0
52,11708834816.0,11734299648.0,11597318144.0,11626462208.0,11723624448.0
53,11599267840.0,11661278208.0,11577945088.0,11432441856.0,11658467328.0
54,11537121280.0,11545735168.0,11558423552.0,11715706880.0,11616634880.0
55,11534517248.0,11684402176.0,11523996672.0,11494946816.0,11511609344.0
56,11481567232.0,11510571008.0,11515914240.0,11495768064.0,11490693120.0
57,11457152000.0,11485910016.0,11550848000.0,11352467456.0,11573698560.0
58,11443275776.0,11402632192.0,11516388352.0,11489314816.0,11452811264.0
59,11467826176.0,11444878336.0,11422644224.0,11316808704.0,11488104448.0
60,11385540608.0,11344395264.0,11601821696.0,11341846528.0,11374091264.0
61,11369148416.0,11288435712.0,11373207552.0,11304553472.0,11346129920.0
62,11252336640.0,11273995264.0,11322536960.0,11247579136.0,11416052736.0
63,11229676544.0,11162588160.0,11271070720.0,11248629760.0,11254708224.0
64,11403054080.0,11275262976.0,11242186752.0,11220123648.0,11339735040.0
65,11223680000.0,11267409920.0,11274059776.0,11115804672.0,11273535488.0
66,11185633280.0,11104318464.0,11154024448.0,11210036224.0,11243021312.0
67,11115394048.0,11133913088.0,11183111168.0,11092465664.0,11240076288.0
68,11208417280.0,11106726912.0,11137403904.0,11089750016.0,11213720576.0
69,11196342272.0,11000105984.0,11153878016.0,11018602496.0,11070205952.0
