,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,17119397888.0,17119420416.0,17118942208.0,17118120960.0,17119108096.0
1,17112311808.0,17112865792.0,17112004608.0,17111753728.0,17112495104.0
2,17104135168.0,17105522688.0,17103763456.0,17102994432.0,17105114112.0
3,17094343680.0,17095768064.0,17095394304.0,17094705152.0,17096287232.0
4,17084724224.0,17087756288.0,17085097984.0,17086471168.0,17085136896.0
5,17070264320.0,17074354176.0,17076048896.0,17076581376.0,17074236416.0
6,17057668096.0,17061976064.0,17065488384.0,17062054912.0,17060624384.0
7,17047269376.0,17052617728.0,17053980672.0,17052980224.0,17048033280.0
8,17031486464.0,17032461312.0,17040475136.0,17038635008.0,17030097920.0
9,17018998784.0,17016389632.0,17025909760.0,17027106816.0,17010108416.0
10,17000523776.0,16994924544.0,17010370560.0,17014361088.0,16996193280.0
11,16985065472.0,16983406592.0,16996432896.0,16984254464.0,16978652160.0
12,16969096192.0,16958761984.0,16983871488.0,16969325568.0,16954698752.0
13,16948206592.0,16936308736.0,16970765312.0,16953348096.0,16939257856.0
14,16927789056.0,16911250432.0,16948708352.0,16928151552.0,16918877184.0
15,16913446912.0,16881515520.0,16935625728.0,16897540096.0,16909199360.0
16,16887433216.0,16862150656.0,16901412864.0,16865898496.0,16888144896.0
17,16882746368.0,16830727168.0,16875283456.0,16845661184.0,16873089024.0
18,16845038592.0,16819624960.0,16849692672.0,16832199680.0,16827740160.0
19,16817597440.0,16763741184.0,16842682368.0,16804668416.0,16827952128.0
20,16810302464.0,16733064192.0,16810118144.0,16772913152.0,16767868928.0
21,16778906624.0,16731581440.0,16788396032.0,16743753728.0,16759504896.0
22,16750907392.0,16681489408.0,16747314176.0,16715392000.0,16736798720.0
23,16708313088.0,16664229888.0,16737197056.0,16680675328.0,16716524544.0
24,16695752704.0,16637582336.0,16702289920.0,16633023488.0,16677491712.0
25,16670007296.0,16604537856.0,16681142272.0,16599487488.0,16649149440.0
26,16658123776.0,16564934656.0,16632595456.0,16573611008.0,16637760512.0
