,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,38783205376.0,38785380352.0,38781255680.0,38784913408.0,38780620800.0
1,38760103936.0,38761373696.0,38756495360.0,38765023232.0,38758400000.0
2,38723842048.0,38733066240.0,38726098944.0,38739050496.0,38729904128.0
3,38681288704.0,38694596608.0,38689697792.0,38707453952.0,38692679680.0
4,38611800064.0,38629126144.0,38632615936.0,38664364032.0,38646120448.0
5,38557818880.0,38581026816.0,38572703744.0,38614683648.0,38584049664.0
6,38472134656.0,38471716864.0,38515130368.0,38525444096.0,38508367872.0
7,38369173504.0,38380695552.0,38417293312.0,38497980416.0,38429782016.0
8,38234841088.0,38271258624.0,38343782400.0,38366236672.0,38353940480.0
9,38155436032.0,38193987584.0,38232543232.0,38258860032.0,38261526528.0
10,38022049792.0,38108409856.0,38100713472.0,38146183168.0,38141480960.0
11,37979672576.0,37936820224.0,37962784768.0,38035005440.0,37970870272.0
12,37829410816.0,37857071104.0,37853032448.0,38009741312.0,37951086592.0
13,37785931776.0,37727514624.0,37767835648.0,37737259008.0,37776158720.0
14,37643456512.0,37656481792.0,37670531072.0,37696356352.0,37667082240.0
15,37478858752.0,37532041216.0,37578653696.0,37623623680.0,37586149376.0
16,37494005760.0,37475975168.0,37414449152.0,37386784768.0,37383102464.0
17,37339557888.0,37462499328.0,37352460288.0,37436268544.0,37361917952.0
18,37239214080.0,37218918400.0,37277237248.0,37295312896.0,37308477440.0
19,37350645760.0,37221396480.0,37203128320.0,37279186944.0,37373063168.0
20,37082132480.0,37193764864.0,37119447040.0,37140930560.0,37150785536.0
21,36976775168.0,36931747840.0,36952145920.0,36893724672.0,37067964416.0
22,36899217408.0,37025271808.0,36779139072.0,36839526400.0,36806467584.0
23,36804034560.0,36763713536.0,36854693888.0,36810960896.0,36725092352.0
24,36645240832.0,36732497920.0,36594356224.0,36831383552.0,36578074624.0
25,36496994304.0,36539662336.0,36565430272.0,36413292544.0,36671623168.0
26,36761907200.0,36537856000.0,36570714112.0,36599439360.0,36461273088.0
27,36353937408.0,36694556672.0,36384649216.0,36294180864.0,36490170368.0
28,36473552896.0,36262617088.0,36274470912.0,36317417472.0,36401954816.0
29,36197453824.0,36300165120.0,36230922240.0,36120461312.0,36225978368.0
30,36174585856.0,36214591488.0,36063412224.0,35934375936.0,36094259200.0
31,36123803648.0,36011323392.0,35979046912.0,36072071168.0,36026986496.0
32,35995123712.0,36000788480.0,35830960128.0,35976265728.0,35957157888.0
33,35763089408.0,35926294528.0,35777306624.0,35646418944.0,35970052096.0
34,35732389888.0,35713556480.0,35684085760.0,35748130816.0,35946123264.0
35,35602833408.0,35609223168.0,35657195520.0,35690242048.0,35833798656.0
36,35381104640.0,35481518080.0,35472515072.0,35572719616.0,35895017472.0
37,35640238080.0,35433410560.0,35559247872.0,35321581568.0,35521581056.0
38,35449356288.0,35467919360.0,35304726528.0,35305283584.0,35604418560.0
39,35247656960.0,35248078848.0,35202772992.0,35107508224.0,35450413056.0
40,35202019328.0,35128410112.0,35570249728.0,35323990016.0,35292037120.0
41,35135275008.0,35044200448.0,34971693056.0,35203706880.0,35217506304.0
42,35040555008.0,34973253632.0,34878328832.0,34995212288.0,34972344320.0
43,34942521344.0,35011579904.0,35025539072.0,34731163648.0,34975330304.0
44,35055951872.0,34867261440.0,34697392128.0,34791686144.0,34805403648.0
45,34642608128.0,34818641920.0,34672656384.0,34494279680.0,34812035072.0
46,34575945728.0,34964172800.0,34627801088.0,34791874560.0,34562097152.0
47,34496409600.0,34479165440.0,34408906752.0,34532728832.0,34412449792.0
48,34539360256.0,34316634112.0,34431807488.0,34521292800.0,34445361152.0
49,34422939648.0,34523238400.0,34401280000.0,34542288896.0,34399600640.0
50,34311176192.0,34306150400.0,34188720128.0,34117650432.0,34432974848.0
51,34309562368.0,34182193152.0,34275645440.0,34147033088.0,34103248896.0
52,34381930496.0,34285824000.0,34251931648.0,34016034816.0,34120658944.0
53,34009319424.0,34271639552.0,33988560896.0,34100600832.0,34057156608.0
54,33923080192.0,34138394624.0,33883516928.0,34018549760.0,34316128256.0
55,34068330496.0,34046003200.0,33772681216.0,33950605312.0,33978218496.0
56,34192640000.0,33831362560.0,33894529024.0,33750511616.0,33997074432.0
57,33631492096.0,34370973696.0,33589151744.0,33598840832.0,33921585152.0
58,33677316096.0,33661153280.0,33434163200.0,33514223616.0,33893466112.0
59,33545871360.0,33631774720.0,33415133184.0,33575837696.0,33515745280.0
60,33547493376.0,33428668416.0,33394305024.0,33669568512.0,33343021056.0
61,33277814784.0,33391243264.0,33328052224.0,33191786496.0,33301381120.0
62,33144619008.0,33349507072.0,33647720448.0,33058588672.0,33339932672.0
63,33211336704.0,33287018496.0,33011636224.0,32950161408.0,33449146368.0
64,33100560384.0,33345564672.0,32871618560.0,32918398976.0,33343956992.0
65,33372381184.0,33339328512.0,33095106560.0,33017739264.0,33029253120.0
66,32942159872.0,33179537408.0,33149001728.0,33081890816.0,32739934208.0
67,33430712320.0,33333972992.0,32754548736.0,33040078848.0,33224392704.0
68,32823953408.0,33101826048.0,32743364608.0,32669345792.0,32885196800.0
69,32768714752.0,32701157376.0,32696709120.0,33132283904.0,32750336000.0
70,32575174656.0,33371394048.0,32482590720.0,32527591424.0,32850122752.0
71,32478750720.0,32808089600.0,32435757056.0,32513445888.0,32538896384.0
72,32776568832.0,32465563648.0,32608688128.0,32360577024.0,32582285312.0
73,32373272576.0,32288305152.0,32464136192.0,32481347584.0,32435322880.0
74,32476379136.0,32605353984.0,32414306304.0,32257093632.0,32461320192.0
