,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,44355903488.0,44354371584.0,44355440640.0,44355354624.0,44355158016.0
1,44349018112.0,44343955456.0,44348375040.0,44347887616.0,44348542976.0
2,44339167232.0,44337143808.0,44339736576.0,44339351552.0,44333596672.0
3,44327669760.0,44317364224.0,44325871616.0,44327116800.0,44327145472.0
4,44319965184.0,44314779648.0,44317224960.0,44315738112.0,44320215040.0
5,44307578880.0,44303208448.0,44302946304.0,44306968576.0,44308987904.0
6,44302360576.0,44286304256.0,44283711488.0,44280709120.0,44289978368.0
7,44289343488.0,44271087616.0,44279832576.0,44279398400.0,44272766976.0
8,44274118656.0,44269580288.0,44257775616.0,44235018240.0,44247916544.0
9,44241694720.0,44241817600.0,44231749632.0,44232749056.0,44245274624.0
10,44211523584.0,44216586240.0,44214288384.0,44232220672.0,44209106944.0
11,44179431424.0,44200509440.0,44225814528.0,44192890880.0,44180230144.0
12,44193763328.0,44131926016.0,44155555840.0,44161282048.0,44202745856.0
13,44181807104.0,44152332288.0,44147372032.0,44097699840.0,44169342976.0
14,44126699520.0,44131217408.0,44129222656.0,44140990464.0,44141137920.0
15,44033843200.0,44154974208.0,44141031424.0,44096299008.0,44122292224.0
16,44082692096.0,44057485312.0,44041064448.0,44099198976.0,44046938112.0
17,44075307008.0,44012707840.0,44063723520.0,44054908928.0,44080009216.0
18,44005625856.0,43966779392.0,43953876992.0,43947429888.0,43967201280.0
19,44012138496.0,43948478464.0,44000444416.0,43952336896.0,43944321024.0
20,43864064000.0,43903848448.0,43943546880.0,43898408960.0,43884617728.0
21,43774230528.0,43908894720.0,43912847360.0,43884953600.0,43817582592.0
22,43803070464.0,43960012800.0,43765121024.0,43894607872.0,43789160448.0
23,43710545920.0,43764531200.0,43833528320.0,43910332416.0,43758661632.0
24,43805396992.0,43750137856.0,43745120256.0,43672412160.0,43668238336.0
25,43537113088.0,43835719680.0,43781345280.0,43804307456.0,43638132736.0
26,43559714816.0,43771809792.0,43722104832.0,43559817216.0,43678330880.0
27,43543912448.0,43486339072.0,43641942016.0,43619860480.0,43564077056.0
28,43611422720.0,43510394880.0,43770843136.0,43642748928.0,43411685376.0
29,43476582400.0,43641311232.0,43453939712.0,43488505856.0,43522658304.0
30,43592429568.0,43416580096.0,43562856448.0,43555942400.0,43512258560.0
31,43419197440.0,43410755584.0,43547758592.0,43344732160.0,43480227840.0
32,43549982720.0,43332472832.0,43452919808.0,43204378624.0,43394707456.0
33,43241639936.0,43171872768.0,43449896960.0,43245576192.0,43276460032.0
34,43161051136.0,43223437312.0,43433426944.0,43468308480.0,43270496256.0
35,43015585792.0,42968805376.0,43206955008.0,43150753792.0,43270774784.0
36,43162693632.0,43102306304.0,43191865344.0,43088347136.0,43329388544.0
37,43168829440.0,42970714112.0,43190026240.0,43169263616.0,43141074944.0
38,42750443520.0,43000836096.0,43069972480.0,43270483968.0,43092770816.0
39,43059138560.0,43019616256.0,42974126080.0,43175116800.0,42937495552.0
40,42713096192.0,42818494464.0,43036110848.0,43039539200.0,43132379136.0
41,42828091392.0,42817306624.0,42828230656.0,42666106880.0,42858033152.0
42,42622615552.0,42920251392.0,42560495616.0,42734379008.0,42789564416.0
43,42656157696.0,42583085056.0,42650529792.0,42779779072.0,42818514944.0
44,42392920064.0,43084361728.0,42990559232.0,42880737280.0,42813476864.0
45,42441895936.0,42876035072.0,42779639808.0,42714771456.0,42656632832.0
46,42222538752.0,42906148864.0,42466426880.0,42209325056.0,42933538816.0
47,42249089024.0,42720817152.0,42048303104.0,42784161792.0,42825814016.0
48,42441818112.0,42391343104.0,42014203904.0,42677440512.0,42399809536.0
49,42385608704.0,42387070976.0,42159497216.0,42533629952.0,42537078784.0
50,42228051968.0,42071928832.0,41975042048.0,42642014208.0,42151575552.0
51,42213654528.0,42542186496.0,42710093824.0,42136866816.0,42275201024.0
52,42190028800.0,42236649472.0,41950191616.0,42278932480.0,42474942464.0
53,41839816704.0,42351915008.0,41945993216.0,42330460160.0,42275258368.0
54,41925750784.0,42130034688.0,42213556224.0,42109849600.0,42093965312.0
55,41729077248.0,41925079040.0,42169245696.0,42440056832.0,42180661248.0
56,41415204864.0,41794236416.0,41940819968.0,41935831040.0,42327412736.0
57,41818234880.0,42209734656.0,42017120256.0,41472049152.0,41928896512.0
58,41663942656.0,41644240896.0,41405108224.0,42090463232.0,41946357760.0
59,41717248000.0,42277154816.0,41766395904.0,41753071616.0,41865900032.0
60,41399255040.0,41757069312.0,41348452352.0,41228271616.0,41657475072.0
61,41170219008.0,41318100992.0,41521467392.0,41783242752.0,41600823296.0
62,41478094848.0,41648803840.0,41848508416.0,41629814784.0,41741737984.0
63,41092452352.0,41528688640.0,41286561792.0,41605214208.0,40988700672.0
64,41162338304.0,41552044032.0,41134448640.0,41118068736.0,41684340736.0
65,41337151488.0,41308905472.0,41638821888.0,41646526464.0,41366171648.0
66,40693268480.0,41406115840.0,41408417792.0,41483763712.0,41220239360.0
67,40995020800.0,41310433280.0,41362481152.0,41064665088.0,41610067968.0
68,40845840384.0,40717930496.0,41273978880.0,41615106048.0,41413619712.0
69,40986607616.0,41053700096.0,40683741184.0,40877367296.0,40907390976.0
70,40544382976.0,41381281792.0,41005715456.0,40975056896.0,40828383232.0
71,40915230720.0,41277493248.0,41187627008.0,40220504064.0,40991367168.0
72,40929660928.0,40564039680.0,40880455680.0,40806932480.0,40956772352.0
73,40677027840.0,40552083456.0,40601452544.0,40500023296.0,40778731520.0
74,40093671424.0,40461246464.0,40640716800.0,40143642624.0,41161601024.0
75,40792829952.0,40531808256.0,40487190528.0,40409481216.0,40462118912.0
76,40286883840.0,40630902784.0,39983079424.0,40374865920.0,40564310016.0
77,40572829696.0,39834112000.0,39691182080.0,39877984256.0,40861396992.0
78,40233066496.0,40392077312.0,40007098368.0,40223924224.0,40393674752.0
79,39872327680.0,40570122240.0,40991772672.0,40420098048.0,40435134464.0
80,39920037888.0,39658848256.0,40087699456.0,41164460032.0,40194322432.0
81,39151616000.0,40211279872.0,39927377920.0,40234106880.0,40220131328.0
82,39919624192.0,40158482432.0,40489439232.0,40133844992.0,40084828160.0
83,39429398528.0,40276058112.0,40405590016.0,40295448576.0,40234602496.0
84,40105455616.0,40531550208.0,39391879168.0,40347705344.0,40006557696.0
85,40329830400.0,39717920768.0,39780904960.0,39415918592.0,39546937344.0
86,39360888832.0,39707385856.0,39484538880.0,40565010432.0,39683891200.0
87,39581552640.0,39633317888.0,40089501696.0,40102522880.0,39382458368.0
88,39326494720.0,40022417408.0,39616286720.0,40041279488.0,39677128704.0
89,39388037120.0,39483342848.0,39997620224.0,39422300160.0,39706558464.0
90,39257227264.0,39284473856.0,38762954752.0,39201730560.0,39699165184.0
91,39544938496.0,39579062272.0,39165546496.0,39881986048.0,39458742272.0
