,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,35985387520.0,35989401600.0,35989573632.0,35990708224.0,35988045824.0
1,35967221760.0,35969458176.0,35969695744.0,35971829760.0,35967352832.0
2,35945910272.0,35951267840.0,35949981696.0,35951038464.0,35948507136.0
3,35925807104.0,35930329088.0,35930271744.0,35929665536.0,35926347776.0
4,35903528960.0,35907768320.0,35908857856.0,35908677632.0,35905785856.0
5,35881013248.0,35885584384.0,35885060096.0,35885953024.0,35883429888.0
6,35855495168.0,35861057536.0,35863572480.0,35865292800.0,35859062784.0
7,35832037376.0,35841425408.0,35840372736.0,35841507328.0,35834785792.0
8,35806982144.0,35815346176.0,35816038400.0,35816898560.0,35809370112.0
9,35780841472.0,35787415552.0,35795083264.0,35789631488.0,35782008832.0
10,35753897984.0,35769032704.0,35767939072.0,35768557568.0,35754737664.0
11,35727069184.0,35736018944.0,35738198016.0,35741057024.0,35728031744.0
12,35701751808.0,35712749568.0,35712856064.0,35713552384.0,35700764672.0
13,35670929408.0,35676004352.0,35685347328.0,35684798464.0,35665649664.0
14,35649105920.0,35655741440.0,35655634944.0,35660320768.0,35634315264.0
15,35610451968.0,35620564992.0,35619749888.0,35625783296.0,35615289344.0
16,35580583936.0,35597094912.0,35586113536.0,35592540160.0,35570294784.0
17,35541147648.0,35563941888.0,35560566784.0,35559989248.0,35545268224.0
18,35505201152.0,35521593344.0,35528339456.0,35528310784.0,35502923776.0
19,35475144704.0,35494543360.0,35496509440.0,35491082240.0,35471536128.0
20,35425349632.0,35458310144.0,35455770624.0,35458613248.0,35440414720.0
21,35394531328.0,35420844032.0,35416911872.0,35421126656.0,35400720384.0
22,35363635200.0,35375099904.0,35384500224.0,35386036224.0,35360301056.0
23,35324469248.0,35329368064.0,35339902976.0,35356676096.0,35318181888.0
24,35283234816.0,35310448640.0,35301683200.0,35309965312.0,35295051776.0
25,35257036800.0,35245920256.0,35279314944.0,35262963712.0,35248615424.0
26,35207577600.0,35227828224.0,35240185856.0,35230056448.0,35197083648.0
27,35176124416.0,35203551232.0,35204112384.0,35189575680.0,35163222016.0
28,35121672192.0,35148521472.0,35147341824.0,35150712832.0,35140440064.0
29,35089035264.0,35126870016.0,35102867456.0,35109756928.0,35105480704.0
30,35048943616.0,35074146304.0,35081289728.0,35065643008.0,35038482432.0
31,35013582848.0,35026399232.0,35034587136.0,35039801344.0,35014164480.0
32,34970378240.0,34991112192.0,34996445184.0,34998333440.0,34965757952.0
33,34935476224.0,34973962240.0,34955554816.0,34938925056.0,34918277120.0
34,34897936384.0,34923601920.0,34915606528.0,34923347968.0,34899963904.0
35,34855694336.0,34892382208.0,34869170176.0,34864754688.0,34857574400.0
36,34809769984.0,34829606912.0,34835968000.0,34839928832.0,34814836736.0
37,34772443136.0,34790760448.0,34800250880.0,34803318784.0,34772668416.0
38,34723880960.0,34756358144.0,34757185536.0,34767241216.0,34737451008.0
39,34699755520.0,34711318528.0,34727284736.0,34722099200.0,34706288640.0
40,34660458496.0,34671976448.0,34696232960.0,34674417664.0,34679283712.0
41,34610892800.0,34624794624.0,34647482368.0,34635563008.0,34627608576.0
42,34590113792.0,34592497664.0,34601209856.0,34604208128.0,34568548352.0
43,34543161344.0,34571247616.0,34556092416.0,34567827456.0,34555285504.0
44,34514100224.0,34551160832.0,34521505792.0,34506526720.0,34502623232.0
45,34467250176.0,34504667136.0,34477391872.0,34508087296.0,34464284672.0
46,34422173696.0,34457264128.0,34449686528.0,34421751808.0,34440040448.0
47,34391547904.0,34403557376.0,34408239104.0,34422022144.0,34396848128.0
48,34355732480.0,34375553024.0,34389348352.0,34374942720.0,34353620992.0
49,34310119424.0,34332207104.0,34351945728.0,34336468992.0,34312093696.0
50,34267748352.0,34331643904.0,34305775616.0,34303995904.0,34290419712.0
51,34258722816.0,34272002048.0,34279950336.0,34266628096.0,34249263104.0
52,34206550016.0,34239258624.0,34245236736.0,34240149504.0,34215876608.0
53,34173519872.0,34197704704.0,34203801600.0,34220099584.0,34199707648.0
54,34132989952.0,34176823296.0,34160431104.0,34158903296.0,34165014528.0
55,34118940672.0,34117908480.0,34115639296.0,34129881088.0,34116288512.0
56,34095374336.0,34096611328.0,34101497856.0,34091630592.0,34088468480.0
57,34040815616.0,34055282688.0,34067638272.0,34093109248.0,34047832064.0
58,33982396416.0,34022731776.0,34031155200.0,34038454272.0,34043754496.0
59,33954953216.0,34001805312.0,34001041408.0,33986461696.0,33976958976.0
60,33926084608.0,33978195968.0,33985792000.0,33976322048.0,33925844992.0
61,33910077440.0,33933922304.0,33946249216.0,33895430144.0,33906161664.0
62,33871228928.0,33885833216.0,33888966656.0,33898694656.0,33884018688.0
63,33836208128.0,33893689344.0,33857703936.0,33834401792.0,33836648448.0
64,33809903616.0,33826449408.0,33815449600.0,33812783104.0,33800355840.0
65,33777649664.0,33775794176.0,33796691968.0,33761832960.0,33766393856.0
66,33756456960.0,33765926912.0,33751336960.0,33761359872.0,33768108032.0
67,33679056896.0,33748729856.0,33751420928.0,33715283968.0,33713195008.0
68,33665150976.0,33725005824.0,33671653376.0,33672448000.0,33670762496.0
69,33624731648.0,33651515392.0,33654575104.0,33612861440.0,33653082112.0
