,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,14407462912.0,14407164928.0,14407530496.0,14407388160.0,14407691264.0
1,14401920000.0,14401640448.0,14402299904.0,14402322432.0,14402816000.0
2,14397786112.0,14395965440.0,14398483456.0,14397400064.0,14397211648.0
3,14390313984.0,14389743616.0,14389563392.0,14390289408.0,14393686016.0
4,14381816832.0,14386198528.0,14385549312.0,14383680512.0,14385999872.0
5,14375307264.0,14377458688.0,14375375872.0,14373586944.0,14379043840.0
6,14366707712.0,14364987392.0,14367230976.0,14365437952.0,14367715328.0
7,14356543488.0,14360440832.0,14362600448.0,14365009920.0,14359280640.0
8,14345097216.0,14347356160.0,14354111488.0,14353092608.0,14350941184.0
9,14333454336.0,14346615808.0,14343822336.0,14334137344.0,14347284480.0
10,14318019584.0,14324224000.0,14331471872.0,14325699584.0,14325095424.0
11,14308384768.0,14311044096.0,14320040960.0,14307697664.0,14314978304.0
12,14293895168.0,14300062720.0,14310419456.0,14303800320.0,14295336960.0
13,14279072768.0,14276015104.0,14292513792.0,14278467584.0,14289951744.0
14,14263048192.0,14264715264.0,14277527552.0,14273473536.0,14276261888.0
15,14255520768.0,14253314048.0,14246805504.0,14263795712.0,14246497280.0
16,14222497792.0,14233462784.0,14231738368.0,14232008704.0,14235165696.0
17,14204153856.0,14221022208.0,14232801280.0,14224334848.0,14207097856.0
18,14152937472.0,14189065216.0,14209642496.0,14208662528.0,14191716352.0
19,14156296192.0,14183714816.0,14192242688.0,14176889856.0,14160968704.0
20,14142193664.0,14113329152.0,14155044864.0,14143966208.0,14129312768.0
21,14135263232.0,14126773248.0,14146501632.0,14115777536.0,14118416384.0
22,14060972032.0,14086925312.0,14109982720.0,14084463616.0,14088217600.0
23,14050796544.0,14067382272.0,14086636544.0,14075791360.0,14060824576.0
24,14003430400.0,14052649984.0,14069972992.0,14028733440.0,14010431488.0
25,13993740288.0,14008883200.0,14040156160.0,14023184384.0,13997223936.0
26,13939661824.0,13980471296.0,13995906048.0,13971100672.0,13969858560.0
