,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,26155370496.0,26164322304.0,26166753280.0,26158522368.0,26163609600.0
1,26072129536.0,26105522176.0,26100459520.0,26080878592.0,26091991040.0
2,25971701760.0,26037565440.0,26016712704.0,25982814208.0,25996953600.0
3,25838010368.0,25967499264.0,25917134848.0,25870811136.0,25909012480.0
4,25697200128.0,25868644352.0,25811609600.0,25708531712.0,25776732160.0
5,25563191296.0,25781338112.0,25661155328.0,25551798272.0,25669593088.0
6,25351456768.0,25641132032.0,25550422016.0,25421854720.0,25467011072.0
7,25195661312.0,25490204672.0,25374607360.0,25243879424.0,25340329984.0
8,24966021120.0,25353517056.0,25217935360.0,25012404224.0,25151522816.0
9,24838182912.0,25139599360.0,24998193152.0,24842196992.0,24953137152.0
10,24674551808.0,24985796608.0,24776728576.0,24660025344.0,24757082112.0
11,24497330176.0,24781854720.0,24630429696.0,24451256320.0,24488460288.0
12,24290664448.0,24464128000.0,24357085184.0,24245686272.0,24311547904.0
13,24098054144.0,24169351168.0,24166891520.0,24216786944.0,24150599680.0
14,23811098624.0,23926306816.0,23964145664.0,23778076672.0,23833477120.0
15,23623854080.0,23777124352.0,23588872192.0,23555864576.0,23587479552.0
16,23276783616.0,23556206592.0,23272654848.0,23545948160.0,23428040704.0
17,23179911168.0,23289092096.0,23181598720.0,23130675200.0,23190575104.0
18,22974457856.0,23054948352.0,23033036800.0,22932617216.0,22802302976.0
19,22710472704.0,22824396800.0,22560903168.0,22770540544.0,23069040640.0
20,22627715072.0,22688923648.0,22442932224.0,22585776128.0,22554390528.0
21,22272395264.0,22423599104.0,22418784256.0,22456250368.0,22114955264.0
22,22295011328.0,22290765824.0,22407514112.0,22357542912.0,22097018880.0
23,21882046464.0,22061844480.0,22045353984.0,22298982400.0,22204694528.0
24,21781770240.0,21835614208.0,21687314432.0,21957816320.0,21726672896.0
25,21599770624.0,21559072768.0,21642606592.0,21714618368.0,21560281088.0
26,21367582720.0,21386143744.0,21207689216.0,21634230272.0,21191206912.0
27,21297360896.0,21480458240.0,20999567360.0,21163210752.0,21249869824.0
28,20985456640.0,21026840576.0,20967825408.0,21243561984.0,20884850688.0
29,20794890240.0,21124685824.0,20909883392.0,21158326272.0,20959143936.0
30,20625012736.0,20997652480.0,20590501888.0,20903305216.0,20562257920.0
31,20643731456.0,20958685184.0,20330221568.0,20852264960.0,20601073664.0
32,20535973888.0,20458422272.0,20404961280.0,20428752896.0,20676083712.0
33,20332021760.0,20163766272.0,20394784768.0,20331583488.0,20297611264.0
34,20048621568.0,20469358592.0,20196261888.0,20324345856.0,20241700864.0
35,20008067072.0,19929858048.0,20507402240.0,20287981568.0,20492451840.0
36,20047921152.0,20110204928.0,19902642176.0,19864152064.0,19821475840.0
37,19802292224.0,19600844800.0,19596118016.0,19715092480.0,20011378688.0
38,19795279872.0,19979661312.0,19647291392.0,19728384000.0,19685048320.0
39,19353729024.0,19848148992.0,19454337024.0,19673421824.0,19420971008.0
40,19276173312.0,19422752768.0,19207352320.0,19723235328.0,19568340992.0
41,19361259520.0,19247435776.0,19504148480.0,19252006912.0,19174141952.0
42,19290253312.0,19445635072.0,19267221504.0,19457335296.0,19117330432.0
43,18841540608.0,19350306816.0,19046877184.0,19200849920.0,19857889280.0
44,18903898112.0,19187603456.0,18977900544.0,18937325568.0,19019235328.0
45,18549397504.0,18744948736.0,19127017472.0,18744352768.0,18710816768.0
46,18594752512.0,18549579776.0,18652633088.0,18917349376.0,18919239680.0
47,18544226304.0,18678953984.0,18559895552.0,18620598272.0,19371128832.0
48,18461616128.0,18703898624.0,18100056064.0,18553221120.0,18270541824.0
49,18516953088.0,18102566912.0,18678319104.0,18586501120.0,18465075200.0
50,18111383552.0,18328279040.0,18383587328.0,18296047616.0,18249723904.0
51,18511382528.0,17990252544.0,18274756608.0,18785341440.0,18090622976.0
52,18080317440.0,17794060288.0,18331136000.0,18454947840.0,18274693120.0
53,18112448512.0,17971238912.0,17962721280.0,18155413504.0,17956757504.0
54,17761034240.0,18111887360.0,18170302464.0,18124064768.0,18161522688.0
55,17890297856.0,17794709504.0,17917620224.0,17637935104.0,17782843392.0
56,17807427584.0,18529925120.0,17604296704.0,17732548608.0,17970980864.0
57,17902440448.0,18353848320.0,17705426944.0,17523935232.0,18120271872.0
58,17846339584.0,17507061760.0,17555365888.0,17533448192.0,17614862336.0
59,17557630976.0,17450520576.0,17520281600.0,18032783360.0,17579040768.0
60,17540524032.0,17263581184.0,17573715968.0,17326639104.0,18557454336.0
61,17429989376.0,17090728960.0,17904052224.0,17246918656.0,17669959680.0
