,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,34718711808.0,34715680768.0,34718261248.0,34715570176.0,34717134848.0
1,34696241152.0,34693566464.0,34690846720.0,34688237568.0,34692964352.0
2,34669158400.0,34663772160.0,34663895040.0,34648719360.0,34656886784.0
3,34635227136.0,34628415488.0,34620403712.0,34615549952.0,34624000000.0
4,34608750592.0,34586439680.0,34575724544.0,34563145728.0,34575470592.0
5,34571489280.0,34549444608.0,34544308224.0,34524938240.0,34521407488.0
6,34522648576.0,34519592960.0,34475335680.0,34473934848.0,34485903360.0
7,34497196032.0,34478456832.0,34416095232.0,34439958528.0,34424905728.0
8,34412003328.0,34409746432.0,34375626752.0,34361602048.0,34393825280.0
9,34417700864.0,34356643840.0,34267578368.0,34310918144.0,34336133120.0
10,34346248192.0,34297942016.0,34238111744.0,34228613120.0,34297008128.0
11,34262519808.0,34242115584.0,34185648128.0,34168938496.0,34208589824.0
12,34250672128.0,34136289280.0,34108198912.0,34132883456.0,34145411072.0
13,34165434368.0,34064418816.0,34040668160.0,34050064384.0,34102986752.0
14,34130468864.0,34016561152.0,33959663616.0,33972017152.0,34049165312.0
15,34027106304.0,33930192896.0,33823117312.0,33849507840.0,33917489152.0
16,33913927680.0,33816225792.0,33811195904.0,33836382208.0,33814589440.0
17,33825751040.0,33711360000.0,33697105920.0,33701277696.0,33775900672.0
18,33796683776.0,33690519552.0,33701394432.0,33632512000.0,33621157888.0
19,33673459712.0,33586171904.0,33553752064.0,33530664960.0,33622255616.0
20,33624549376.0,33422680064.0,33460488192.0,33399576576.0,33515399168.0
21,33594243072.0,33384009728.0,33328828416.0,33383186432.0,33355737088.0
22,33487613952.0,33265858560.0,33354108928.0,33224468480.0,33265512448.0
23,33431185408.0,33194549248.0,33179588608.0,33075234816.0,33162399744.0
24,33260693504.0,33057878016.0,33048088576.0,33049657344.0,33021831168.0
25,33075652608.0,32847783936.0,33073713152.0,32832919552.0,32989065216.0
26,33038471168.0,32929941504.0,32863975424.0,32859250688.0,32894535680.0
27,32939112448.0,32925343744.0,32770015232.0,32756656128.0,32825276416.0
28,32774744064.0,32674654208.0,32711995392.0,32778864640.0,32600428544.0
29,32806881280.0,32621973504.0,32544184320.0,32497029120.0,32655333376.0
30,32479438848.0,32622229504.0,32550053888.0,32382406656.0,32315305984.0
