,ts_name,error_metric,error,level
0,Aggregated,MSE,27249.674263131285,1
1,Aggregated,MAE,126.22951920749954,1
2,Aggregated,SMAPE,1.0195375064855574,1
3,Clerical and Administrative Workers,MSE,1799.2037558088148,2
4,Clerical and Administrative Workers,MAE,33.47001882000001,2
5,Clerical and Administrative Workers,SMAPE,2.480280169670258,2
6,Community and Personal Service Workers,MSE,1001.7259349155535,2
7,Community and Personal Service Workers,MAE,27.267196273333315,2
8,Community and Personal Service Workers,SMAPE,2.103712071835785,2
9,Labourers,MSE,5077.72797961582,2
10,Labourers,MAE,64.62063579750001,2
11,Labourers,SMAPE,5.483914774553095,2
12,Machinery Operators and Drivers,MSE,3061.533738575021,2
13,Machinery Operators and Drivers,MAE,47.37556883249999,2
14,Machinery Operators and Drivers,SMAPE,6.120848447402608,2
15,Managers,MSE,1175.4687023426834,2
16,Managers,MAE,27.602765995833334,2
17,Managers,SMAPE,1.773434764711857,2
18,Professionals,MSE,3694.7669250151425,2
19,Professionals,MAE,52.11662008583335,2
20,Professionals,SMAPE,1.7851607051053073,2
21,Sales Workers,MSE,2008.227292352968,2
22,Sales Workers,MAE,40.076877833333356,2
23,Sales Workers,SMAPE,2.741907166673866,2
24,Technicians and Trades Workers,MSE,2703.6360231228186,2
25,Technicians and Trades Workers,MAE,44.816088944166665,2
26,Technicians and Trades Workers,SMAPE,2.5830799719798505,2
27,Clerical and Administrative Workers-Full time,MSE,1250.374489287611,3
28,Clerical and Administrative Workers-Full time,MAE,29.69277619999997,3
29,Clerical and Administrative Workers-Full time,SMAPE,3.580767248105285,3
30,Clerical and Administrative Workers-Part time,MSE,262.24181676823906,3
31,Clerical and Administrative Workers-Part time,MAE,14.07959815333335,3
32,Clerical and Administrative Workers-Part time,SMAPE,2.6984291025937153,3
33,Community and Personal Service Workers-Full time,MSE,707.0036636239514,3
34,Community and Personal Service Workers-Full time,MAE,20.624504313333347,3
35,Community and Personal Service Workers-Full time,SMAPE,3.530505060696386,3
36,Community and Personal Service Workers-Part time,MSE,393.82835358746235,3
37,Community and Personal Service Workers-Part time,MAE,15.477889875000008,3
38,Community and Personal Service Workers-Part time,SMAPE,2.169139882622223,3
39,Labourers-Full time,MSE,1026.6745506632608,3
40,Labourers-Full time,MAE,27.398617488333333,3
41,Labourers-Full time,SMAPE,4.330478323027939,3
42,Labourers-Part time,MSE,1858.4066480993797,3
43,Labourers-Part time,MAE,39.02902355416666,3
44,Labourers-Part time,SMAPE,7.12370731369062,3
45,Machinery Operators and Drivers-Full time,MSE,1385.9151338768413,3
46,Machinery Operators and Drivers-Full time,MAE,29.665376362499984,3
47,Machinery Operators and Drivers-Full time,SMAPE,4.583533327143918,3
48,Machinery Operators and Drivers-Part time,MSE,446.9106968817082,3
49,Machinery Operators and Drivers-Part time,MAE,18.665485693333334,3
50,Machinery Operators and Drivers-Part time,SMAPE,14.472022659790579,3
51,Managers-Full time,MSE,1239.7577012828665,3
52,Managers-Full time,MAE,29.76526620916667,3
53,Managers-Full time,SMAPE,2.203936651241435,3
54,Managers-Part time,MSE,70.32795904218241,3
55,Managers-Part time,MAE,6.527419143333337,3
56,Managers-Part time,SMAPE,3.0727246850765595,3
57,Professionals-Full time,MSE,5812.281320452843,3
58,Professionals-Full time,MAE,64.82112561583334,3
59,Professionals-Full time,SMAPE,3.011686772453323,3
60,Professionals-Part time,MSE,732.8686404502873,3
61,Professionals-Part time,MAE,22.278077143333338,3
62,Professionals-Part time,SMAPE,2.981080060476309,3
63,Sales Workers-Full time,MSE,624.6251981646557,3
64,Sales Workers-Full time,MAE,20.848282659166653,3
65,Sales Workers-Full time,SMAPE,2.8266803439436496,3
66,Sales Workers-Part time,MSE,1087.2181754474004,3
67,Sales Workers-Part time,MAE,29.835478459166684,3
68,Sales Workers-Part time,SMAPE,4.073533030239917,3
69,Technicians and Trades Workers-Full time,MSE,2604.556347977789,3
70,Technicians and Trades Workers-Full time,MAE,38.627970133333385,3
71,Technicians and Trades Workers-Full time,SMAPE,2.6347974444434747,3
72,Technicians and Trades Workers-Part time,MSE,285.70000363912726,3
73,Technicians and Trades Workers-Part time,MAE,14.340330917500005,3
74,Technicians and Trades Workers-Part time,SMAPE,5.42845833756773,3
75,Clerical and Administrative Workers-Full time-Females,MSE,389.4998871168118,4
76,Clerical and Administrative Workers-Full time-Females,MAE,16.68157905583333,4
77,Clerical and Administrative Workers-Full time-Females,SMAPE,2.718383515984977,4
78,Clerical and Administrative Workers-Full time-Males,MSE,361.32259564190736,4
79,Clerical and Administrative Workers-Full time-Males,MAE,15.809604189166668,4
80,Clerical and Administrative Workers-Full time-Males,SMAPE,7.388354309894375,4
81,Clerical and Administrative Workers-Part time-Females,MSE,243.38736051754222,4
82,Clerical and Administrative Workers-Part time-Females,MAE,13.831268004166668,4
83,Clerical and Administrative Workers-Part time-Females,SMAPE,2.882147984446503,4
84,Clerical and Administrative Workers-Part time-Males,MSE,34.13746868096043,4
85,Clerical and Administrative Workers-Part time-Males,MAE,4.904044350833334,4
86,Clerical and Administrative Workers-Part time-Males,SMAPE,11.929250169967274,4
87,Community and Personal Service Workers-Full time-Females,MSE,401.10401932865034,4
88,Community and Personal Service Workers-Full time-Females,MAE,15.542096178333338,4
89,Community and Personal Service Workers-Full time-Females,SMAPE,4.517627192966156,4
90,Community and Personal Service Workers-Full time-Males,MSE,130.07342065102432,4
91,Community and Personal Service Workers-Full time-Males,MAE,9.642631860000002,4
92,Community and Personal Service Workers-Full time-Males,SMAPE,4.019093279227553,4
93,Community and Personal Service Workers-Part time-Females,MSE,531.0944056638228,4
94,Community and Personal Service Workers-Part time-Females,MAE,20.750337031666664,4
95,Community and Personal Service Workers-Part time-Females,SMAPE,3.7292253776092226,4
96,Community and Personal Service Workers-Part time-Males,MSE,401.0429694171771,4
97,Community and Personal Service Workers-Part time-Males,MAE,17.61478781,4
98,Community and Personal Service Workers-Part time-Males,SMAPE,10.95829476691593,4
99,Labourers-Full time-Females,MSE,293.24805358113247,4
100,Labourers-Full time-Females,MAE,14.268009240833331,4
101,Labourers-Full time-Females,SMAPE,10.410048158189005,4
102,Labourers-Full time-Males,MSE,275.7335713466794,4
103,Labourers-Full time-Males,MAE,13.885049810833323,4
104,Labourers-Full time-Males,SMAPE,2.801034503260972,4
105,Labourers-Part time-Females,MSE,1101.7700881718993,4
106,Labourers-Part time-Females,MAE,28.513042137499998,4
107,Labourers-Part time-Females,SMAPE,10.951577712486003,4
108,Labourers-Part time-Males,MSE,208.22471881939487,4
109,Labourers-Part time-Males,MAE,11.813326250000003,4
110,Labourers-Part time-Males,SMAPE,4.092229319600688,4
111,Machinery Operators and Drivers-Full time-Females,MSE,57.239212360565766,4
112,Machinery Operators and Drivers-Full time-Females,MAE,6.530304086666668,4
113,Machinery Operators and Drivers-Full time-Females,SMAPE,13.45748213464743,4
114,Machinery Operators and Drivers-Full time-Males,MSE,1648.7251209568988,4
115,Machinery Operators and Drivers-Full time-Males,MAE,33.613561459166654,4
116,Machinery Operators and Drivers-Full time-Males,SMAPE,5.641127339368274,4
117,Machinery Operators and Drivers-Part time-Females,MSE,38.8742898153945,4
118,Machinery Operators and Drivers-Part time-Females,MAE,5.661269156666667,4
119,Machinery Operators and Drivers-Part time-Females,SMAPE,22.56165573437138,4
120,Machinery Operators and Drivers-Part time-Males,MSE,237.59342705090413,4
121,Machinery Operators and Drivers-Part time-Males,MAE,13.528728140000004,4
122,Machinery Operators and Drivers-Part time-Males,SMAPE,13.009133711872298,4
