,ts_name,error_metric,error,level
0,Aggregated,MSE,2996.2177808532974,1
1,Aggregated,MAE,39.05398629999945,1
2,Aggregated,SMAPE,0.3262478339196099,1
3,Clerical and Administrative Workers,MSE,221.93191970238198,2
4,Clerical and Administrative Workers,MAE,10.548837365000054,2
5,Clerical and Administrative Workers,SMAPE,0.7829007065296992,2
6,Community and Personal Service Workers,MSE,958.0042354642239,2
7,Community and Personal Service Workers,MAE,24.326673612499974,2
8,Community and Personal Service Workers,SMAPE,1.9216421642091193,2
9,Labourers,MSE,1039.4652442788165,2
10,Labourers,MAE,31.249653144999968,2
11,Labourers,SMAPE,2.7209133394877605,2
12,Machinery Operators and Drivers,MSE,735.2690632161567,2
13,Machinery Operators and Drivers,MAE,25.613297257499994,2
14,Machinery Operators and Drivers,SMAPE,3.4274945577712663,2
15,Managers,MSE,749.8422057940098,2
16,Managers,MAE,21.805383734999964,2
17,Managers,SMAPE,1.4174923493728964,2
18,Professionals,MSE,284.0377969403288,2
19,Professionals,MAE,14.316159179999886,2
20,Professionals,SMAPE,0.5163758178396455,2
21,Sales Workers,MSE,1689.795200703797,2
22,Sales Workers,MAE,34.109314727499964,2
23,Sales Workers,SMAPE,2.3532094456365384,2
24,Technicians and Trades Workers,MSE,4291.109832937718,2
25,Technicians and Trades Workers,MAE,58.316027307500065,2
26,Technicians and Trades Workers,SMAPE,3.420734192608071,2
27,Clerical and Administrative Workers-Full time,MSE,184.21037315216955,3
28,Clerical and Administrative Workers-Full time,MAE,12.04077116999997,3
29,Clerical and Administrative Workers-Full time,SMAPE,1.4582490976691909,3
30,Clerical and Administrative Workers-Part time,MSE,113.80781765205572,3
31,Clerical and Administrative Workers-Part time,MAE,10.250963510000034,3
32,Clerical and Administrative Workers-Part time,SMAPE,1.9754422976588266,3
33,Community and Personal Service Workers-Full time,MSE,589.1707327548318,3
34,Community and Personal Service Workers-Full time,MAE,19.203421359999993,3
35,Community and Personal Service Workers-Full time,SMAPE,3.370027108503498,3
36,Community and Personal Service Workers-Part time,MSE,123.13399615320938,3
37,Community and Personal Service Workers-Part time,MAE,9.68457961750002,3
38,Community and Personal Service Workers-Part time,SMAPE,1.3838684816293558,3
39,Labourers-Full time,MSE,234.16358484613906,3
40,Labourers-Full time,MAE,14.779135059999987,3
41,Labourers-Full time,SMAPE,2.3742327185245182,3
42,Labourers-Part time,MSE,559.2798688658035,3
43,Labourers-Part time,MAE,22.07167382000003,3
44,Labourers-Part time,SMAPE,4.1760750536324736,3
45,Machinery Operators and Drivers-Full time,MSE,161.13448277646344,3
46,Machinery Operators and Drivers-Full time,MAE,9.309842534999945,3
47,Machinery Operators and Drivers-Full time,SMAPE,1.501004372975076,3
48,Machinery Operators and Drivers-Part time,MSE,448.40429613138105,3
49,Machinery Operators and Drivers-Part time,MAE,17.977922672499993,3
50,Machinery Operators and Drivers-Part time,SMAPE,14.157943949961457,3
51,Managers-Full time,MSE,544.5439904134342,3
52,Managers-Full time,MAE,17.687779630000023,3
53,Managers-Full time,SMAPE,1.3268742343930062,3
54,Managers-Part time,MSE,23.360367840257297,3
55,Managers-Part time,MAE,4.117616605000002,3
56,Managers-Part time,SMAPE,2.0166104715343547,3
57,Professionals-Full time,MSE,607.7751211767708,3
58,Professionals-Full time,MAE,18.038355560000014,3
59,Professionals-Full time,SMAPE,0.8772190601588968,3
60,Professionals-Part time,MSE,1005.800738573821,3
61,Professionals-Part time,MAE,24.29405326500003,3
62,Professionals-Part time,SMAPE,3.4230042967785987,3
63,Sales Workers-Full time,MSE,253.48092552066174,3
64,Sales Workers-Full time,MAE,14.131036672499988,3
65,Sales Workers-Full time,SMAPE,1.9320984918368187,3
66,Sales Workers-Part time,MSE,898.5692251783496,3
67,Sales Workers-Part time,MAE,25.13664460000004,3
68,Sales Workers-Part time,SMAPE,3.4841718599366716,3
