,ts_name,error_metric,error,level
0,Aggregated,MSE,3090.664922446973,1
1,Aggregated,MAE,42.27323629999955,1
2,Aggregated,SMAPE,0.35403598308242995,1
3,Clerical and Administrative Workers,MSE,208.13064943569884,2
4,Clerical and Administrative Workers,MAE,11.249744324999995,2
5,Clerical and Administrative Workers,SMAPE,0.8353388417386424,2
6,Community and Personal Service Workers,MSE,1078.3067152954177,2
7,Community and Personal Service Workers,MAE,26.28581297750003,2
8,Community and Personal Service Workers,SMAPE,2.079958095127322,2
9,Labourers,MSE,1751.7879375095904,2
10,Labourers,MAE,39.32082814499995,2
11,Labourers,SMAPE,3.4384030018225515,2
12,Machinery Operators and Drivers,MSE,772.4271654891359,2
13,Machinery Operators and Drivers,MAE,26.562062257500003,2
14,Machinery Operators and Drivers,SMAPE,3.5554881213476044,2
15,Managers,MSE,709.9599653545685,2
16,Managers,MAE,18.53490873499993,2
17,Managers,SMAPE,1.2074060875229082,2
18,Professionals,MSE,261.0941113674803,2
19,Professionals,MAE,15.373837495000089,2
20,Professionals,SMAPE,0.5540653085847311,2
21,Sales Workers,MSE,1994.842026842774,2
22,Sales Workers,MAE,39.41506472750007,2
23,Sales Workers,SMAPE,2.7146961886428405,2
24,Technicians and Trades Workers,MSE,4278.915772787182,2
25,Technicians and Trades Workers,MAE,60.22247730750007,2
26,Technicians and Trades Workers,SMAPE,3.5296661943782963,2
27,Clerical and Administrative Workers-Full time,MSE,170.76629031745952,3
28,Clerical and Administrative Workers-Full time,MAE,10.556143669999983,3
29,Clerical and Administrative Workers-Full time,SMAPE,1.2782714363274221,3
30,Clerical and Administrative Workers-Part time,MSE,151.48376925810678,3
31,Clerical and Administrative Workers-Part time,MAE,11.00060350999999,3
32,Clerical and Administrative Workers-Part time,SMAPE,2.122617220016422,3
33,Community and Personal Service Workers-Full time,MSE,577.6491066933353,3
34,Community and Personal Service Workers-Full time,MAE,17.109723860000003,3
35,Community and Personal Service Workers-Full time,SMAPE,2.9934180058586457,3
36,Community and Personal Service Workers-Part time,MSE,206.1915258821468,3
37,Community and Personal Service Workers-Part time,MAE,12.001409092500012,3
38,Community and Personal Service Workers-Part time,SMAPE,1.7358048556229633,3
39,Labourers-Full time,MSE,451.8269963232666,3
40,Labourers-Full time,MAE,20.184225060000017,3
41,Labourers-Full time,SMAPE,3.2607726790913936,3
42,Labourers-Part time,MSE,632.1513836260615,3
43,Labourers-Part time,MAE,23.61988882000003,3
44,Labourers-Part time,SMAPE,4.481079218082653,3
45,Machinery Operators and Drivers-Full time,MSE,102.618423632174,3
46,Machinery Operators and Drivers-Full time,MAE,8.43254236499996,3
47,Machinery Operators and Drivers-Full time,SMAPE,1.3613482593039674,3
48,Machinery Operators and Drivers-Part time,MSE,407.73172869334735,3
49,Machinery Operators and Drivers-Part time,MAE,18.12951589249999,3
50,Machinery Operators and Drivers-Part time,SMAPE,14.321685709904694,3
51,Managers-Full time,MSE,578.6742307318218,3
52,Managers-Full time,MAE,16.337756940000077,3
53,Managers-Full time,SMAPE,1.2255964543443358,3
54,Managers-Part time,MSE,21.059463633088278,3
55,Managers-Part time,MAE,4.439789105000003,3
56,Managers-Part time,SMAPE,2.1754493065538387,3
57,Professionals-Full time,MSE,828.5991024225905,3
58,Professionals-Full time,MAE,21.234080560000052,3
59,Professionals-Full time,SMAPE,1.0340077927012268,3
60,Professionals-Part time,MSE,561.6337875251736,3
61,Professionals-Part time,MAE,20.86116389,3
62,Professionals-Part time,SMAPE,2.9308205392928883,3
63,Sales Workers-Full time,MSE,250.48399324736295,3
64,Sales Workers-Full time,MAE,15.0663591725,3
65,Sales Workers-Full time,SMAPE,2.058855863618172,3
66,Sales Workers-Part time,MSE,970.783695569553,3
