,ts_name,error_metric,error,level
0,Aggregated,MSE,12820347.494867384,1
1,Aggregated,MAE,3186.8969563916653,1
2,Aggregated,SMAPE,9.545905205073758,1
3,NSW,MSE,1223808.577837379,2
4,NSW,MAE,974.8451006166662,2
5,NSW,SMAPE,9.23972756399273,2
6,NT,MSE,14238.52058480263,2
7,NT,MAE,96.70245950833333,2
8,NT,SMAPE,13.830240183012755,2
9,QLD,MSE,1171550.322897862,2
10,QLD,MAE,863.6653390500001,2
11,QLD,SMAPE,10.066423087351533,2
12,SA,MSE,141067.63775372837,2
13,SA,MAE,309.1933361499999,2
14,SA,SMAPE,14.178388920187023,2
15,TAS,MSE,47093.40981807457,2
16,TAS,MAE,168.01680266666668,2
17,TAS,SMAPE,16.289897631584683,2
18,VIC,MSE,428286.4397966235,2
19,VIC,MAE,599.6857981333334,2
20,VIC,SMAPE,9.545941380185791,2
21,WA,MSE,513903.676047797,2
22,WA,MAE,540.8592330166665,2
23,WA,SMAPE,13.66897486233009,2
24,NSW-Blue Mountains,MSE,3145.458533444287,3
25,NSW-Blue Mountains,MAE,39.841619075000004,3
26,NSW-Blue Mountains,SMAPE,16.23653871872201,3
27,NSW-Canberra,MSE,44959.047038990444,3
28,NSW-Canberra,MAE,164.42200591666665,3
29,NSW-Canberra,SMAPE,23.008073831136006,3
30,NSW-Capital Country,MSE,5651.517387978561,3
31,NSW-Capital Country,MAE,55.352808924999984,3
32,NSW-Capital Country,SMAPE,17.49911471983988,3
33,NSW-Central Coast,MSE,13627.413081110664,3
34,NSW-Central Coast,MAE,89.33536008333334,3
35,NSW-Central Coast,SMAPE,23.36715049016048,3
36,NSW-Central NSW,MSE,30532.12360173197,3
37,NSW-Central NSW,MAE,154.65912529999997,3
38,NSW-Central NSW,SMAPE,25.148412197838358,3
39,NSW-Hunter,MSE,57688.795982372736,3
40,NSW-Hunter,MAE,174.10636268333334,3
41,NSW-Hunter,SMAPE,15.854423510144137,3
42,NSW-New England North West,MSE,8468.892530799614,3
43,NSW-New England North West,MAE,73.01978724166668,3
44,NSW-New England North West,SMAPE,19.42207886568833,3
45,NSW-North Coast NSW,MSE,169802.93562035068,3
46,NSW-North Coast NSW,MAE,373.6529228583334,3
47,NSW-North Coast NSW,SMAPE,21.054533888420345,3
48,NSW-Outback NSW,MSE,3443.7059187703744,3
49,NSW-Outback NSW,MAE,46.57269898333333,3
50,NSW-Outback NSW,SMAPE,28.69024592643353,3
51,NSW-Riverina,MSE,4535.650817108793,3
52,NSW-Riverina,MAE,49.33607750000001,3
53,NSW-Riverina,SMAPE,21.03005619555672,3
54,NSW-Snowy Mountains,MSE,12430.007825517532,3
55,NSW-Snowy Mountains,MAE,91.78374224166667,3
56,NSW-Snowy Mountains,SMAPE,34.86977339224514,3
57,NSW-South Coast,MSE,104615.95050411212,3
58,NSW-South Coast,MAE,247.80119572499999,3
59,NSW-South Coast,SMAPE,23.669182927359003,3
60,NSW-Sydney,MSE,200358.54638714858,3
61,NSW-Sydney,MAE,347.8771820333333,3
62,NSW-Sydney,SMAPE,12.053725681029537,3
63,NSW-The Murray,MSE,4467.152288539784,3
64,NSW-The Murray,MAE,52.63206005000001,3
65,NSW-The Murray,SMAPE,17.37096180723233,3
66,NT-Alice Springs,MSE,3500.9032253306655,3
67,NT-Alice Springs,MAE,51.20441404166667,3
68,NT-Alice Springs,SMAPE,56.230778354268445,3
69,NT-Barkly,MSE,351.03054528980016,3
70,NT-Barkly,MAE,16.9514435,3
71,NT-Barkly,SMAPE,86.82176336844093,3
72,NT-Darwin,MSE,10740.024236160642,3
73,NT-Darwin,MAE,85.53081310833333,3
74,NT-Darwin,SMAPE,27.17596849685961,3
75,NT-Katherine Daly,MSE,2613.836787005086,3
76,NT-Katherine Daly,MAE,46.115289600000004,3
77,NT-Katherine Daly,SMAPE,73.47230677192272,3
78,NT-Lasseter,MSE,1999.5864962899986,3
79,NT-Lasseter,MAE,34.66480144166667,3
80,NT-Lasseter,SMAPE,60.291046508199116,3
81,NT-Litchfield Kakadu Arnhem,MSE,3328.8406497478386,3
82,NT-Litchfield Kakadu Arnhem,MAE,43.967711425000005,3
83,NT-Litchfield Kakadu Arnhem,SMAPE,54.04905856004096,3
84,NT-MacDonnell,MSE,308.37473412396076,3
85,NT-MacDonnell,MAE,14.575689225,3
86,NT-MacDonnell,SMAPE,80.01401848829,3
87,QLD-Brisbane,MSE,57139.77475933271,3
88,QLD-Brisbane,MAE,178.17176495833328,3
89,QLD-Brisbane,SMAPE,9.19989558999466,3
90,QLD-Bundaberg,MSE,6767.691871988446,3
91,QLD-Bundaberg,MAE,70.81703799166667,3
92,QLD-Bundaberg,SMAPE,32.09055838713309,3
93,QLD-Capricorn,MSE,18352.48276156102,3
94,QLD-Capricorn,MAE,92.64090966666667,3
95,QLD-Capricorn,SMAPE,24.385856252607862,3
96,QLD-Fraser Coast,MSE,9248.781191135675,3
97,QLD-Fraser Coast,MAE,80.82754388333335,3
98,QLD-Fraser Coast,SMAPE,32.26127168352788,3
99,QLD-Gladstone,MSE,7940.63807342793,3
100,QLD-Gladstone,MAE,71.58451936666667,3
101,QLD-Gladstone,SMAPE,43.620863442426156,3
102,QLD-Gold Coast,MSE,181171.87185951148,3
103,QLD-Gold Coast,MAE,301.49250680000006,3
104,QLD-Gold Coast,SMAPE,21.94437796967334,3
105,QLD-Mackay,MSE,14093.518586637956,3
106,QLD-Mackay,MAE,87.69989084166667,3
107,QLD-Mackay,SMAPE,23.581077426605148,3
108,QLD-Outback Queensland,MSE,82030.18518589275,3
109,QLD-Outback Queensland,MAE,151.99933479166666,3
110,QLD-Outback Queensland,SMAPE,28.64050037504676,3
111,QLD-Southern Queensland Country,MSE,14298.22340236707,3
112,QLD-Southern Queensland Country,MAE,101.09263554166667,3
113,QLD-Southern Queensland Country,SMAPE,19.911376469811913,3
114,QLD-Sunshine Coast,MSE,35797.62152467155,3
115,QLD-Sunshine Coast,MAE,160.583686325,3
116,QLD-Sunshine Coast,SMAPE,13.74940378192347,3
117,QLD-Townsville,MSE,21573.944809964654,3
118,QLD-Townsville,MAE,106.08701600833332,3
119,QLD-Townsville,SMAPE,26.98625081623392,3
120,QLD-Tropical North Queensland,MSE,34941.73532594248,3
121,QLD-Tropical North Queensland,MAE,143.301902275,3
122,QLD-Tropical North Queensland,SMAPE,17.445054875667974,3
123,QLD-Whitsundays,MSE,7823.2816338357725,3
124,QLD-Whitsundays,MAE,73.27414041666667,3
125,QLD-Whitsundays,SMAPE,32.69541790733275,3
126,SA-Adelaide,MSE,50866.08534115314,3
127,SA-Adelaide,MAE,179.36571881666669,3
128,SA-Adelaide,SMAPE,20.386653783360288,3
