,ts_name,error_metric,error,level
0,Aggregated,MSE,12411534.32731527,1
1,Aggregated,MAE,3148.586789724999,1
2,Aggregated,SMAPE,9.361642582467839,1
3,NSW,MSE,1355687.6713192167,2
4,NSW,MAE,1001.8485427499994,2
5,NSW,SMAPE,9.4337096451161,2
6,NT,MSE,21006.38992397461,2
7,NT,MAE,128.7678338916667,2
8,NT,SMAPE,17.76671977000432,2
9,QLD,MSE,1268560.2570484446,2
10,QLD,MAE,888.4862954833333,2
11,QLD,SMAPE,10.445766103826472,2
12,SA,MSE,103724.51806308176,2
13,SA,MAE,254.95537215,2
14,SA,SMAPE,11.033022746713842,2
15,TAS,MSE,55793.66300513008,2
16,TAS,MAE,191.55572553333334,2
17,TAS,SMAPE,19.014130872533133,2
18,VIC,MSE,558460.4996609105,2
19,VIC,MAE,666.4463231333333,2
20,VIC,SMAPE,10.338451142867305,2
21,WA,MSE,460809.48788494704,2
22,WA,MAE,510.7912058666666,2
23,WA,SMAPE,12.779633133805493,2
24,NSW-Blue Mountains,MSE,2555.0861852790504,3
25,NSW-Blue Mountains,MAE,35.98121099166668,3
26,NSW-Blue Mountains,SMAPE,15.043220928432769,3
27,NSW-Canberra,MSE,45897.92043368522,3
28,NSW-Canberra,MAE,165.46868758333335,3
29,NSW-Canberra,SMAPE,23.142021159472577,3
30,NSW-Capital Country,MSE,5643.278405609878,3
31,NSW-Capital Country,MAE,57.542460824999985,3
32,NSW-Capital Country,SMAPE,18.2420640887031,3
33,NSW-Central Coast,MSE,13747.075083926693,3
34,NSW-Central Coast,MAE,89.81800175000001,3
35,NSW-Central Coast,SMAPE,23.2046520350648,3
36,NSW-Central NSW,MSE,29461.949904967623,3
37,NSW-Central NSW,MAE,149.1089261333333,3
38,NSW-Central NSW,SMAPE,24.46273246219612,3
39,NSW-Hunter,MSE,60166.5347415203,3
40,NSW-Hunter,MAE,178.2764366833333,3
41,NSW-Hunter,SMAPE,16.24301963873837,3
42,NSW-New England North West,MSE,7779.686874768013,3
43,NSW-New England North West,MAE,71.16302580833333,3
44,NSW-New England North West,SMAPE,18.909813104240882,3
45,NSW-North Coast NSW,MSE,171403.90029958423,3
46,NSW-North Coast NSW,MAE,373.2919561916667,3
47,NSW-North Coast NSW,SMAPE,20.973759630616037,3
48,NSW-Outback NSW,MSE,2968.8910167965437,3
49,NSW-Outback NSW,MAE,44.44813314999999,3
50,NSW-Outback NSW,SMAPE,28.15049772791908,3
51,NSW-Riverina,MSE,5202.108158611753,3
52,NSW-Riverina,MAE,52.03998141666667,3
53,NSW-Riverina,SMAPE,22.006386330607864,3
54,NSW-Snowy Mountains,MSE,13237.099156476856,3
55,NSW-Snowy Mountains,MAE,95.42680890833333,3
56,NSW-Snowy Mountains,SMAPE,35.98566227316102,3
57,NSW-South Coast,MSE,107150.16353636522,3
58,NSW-South Coast,MAE,249.01593489166672,3
59,NSW-South Coast,SMAPE,23.638468794166997,3
60,NSW-Sydney,MSE,203156.77718954626,3
61,NSW-Sydney,MAE,351.5516820333334,3
62,NSW-Sydney,SMAPE,12.19676492276454,3
63,NSW-The Murray,MSE,5457.188338961658,3
64,NSW-The Murray,MAE,58.51009755000001,3
65,NSW-The Murray,SMAPE,19.308840509558543,3
66,NT-Alice Springs,MSE,4319.269698171346,3
67,NT-Alice Springs,MAE,54.73746479166666,3
68,NT-Alice Springs,SMAPE,58.599801448590824,3
69,NT-Barkly,MSE,492.8392488099526,3
70,NT-Barkly,MAE,19.968297583333335,3
71,NT-Barkly,SMAPE,90.97390839555293,3
72,NT-Darwin,MSE,10654.43531555127,3
73,NT-Darwin,MAE,86.93386894166667,3
74,NT-Darwin,SMAPE,27.471333939873897,3
75,NT-Katherine Daly,MSE,3491.321226728698,3
76,NT-Katherine Daly,MAE,52.02110609999999,3
77,NT-Katherine Daly,SMAPE,76.39343630480597,3
78,NT-Lasseter,MSE,1532.6484464894475,3
79,NT-Lasseter,MAE,30.376325341666668,3
80,NT-Lasseter,SMAPE,53.49051788669225,3
81,NT-Litchfield Kakadu Arnhem,MSE,2911.8645954220106,3
82,NT-Litchfield Kakadu Arnhem,MAE,43.33571519166666,3
83,NT-Litchfield Kakadu Arnhem,SMAPE,53.02812565998309,3
84,NT-MacDonnell,MSE,354.25260974801995,3
85,NT-MacDonnell,MAE,16.744858291666667,3
86,NT-MacDonnell,SMAPE,79.19970314795282,3
87,QLD-Brisbane,MSE,58786.24969687447,3
88,QLD-Brisbane,MAE,178.28494829166667,3
89,QLD-Brisbane,SMAPE,9.187004527912936,3
90,QLD-Bundaberg,MSE,5984.795347018334,3
91,QLD-Bundaberg,MAE,65.47080799166666,3
92,QLD-Bundaberg,SMAPE,29.4576796307392,3
93,QLD-Capricorn,MSE,18931.86435771071,3
94,QLD-Capricorn,MAE,93.36392216666665,3
95,QLD-Capricorn,SMAPE,24.57627013588587,3
96,QLD-Fraser Coast,MSE,9023.16323971177,3
97,QLD-Fraser Coast,MAE,79.456705,3
98,QLD-Fraser Coast,SMAPE,31.77208848624511,3
99,QLD-Gladstone,MSE,8140.777576508298,3
100,QLD-Gladstone,MAE,72.30671020000001,3
101,QLD-Gladstone,SMAPE,44.13024650398799,3
102,QLD-Gold Coast,MSE,183981.8226128141,3
103,QLD-Gold Coast,MAE,305.53153679999997,3
104,QLD-Gold Coast,SMAPE,22.343499678723244,3
105,QLD-Mackay,MSE,14204.422795578745,3
106,QLD-Mackay,MAE,87.30126334166665,3
107,QLD-Mackay,SMAPE,23.393033853218572,3
108,QLD-Outback Queensland,MSE,81573.1938771789,3
109,QLD-Outback Queensland,MAE,153.032278425,3
110,QLD-Outback Queensland,SMAPE,28.952721347945435,3
111,QLD-Southern Queensland Country,MSE,15108.951559897643,3
112,QLD-Southern Queensland Country,MAE,103.17304137499998,3
113,QLD-Southern Queensland Country,SMAPE,20.346172072067596,3
114,QLD-Sunshine Coast,MSE,36091.62081605081,3
115,QLD-Sunshine Coast,MAE,161.53254965833332,3
