,ts_name,error_metric,error,level
0,Aggregated,MSE,8729533.75458066,1
1,Aggregated,MAE,2736.3843405333323,1
2,Aggregated,SMAPE,8.083309826356336,1
3,NSW,MSE,964739.6438728686,2
4,NSW,MAE,853.2367821166663,2
5,NSW,SMAPE,7.892432426598349,2
6,NT,MSE,17527.266867007915,2
7,NT,MAE,115.49729553333334,2
8,NT,SMAPE,18.421649164199284,2
9,QLD,MSE,973085.9955739198,2
10,QLD,MAE,793.0514764499999,2
11,QLD,SMAPE,10.107018510915358,2
12,SA,MSE,68572.41842207359,2
13,SA,MAE,197.94980465000012,2
14,SA,SMAPE,8.757461571465203,2
15,TAS,MSE,23563.40494330003,2
16,TAS,MAE,134.04735318333334,2
17,TAS,SMAPE,10.262493467718722,2
18,VIC,MSE,637310.7166079952,2
19,VIC,MAE,713.4975363833333,2
20,VIC,SMAPE,11.153456796754035,2
21,WA,MSE,155669.20277828796,2
22,WA,MAE,286.5337757833333,2
23,WA,SMAPE,7.152525959498883,2
24,NSW-Blue Mountains,MSE,1069.0030038632003,3
25,NSW-Blue Mountains,MAE,30.82453923333335,3
26,NSW-Blue Mountains,SMAPE,12.581095511760221,3
27,NSW-Canberra,MSE,13497.568480495655,3
28,NSW-Canberra,MAE,97.36723030000002,3
29,NSW-Canberra,SMAPE,16.143827673260162,3
30,NSW-Capital Country,MSE,10214.32224103553,3
31,NSW-Capital Country,MAE,75.14535073333332,3
32,NSW-Capital Country,SMAPE,22.48443342348528,3
33,NSW-Central Coast,MSE,19635.997470607665,3
34,NSW-Central Coast,MAE,112.30834613333332,3
35,NSW-Central Coast,SMAPE,26.33561084355969,3
36,NSW-Central NSW,MSE,41463.814762019465,3
37,NSW-Central NSW,MAE,189.66296101666663,3
38,NSW-Central NSW,SMAPE,30.780868343429947,3
39,NSW-Hunter,MSE,84919.88921166708,3
40,NSW-Hunter,MAE,216.6872332833333,3
41,NSW-Hunter,SMAPE,18.24422159165728,3
42,NSW-New England North West,MSE,8744.777479951465,3
43,NSW-New England North West,MAE,71.21056338333332,3
44,NSW-New England North West,SMAPE,18.86347902610211,3
45,NSW-North Coast NSW,MSE,212733.3479780849,3
46,NSW-North Coast NSW,MAE,424.2770027000001,3
47,NSW-North Coast NSW,SMAPE,22.30142757717435,3
48,NSW-Outback NSW,MSE,4164.043883207917,3
49,NSW-Outback NSW,MAE,51.619694083333336,3
50,NSW-Outback NSW,SMAPE,36.003855919899785,3
51,NSW-Riverina,MSE,2792.06873956306,3
52,NSW-Riverina,MAE,37.06755003333333,3
53,NSW-Riverina,SMAPE,18.797373116655553,3
54,NSW-Snowy Mountains,MSE,11843.580184501516,3
55,NSW-Snowy Mountains,MAE,90.72269454999999,3
56,NSW-Snowy Mountains,SMAPE,43.691647723260004,3
57,NSW-South Coast,MSE,43658.46969402752,3
58,NSW-South Coast,MAE,174.38805888333334,3
59,NSW-South Coast,SMAPE,16.31267379971248,3
60,NSW-Sydney,MSE,147864.95602857976,3
61,NSW-Sydney,MAE,310.63427016666657,3
62,NSW-Sydney,SMAPE,10.556951416504985,3
63,NSW-The Murray,MSE,5969.491270027629,3
64,NSW-The Murray,MAE,60.11942008333333,3
65,NSW-The Murray,SMAPE,20.588039048245918,3
66,NT-Alice Springs,MSE,2622.011351637855,3
67,NT-Alice Springs,MAE,41.6112637,3
68,NT-Alice Springs,SMAPE,65.91231246173126,3
69,NT-Barkly,MSE,624.955400738083,3
70,NT-Barkly,MAE,22.989623503333334,3
71,NT-Barkly,SMAPE,127.84456881245937,3
72,NT-Darwin,MSE,14171.915865415425,3
73,NT-Darwin,MAE,98.38641938333335,3
74,NT-Darwin,SMAPE,32.64739428865903,3
75,NT-Katherine Daly,MSE,4363.052317699586,3
76,NT-Katherine Daly,MAE,60.83220543333334,3
77,NT-Katherine Daly,SMAPE,107.9782016171709,3
78,NT-Lasseter,MSE,1949.114615509731,3
79,NT-Lasseter,MAE,33.20947481666667,3
80,NT-Lasseter,SMAPE,55.48483443947029,3
81,NT-Litchfield Kakadu Arnhem,MSE,3781.1428938592035,3
82,NT-Litchfield Kakadu Arnhem,MAE,46.55012743333333,3
83,NT-Litchfield Kakadu Arnhem,SMAPE,51.86719119277124,3
84,NT-MacDonnell,MSE,279.6941348082024,3
85,NT-MacDonnell,MAE,12.435548866666666,3
86,NT-MacDonnell,SMAPE,91.51289162939479,3
87,QLD-Brisbane,MSE,32848.35605207947,3
88,QLD-Brisbane,MAE,143.5806194666666,3
89,QLD-Brisbane,SMAPE,7.977230621749608,3
90,QLD-Bundaberg,MSE,7861.499099086489,3
91,QLD-Bundaberg,MAE,79.03567389999999,3
92,QLD-Bundaberg,SMAPE,33.78022183514883,3
93,QLD-Capricorn,MSE,10892.901658684723,3
94,QLD-Capricorn,MAE,83.83116058333333,3
95,QLD-Capricorn,SMAPE,29.44106857219038,3
96,QLD-Fraser Coast,MSE,9348.983467397735,3
97,QLD-Fraser Coast,MAE,85.60982281666668,3
98,QLD-Fraser Coast,SMAPE,36.669919296501405,3
99,QLD-Gladstone,MSE,12143.407184716909,3
100,QLD-Gladstone,MAE,94.40410843333332,3
101,QLD-Gladstone,SMAPE,52.57423293417266,3
102,QLD-Gold Coast,MSE,278344.0447872143,3
103,QLD-Gold Coast,MAE,396.5625641166667,3
104,QLD-Gold Coast,SMAPE,28.249400410773827,3
105,QLD-Mackay,MSE,23438.258595760915,3
106,QLD-Mackay,MAE,120.94388428333336,3
107,QLD-Mackay,SMAPE,31.083946969939653,3
108,QLD-Outback Queensland,MSE,147422.70671828912,3
109,QLD-Outback Queensland,MAE,213.53852195,3
110,QLD-Outback Queensland,SMAPE,38.483819244332444,3
111,QLD-Southern Queensland Country,MSE,10297.012622406717,3
112,QLD-Southern Queensland Country,MAE,87.39411654999999,3
113,QLD-Southern Queensland Country,SMAPE,18.419997357488686,3
114,QLD-Sunshine Coast,MSE,10100.306645650217,3
115,QLD-Sunshine Coast,MAE,88.15169723333334,3
116,QLD-Sunshine Coast,SMAPE,8.129233533028907,3
117,QLD-Townsville,MSE,9173.191049507195,3
118,QLD-Townsville,MAE,70.7541802,3
119,QLD-Townsville,SMAPE,22.60658317045887,3
120,QLD-Tropical North Queensland,MSE,21252.13199626489,3
121,QLD-Tropical North Queensland,MAE,121.81273236666668,3
122,QLD-Tropical North Queensland,SMAPE,20.00152643615021,3
123,QLD-Whitsundays,MSE,8744.682539791464,3
124,QLD-Whitsundays,MAE,88.40377888333332,3
125,QLD-Whitsundays,SMAPE,45.37397787768747,3
126,SA-Adelaide,MSE,72786.11187013183,3
127,SA-Adelaide,MAE,212.12232035000002,3
128,SA-Adelaide,SMAPE,22.69116427113975,3
129,SA-Adelaide Hills,MSE,1207.104478397622,3
130,SA-Adelaide Hills,MAE,26.26625963333333,3
131,SA-Adelaide Hills,SMAPE,44.0009511303887,3
132,SA-Barossa,MSE,358.9832136895814,3
133,SA-Barossa,MAE,15.737074183333329,3
134,SA-Barossa,SMAPE,26.95755423724575,3
135,SA-Clare Valley,MSE,1174.6692575049697,3
136,SA-Clare Valley,MAE,32.00804441666667,3
137,SA-Clare Valley,SMAPE,76.88411267105857,3
138,SA-Eyre Peninsula,MSE,17466.74904724439,3
139,SA-Eyre Peninsula,MAE,95.69931765,3
140,SA-Eyre Peninsula,SMAPE,46.851547821235265,3
141,SA-Fleurieu Peninsula,MSE,8201.971030026803,3
142,SA-Fleurieu Peninsula,MAE,61.28825536666668,3
143,SA-Fleurieu Peninsula,SMAPE,20.555395370439737,3
144,SA-Flinders Ranges and Outback,MSE,20321.87307321186,3
145,SA-Flinders Ranges and Outback,MAE,103.23447251666666,3
146,SA-Flinders Ranges and Outback,SMAPE,40.497058660755506,3
147,SA-Kangaroo Island,MSE,371.65838459435184,3
148,SA-Kangaroo Island,MAE,15.185872849999996,3
149,SA-Kangaroo Island,SMAPE,36.9493776808786,3
150,SA-Limestone Coast,MSE,4954.064519353742,3
151,SA-Limestone Coast,MAE,56.09565806666668,3
152,SA-Limestone Coast,SMAPE,28.21371987331828,3
153,"SA-Murray River, Lakes and Coorong",MSE,4780.416152851065,3
154,"SA-Murray River, Lakes and Coorong",MAE,48.44430336666667,3
155,"SA-Murray River, Lakes and Coorong",SMAPE,39.99662916894622,3
156,SA-Riverland,MSE,1301.4525920926228,3
157,SA-Riverland,MAE,32.60109219999999,3
158,SA-Riverland,SMAPE,29.225616038536348,3
159,SA-Yorke Peninsula,MSE,12549.083375617376,3
160,SA-Yorke Peninsula,MAE,81.72465331666666,3
161,SA-Yorke Peninsula,SMAPE,39.97397609051497,3
162,TAS-East Coast,MSE,1090.8980496747715,3
163,TAS-East Coast,MAE,29.902269650000004,3
164,TAS-East Coast,SMAPE,22.887375571062904,3
165,TAS-Hobart and the South,MSE,25466.249045002343,3
166,TAS-Hobart and the South,MAE,130.51785800000002,3
167,TAS-Hobart and the South,SMAPE,23.60087989415094,3
168,TAS-Launceston and the North,MSE,4975.00274807626,3
169,TAS-Launceston and the North,MAE,63.12603383333334,3
170,TAS-Launceston and the North,SMAPE,25.132952556616427,3
171,TAS-North West,MSE,8696.554717511504,3
172,TAS-North West,MAE,75.10273703333333,3
173,TAS-North West,SMAPE,39.95836335525958,3
174,TAS-West Coast,MSE,1481.6481443573327,3
175,TAS-West Coast,MAE,35.18973106666667,3
176,TAS-West Coast,SMAPE,64.16640357045728,3
177,VIC-Ballarat,MSE,2620.9286070322423,3
178,VIC-Ballarat,MAE,43.74518261666666,3
179,VIC-Ballarat,SMAPE,24.63132497216734,3
180,VIC-Bendigo Loddon,MSE,2277.4572103083015,3
181,VIC-Bendigo Loddon,MAE,41.92648596666666,3
182,VIC-Bendigo Loddon,SMAPE,18.47735761134168,3
183,VIC-Central Highlands,MSE,1064.5578986888686,3
184,VIC-Central Highlands,MAE,26.725516800000005,3
185,VIC-Central Highlands,SMAPE,34.668541888841425,3
186,VIC-Central Murray,MSE,4069.715709995615,3
187,VIC-Central Murray,MAE,53.09770153333333,3
188,VIC-Central Murray,SMAPE,22.952528212735537,3
189,VIC-Geelong and the Bellarine,MSE,5630.376490145919,3
190,VIC-Geelong and the Bellarine,MAE,56.01689144999998,3
191,VIC-Geelong and the Bellarine,SMAPE,19.301592211986662,3
192,VIC-Gippsland,MSE,41105.11173095454,3
193,VIC-Gippsland,MAE,157.92227338333333,3
194,VIC-Gippsland,SMAPE,40.80033903909834,3
195,VIC-Goulburn,MSE,7997.600708494622,3
196,VIC-Goulburn,MAE,78.90140358333333,3
197,VIC-Goulburn,SMAPE,48.04166076425003,3
198,VIC-Great Ocean Road,MSE,41355.490473160105,3
199,VIC-Great Ocean Road,MAE,158.61439901666665,3
200,VIC-Great Ocean Road,SMAPE,22.371911527916577,3
201,VIC-High Country,MSE,6619.596760111013,3
202,VIC-High Country,MAE,66.69119646666667,3
203,VIC-High Country,SMAPE,15.437085726107034,3
204,VIC-Lakes,MSE,2284.4472835821744,3
205,VIC-Lakes,MAE,40.62113746666665,3
206,VIC-Lakes,SMAPE,15.692810223504013,3
207,VIC-Macedon,MSE,1356.30907341083,3
208,VIC-Macedon,MAE,34.96336015,3
209,VIC-Macedon,SMAPE,41.79187361390418,3
210,VIC-Mallee,MSE,5765.261132704323,3
211,VIC-Mallee,MAE,71.22466263333334,3
212,VIC-Mallee,SMAPE,35.93951551928976,3
213,VIC-Melbourne,MSE,243969.683339986,3
214,VIC-Melbourne,MAE,456.29852893333333,3
215,VIC-Melbourne,SMAPE,20.11767507393408,3
216,VIC-Melbourne East,MSE,3666.739771998205,3
217,VIC-Melbourne East,MAE,50.97098208333333,3
218,VIC-Melbourne East,SMAPE,28.38044054343949,3
219,VIC-Murray East,MSE,1803.018763867263,3
220,VIC-Murray East,MAE,34.832163066666666,3
221,VIC-Murray East,SMAPE,67.7518042714018,3
222,VIC-Peninsula,MSE,13885.724741359074,3
223,VIC-Peninsula,MAE,85.22823233333334,3
224,VIC-Peninsula,SMAPE,19.345679321882315,3
225,VIC-Phillip Island,MSE,17884.746163077256,3
226,VIC-Phillip Island,MAE,100.56536926666665,3
227,VIC-Phillip Island,SMAPE,34.68987858876429,3
228,VIC-Spa Country,MSE,3029.209556981541,3
229,VIC-Spa Country,MAE,45.94530603333334,3
230,VIC-Spa Country,SMAPE,47.57761415194311,3
231,VIC-Upper Yarra,MSE,1753.6124098667435,3
232,VIC-Upper Yarra,MAE,30.103433066666657,3
233,VIC-Upper Yarra,SMAPE,36.24640586733724,3
234,VIC-Western Grampians,MSE,386.16855980664604,3
235,VIC-Western Grampians,MAE,14.110828966666665,3
236,VIC-Western Grampians,SMAPE,15.878817444865822,3
237,VIC-Wimmera,MSE,4673.833193603283,3
238,VIC-Wimmera,MAE,66.83354383333334,3
239,VIC-Wimmera,SMAPE,113.56644773372211,3
240,WA-Australia's Coral Coast,MSE,12265.057953346719,3
241,WA-Australia's Coral Coast,MAE,92.44904820000001,3
242,WA-Australia's Coral Coast,SMAPE,29.446570623641513,3
243,WA-Australia's Golden Outback,MSE,58324.762733007294,3
244,WA-Australia's Golden Outback,MAE,200.12977118333336,3
245,WA-Australia's Golden Outback,SMAPE,39.249087413483146,3
246,WA-Australia's North West,MSE,19642.59451408469,3
247,WA-Australia's North West,MAE,118.92653388333332,3
248,WA-Australia's North West,SMAPE,14.379990137154836,3
249,WA-Australia's South West,MSE,8976.80393384557,3
250,WA-Australia's South West,MAE,79.95807508333331,3
251,WA-Australia's South West,SMAPE,10.764828257661517,3
252,WA-Destination Perth,MSE,98868.16089322315,3
253,WA-Destination Perth,MAE,267.34521616666666,3
254,WA-Destination Perth,SMAPE,20.243372348749688,3
