,ts_name,error_metric,error,level
0,Aggregated,MSE,19034707.725340966,1
1,Aggregated,MAE,3887.803507199999,1
2,Aggregated,SMAPE,11.651689412832877,1
3,NSW,MSE,1699908.6782580542,2
4,NSW,MAE,1128.868481183333,2
5,NSW,SMAPE,10.6367570594609,2
6,NT,MSE,13343.738099049622,2
7,NT,MAE,106.63497573333336,2
8,NT,SMAPE,18.34930954885586,2
9,QLD,MSE,1559216.4623727163,2
10,QLD,MAE,1146.2646097833333,2
11,QLD,SMAPE,14.944490804714317,2
12,SA,MSE,166637.92510595967,2
13,SA,MAE,347.79812131666677,2
14,SA,SMAPE,14.713573939467999,2
15,TAS,MSE,52160.43721435184,2
16,TAS,MAE,184.01830325,2
17,TAS,SMAPE,13.766918440729961,2
18,VIC,MSE,1140235.0753356575,2
19,VIC,MAE,1013.6986363833333,2
20,VIC,SMAPE,15.666153251060663,2
21,WA,MSE,296179.2686379287,2
22,WA,MAE,362.0692941166665,2
23,WA,SMAPE,9.469776619129147,2
24,NSW-Blue Mountains,MSE,903.7673004338326,3
25,NSW-Blue Mountains,MAE,25.55869500000001,3
26,NSW-Blue Mountains,SMAPE,10.766482964202636,3
27,NSW-Canberra,MSE,15133.565506502115,3
28,NSW-Canberra,MAE,107.31159363333335,3
29,NSW-Canberra,SMAPE,17.812297242370054,3
30,NSW-Capital Country,MSE,11913.492215299733,3
31,NSW-Capital Country,MAE,83.72359073333332,3
32,NSW-Capital Country,SMAPE,25.780604036893116,3
33,NSW-Central Coast,MSE,25662.370897817887,3
34,NSW-Central Coast,MAE,128.26019780000001,3
35,NSW-Central Coast,SMAPE,30.18605798886302,3
36,NSW-Central NSW,MSE,33285.59751090725,3
37,NSW-Central NSW,MAE,166.63172934999997,3
38,NSW-Central NSW,SMAPE,27.83165747114331,3
39,NSW-Hunter,MSE,96435.39177075464,3
40,NSW-Hunter,MAE,234.02420828333334,3
41,NSW-Hunter,SMAPE,20.01004279827102,3
42,NSW-New England North West,MSE,8346.697568477068,3
43,NSW-New England North West,MAE,74.21643885,3
44,NSW-New England North West,SMAPE,20.056254743366775,3
45,NSW-North Coast NSW,MSE,236844.34116582896,3
46,NSW-North Coast NSW,MAE,449.7874527000001,3
47,NSW-North Coast NSW,SMAPE,23.898538017485325,3
48,NSW-Outback NSW,MSE,2495.720621581551,3
49,NSW-Outback NSW,MAE,36.81591241666667,3
50,NSW-Outback NSW,SMAPE,26.02372465372301,3
51,NSW-Riverina,MSE,2429.395224629844,3
52,NSW-Riverina,MAE,40.505981199999994,3
53,NSW-Riverina,SMAPE,20.164657339227812,3
54,NSW-Snowy Mountains,MSE,7903.921936607111,3
55,NSW-Snowy Mountains,MAE,72.87297041666669,3
56,NSW-Snowy Mountains,SMAPE,36.968504705991535,3
57,NSW-South Coast,MSE,52844.37175368639,3
58,NSW-South Coast,MAE,193.55132888333333,3
59,NSW-South Coast,SMAPE,18.06467774031029,3
60,NSW-Sydney,MSE,162883.63202834522,3
61,NSW-Sydney,MAE,322.42782016666666,3
62,NSW-Sydney,SMAPE,10.966544985100768,3
63,NSW-The Murray,MSE,8299.803995632003,3
64,NSW-The Murray,MAE,65.88833074999998,3
65,NSW-The Murray,SMAPE,22.11341956331497,3
66,NT-Alice Springs,MSE,4658.867453673197,3
67,NT-Alice Springs,MAE,55.988630366666676,3
68,NT-Alice Springs,SMAPE,75.23041463443842,3
69,NT-Barkly,MSE,469.5531164147622,3
70,NT-Barkly,MAE,20.3588773,3
71,NT-Barkly,SMAPE,100.53508637399885,3
72,NT-Darwin,MSE,12149.715169541429,3
73,NT-Darwin,MAE,96.74955271666666,3
74,NT-Darwin,SMAPE,32.64584737611271,3
75,NT-Katherine Daly,MSE,5357.968821711087,3
76,NT-Katherine Daly,MAE,69.69699593333334,3
77,NT-Katherine Daly,SMAPE,113.11528315359884,3
78,NT-Lasseter,MSE,1018.6733706619308,3
79,NT-Lasseter,MAE,25.89354528333334,3
80,NT-Lasseter,SMAPE,42.6602685999518,3
81,NT-Litchfield Kakadu Arnhem,MSE,3151.2738482827644,3
82,NT-Litchfield Kakadu Arnhem,MAE,44.3968452,3
83,NT-Litchfield Kakadu Arnhem,SMAPE,46.41374469736152,3
84,NT-MacDonnell,MSE,393.7568175787449,3
85,NT-MacDonnell,MAE,17.8463736,3
86,NT-MacDonnell,SMAPE,97.05503467369012,3
87,QLD-Brisbane,MSE,43110.473890068824,3
88,QLD-Brisbane,MAE,169.45634529999987,3
89,QLD-Brisbane,SMAPE,9.652353287189856,3
90,QLD-Bundaberg,MSE,11695.195314979777,3
91,QLD-Bundaberg,MAE,91.5293568,3
92,QLD-Bundaberg,SMAPE,39.78883840760906,3
93,QLD-Capricorn,MSE,7179.361189571763,3
94,QLD-Capricorn,MAE,77.98233225,3
95,QLD-Capricorn,SMAPE,27.97658679132485,3
96,QLD-Fraser Coast,MSE,4338.862591978185,3
97,QLD-Fraser Coast,MAE,52.715022250000004,3
98,QLD-Fraser Coast,SMAPE,23.1611319155298,3
99,QLD-Gladstone,MSE,11342.856992361403,3
100,QLD-Gladstone,MAE,81.91921676666665,3
101,QLD-Gladstone,SMAPE,45.950054579746954,3
102,QLD-Gold Coast,MSE,300394.31152560626,3
103,QLD-Gold Coast,MAE,423.36391245000004,3
104,QLD-Gold Coast,SMAPE,30.977467937668884,3
105,QLD-Mackay,MSE,26946.913543983832,3
106,QLD-Mackay,MAE,119.49504761666667,3
107,QLD-Mackay,SMAPE,30.65635186355166,3
108,QLD-Outback Queensland,MSE,158867.0222539456,3
109,QLD-Outback Queensland,MAE,199.97229755,3
110,QLD-Outback Queensland,SMAPE,34.09345280761587,3
111,QLD-Southern Queensland Country,MSE,8918.742524258681,3
112,QLD-Southern Queensland Country,MAE,80.23784645,3
113,QLD-Southern Queensland Country,SMAPE,17.02489375075804,3
114,QLD-Sunshine Coast,MSE,17745.462055444805,3
115,QLD-Sunshine Coast,MAE,117.2688639,3
116,QLD-Sunshine Coast,SMAPE,11.258387711062335,3
117,QLD-Townsville,MSE,9387.196019556097,3
118,QLD-Townsville,MAE,75.65803823333333,3
119,QLD-Townsville,SMAPE,23.43682073125184,3
120,QLD-Tropical North Queensland,MSE,23421.6152120576,3
121,QLD-Tropical North Queensland,MAE,131.78267736666672,3
122,QLD-Tropical North Queensland,SMAPE,21.91528216925008,3
123,QLD-Whitsundays,MSE,4614.35876836824,3
124,QLD-Whitsundays,MAE,64.11201055000001,3
125,QLD-Whitsundays,SMAPE,35.97400256428413,3
126,SA-Adelaide,MSE,77524.05025374542,3
127,SA-Adelaide,MAE,219.65056868333332,3
128,SA-Adelaide,SMAPE,24.04113142147398,3
129,SA-Adelaide Hills,MSE,407.27671757847094,3
130,SA-Adelaide Hills,MAE,15.597287966666665,3
131,SA-Adelaide Hills,SMAPE,32.51541509807324,3
132,SA-Barossa,MSE,211.63745082470825,3
133,SA-Barossa,MAE,11.478973983333333,3
134,SA-Barossa,SMAPE,20.527017750939905,3
135,SA-Clare Valley,MSE,640.3903862242648,3
136,SA-Clare Valley,MAE,24.601908749999996,3
137,SA-Clare Valley,SMAPE,65.84626450529065,3
138,SA-Eyre Peninsula,MSE,20763.716599856394,3
139,SA-Eyre Peninsula,MAE,100.29822098333331,3
140,SA-Eyre Peninsula,SMAPE,48.70637554142679,3
141,SA-Fleurieu Peninsula,MSE,9973.893466833819,3
142,SA-Fleurieu Peninsula,MAE,64.9240221,3
143,SA-Fleurieu Peninsula,SMAPE,21.65792828006772,3
144,SA-Flinders Ranges and Outback,MSE,20380.729671884194,3
145,SA-Flinders Ranges and Outback,MAE,101.29590508333335,3
146,SA-Flinders Ranges and Outback,SMAPE,39.686244064396,3
147,SA-Kangaroo Island,MSE,640.8063018321278,3
148,SA-Kangaroo Island,MAE,22.13665555,3
149,SA-Kangaroo Island,SMAPE,47.35105168668946,3
150,SA-Limestone Coast,MSE,6768.330604442856,3
151,SA-Limestone Coast,MAE,57.741942400000006,3
152,SA-Limestone Coast,SMAPE,26.987225597640375,3
153,"SA-Murray River, Lakes and Coorong",MSE,7102.271363769144,3
154,"SA-Murray River, Lakes and Coorong",MAE,60.1813847,3
155,"SA-Murray River, Lakes and Coorong",SMAPE,50.62827711544555,3
156,SA-Riverland,MSE,755.0665184456498,3
157,SA-Riverland,MAE,22.901140366666663,3
158,SA-Riverland,SMAPE,22.59087397588578,3
159,SA-Yorke Peninsula,MSE,9815.75224560481,3
160,SA-Yorke Peninsula,MAE,76.38156514999999,3
161,SA-Yorke Peninsula,SMAPE,40.90203178242322,3
162,TAS-East Coast,MSE,1664.0047865025906,3
163,TAS-East Coast,MAE,34.18382938333335,3
164,TAS-East Coast,SMAPE,27.719819504975966,3
165,TAS-Hobart and the South,MSE,31584.909199732017,3
166,TAS-Hobart and the South,MAE,144.72045896666668,3
167,TAS-Hobart and the South,SMAPE,26.283859870929962,3
168,TAS-Launceston and the North,MSE,6589.20837978932,3
169,TAS-Launceston and the North,MAE,74.88942216666668,3
170,TAS-Launceston and the North,SMAPE,29.635435597633766,3
171,TAS-North West,MSE,6520.175085093569,3
172,TAS-North West,MAE,67.12659703333334,3
173,TAS-North West,SMAPE,37.83649148325277,3
174,TAS-West Coast,MSE,2128.065328926699,3
175,TAS-West Coast,MAE,35.736314633333336,3
176,TAS-West Coast,SMAPE,62.892471646340496,3
177,VIC-Ballarat,MSE,4022.3020377043395,3
178,VIC-Ballarat,MAE,55.11896715,3
