,ts_name,error_metric,error,level
0,Aggregated,MSE,10799542.341186006,1
1,Aggregated,MAE,2871.283885959883,1
2,Aggregated,SMAPE,8.446915917242707,1
3,NSW,MSE,985538.1056129128,2
4,NSW,MAE,811.3693777079048,2
5,NSW,SMAPE,7.3156678572003635,2
6,NT,MSE,7108.392362979411,2
7,NT,MAE,67.85446342408935,2
8,NT,SMAPE,10.624798087668433,2
9,QLD,MSE,1024202.6530149607,2
10,QLD,MAE,903.5086412578684,2
11,QLD,SMAPE,11.622420841937545,2
12,SA,MSE,165918.24146158894,2
13,SA,MAE,329.8904355913383,2
14,SA,SMAPE,14.910425111037538,2
15,TAS,MSE,38332.105860605865,2
16,TAS,MAE,161.61234541942403,2
17,TAS,SMAPE,12.387824235068148,2
18,VIC,MSE,486197.709362933,2
19,VIC,MAE,642.4136771362951,2
20,VIC,SMAPE,9.927737144258256,2
21,WA,MSE,196914.52271500067,2
22,WA,MAE,307.7746012612832,2
23,WA,SMAPE,7.743692006035962,2
24,NSW-Blue Mountains,MSE,1070.3657522430265,3
25,NSW-Blue Mountains,MAE,27.756894045310005,3
26,NSW-Blue Mountains,SMAPE,11.48891070664223,3
27,NSW-Canberra,MSE,17524.87172734982,3
28,NSW-Canberra,MAE,116.00775356534702,3
29,NSW-Canberra,SMAPE,19.219443164208773,3
30,NSW-Capital Country,MSE,11023.771444994278,3
31,NSW-Capital Country,MAE,79.48403853147633,3
32,NSW-Capital Country,SMAPE,23.44858499766307,3
33,NSW-Central Coast,MSE,32158.357906614718,3
34,NSW-Central Coast,MAE,145.469865239842,3
35,NSW-Central Coast,SMAPE,34.263723578854545,3
36,NSW-Central NSW,MSE,44742.216014727856,3
37,NSW-Central NSW,MAE,203.02944220540564,3
38,NSW-Central NSW,SMAPE,32.41489750708886,3
39,NSW-Hunter,MSE,103570.79793182849,3
40,NSW-Hunter,MAE,243.72429520550102,3
41,NSW-Hunter,SMAPE,21.02043067125457,3
42,NSW-New England North West,MSE,14464.598134261194,3
43,NSW-New England North West,MAE,89.90268229037734,3
44,NSW-New England North West,SMAPE,23.316517422433822,3
45,NSW-North Coast NSW,MSE,124925.94502836867,3
46,NSW-North Coast NSW,MAE,290.52028665438166,3
47,NSW-North Coast NSW,SMAPE,13.263853369926306,3
48,NSW-Outback NSW,MSE,3393.717198802153,3
49,NSW-Outback NSW,MAE,44.87620569649565,3
50,NSW-Outback NSW,SMAPE,32.40038465988794,3
51,NSW-Riverina,MSE,3503.8312956293544,3
52,NSW-Riverina,MAE,44.91482039974468,3
53,NSW-Riverina,SMAPE,21.817507029629024,3
54,NSW-Snowy Mountains,MSE,8199.04076434953,3
55,NSW-Snowy Mountains,MAE,75.13579357597567,3
56,NSW-Snowy Mountains,SMAPE,38.718600978125195,3
57,NSW-South Coast,MSE,26635.78857128522,3
58,NSW-South Coast,MAE,124.10375623441614,3
