,ts_name,error_metric,error,level
0,Aggregated,MSE,15284138.94431016,1
1,Aggregated,MAE,3325.564456391666,1
2,Aggregated,SMAPE,10.4987415174707,1
3,NSW,MSE,2024325.143362794,2
4,NSW,MAE,1255.9259968,2
5,NSW,SMAPE,12.883940903688522,2
6,NT,MSE,14517.285716778459,2
7,NT,MAE,86.11054709166667,2
8,NT,SMAPE,11.089149765911902,2
9,QLD,MSE,1054076.0503041747,2
10,QLD,MAE,907.16351215,2
11,QLD,SMAPE,11.122313236780803,2
12,SA,MSE,169326.06724193753,2
13,SA,MAE,344.44916115,2
14,SA,SMAPE,16.377155350680233,2
15,TAS,MSE,37900.29988506127,2
16,TAS,MAE,150.12041743333336,2
17,TAS,SMAPE,15.550450582613562,2
18,VIC,MSE,480968.5584226043,2
19,VIC,MAE,624.90717385,2
20,VIC,SMAPE,10.059733909046102,2
21,WA,MSE,481933.00007115706,2
22,WA,MAE,585.8019580166666,2
23,WA,SMAPE,14.440984830041653,2
24,NSW-Blue Mountains,MSE,2295.8934289759504,3
25,NSW-Blue Mountains,MAE,42.33503865833334,3
26,NSW-Blue Mountains,SMAPE,17.263460315873015,3
27,NSW-Canberra,MSE,61153.795137601905,3
28,NSW-Canberra,MAE,182.67252005,3
29,NSW-Canberra,SMAPE,25.693214960340654,3
30,NSW-Capital Country,MSE,9002.03132025057,3
31,NSW-Capital Country,MAE,71.552224625,3
32,NSW-Capital Country,SMAPE,23.84935033076427,3
33,NSW-Central Coast,MSE,13754.125261855492,3
34,NSW-Central Coast,MAE,88.26805988333332,3
35,NSW-Central Coast,SMAPE,24.70510593707781,3
36,NSW-Central NSW,MSE,14051.533371873413,3
37,NSW-Central NSW,MAE,90.20210121666668,3
38,NSW-Central NSW,SMAPE,15.051696403638939,3
39,NSW-Hunter,MSE,38385.38112429477,3
40,NSW-Hunter,MAE,154.10198265,3
41,NSW-Hunter,SMAPE,15.220403775707334,3
42,NSW-New England North West,MSE,15371.001413432605,3
43,NSW-New England North West,MAE,96.055982875,3
44,NSW-New England North West,SMAPE,24.915682646358604,3
45,NSW-North Coast NSW,MSE,96640.6604370727,3
46,NSW-North Coast NSW,MAE,277.8906145250001,3
47,NSW-North Coast NSW,SMAPE,15.181422516319872,3
48,NSW-Outback NSW,MSE,5756.008716321555,3
49,NSW-Outback NSW,MAE,51.37773094999999,3
50,NSW-Outback NSW,SMAPE,31.82848410773529,3
51,NSW-Riverina,MSE,6027.958798919455,3
52,NSW-Riverina,MAE,56.91856691666667,3
53,NSW-Riverina,SMAPE,21.942762325100606,3
54,NSW-Snowy Mountains,MSE,5965.865264044961,3
55,NSW-Snowy Mountains,MAE,59.73143660833333,3
56,NSW-Snowy Mountains,SMAPE,25.93544839356379,3
57,NSW-South Coast,MSE,88281.93287962255,3
58,NSW-South Coast,MAE,207.57706085833334,3
59,NSW-South Coast,SMAPE,18.870283374848754,3
60,NSW-Sydney,MSE,257498.04564925525,3
61,NSW-Sydney,MAE,415.62805785,3
62,NSW-Sydney,SMAPE,14.728329543486247,3
63,NSW-The Murray,MSE,7404.130596373168,3
64,NSW-The Murray,MAE,67.23442811666666,3
65,NSW-The Murray,SMAPE,22.453370736196934,3
66,NT-Alice Springs,MSE,2608.1587313378427,3
67,NT-Alice Springs,MAE,45.30692682500001,3
68,NT-Alice Springs,SMAPE,51.100033544407125,3
69,NT-Barkly,MSE,269.0832207335885,3
70,NT-Barkly,MAE,13.537006916666664,3
71,NT-Barkly,SMAPE,79.56565451539483,3
72,NT-Darwin,MSE,17487.318153741016,3
73,NT-Darwin,MAE,99.84134520833334,3
74,NT-Darwin,SMAPE,28.8967707539262,3
75,NT-Katherine Daly,MSE,3560.4399377562754,3
76,NT-Katherine Daly,MAE,50.86645148333333,3
77,NT-Katherine Daly,SMAPE,73.36990174708198,3
78,NT-Lasseter,MSE,1458.1386914057484,3
79,NT-Lasseter,MAE,32.636965274999994,3
80,NT-Lasseter,SMAPE,60.767460480085994,3
81,NT-Litchfield Kakadu Arnhem,MSE,2182.7540046744784,3
82,NT-Litchfield Kakadu Arnhem,MAE,37.85072004166666,3
83,NT-Litchfield Kakadu Arnhem,SMAPE,48.42277501977086,3
84,NT-MacDonnell,MSE,357.03188486167613,3
85,NT-MacDonnell,MAE,16.323053458333334,3
86,NT-MacDonnell,SMAPE,77.90195447044917,3
87,QLD-Brisbane,MSE,52174.05852012993,3
88,QLD-Brisbane,MAE,187.84884502500006,3
89,QLD-Brisbane,SMAPE,9.527467976818095,3
90,QLD-Bundaberg,MSE,6948.234744985367,3
91,QLD-Bundaberg,MAE,61.17862680833335,3
92,QLD-Bundaberg,SMAPE,28.950373727613215,3
93,QLD-Capricorn,MSE,16788.644953125735,3
94,QLD-Capricorn,MAE,83.99617958333333,3
95,QLD-Capricorn,SMAPE,20.69596577977902,3
96,QLD-Fraser Coast,MSE,10595.825824801545,3
97,QLD-Fraser Coast,MAE,85.00047670000002,3
98,QLD-Fraser Coast,SMAPE,33.617800237980916,3
99,QLD-Gladstone,MSE,5696.521279544374,3
100,QLD-Gladstone,MAE,57.82525053333334,3
101,QLD-Gladstone,SMAPE,36.484603094925085,3
102,QLD-Gold Coast,MSE,108823.280434473,3
103,QLD-Gold Coast,MAE,265.9834643,3
104,QLD-Gold Coast,SMAPE,19.613262421922432,3
105,QLD-Mackay,MSE,21635.571189902086,3
106,QLD-Mackay,MAE,106.97453197499999,3
107,QLD-Mackay,SMAPE,30.245018006287587,3
108,QLD-Outback Queensland,MSE,86353.97551936368,3
109,QLD-Outback Queensland,MAE,151.61394354166666,3
110,QLD-Outback Queensland,SMAPE,29.18105307613445,3
111,QLD-Southern Queensland Country,MSE,11462.650589894683,3
112,QLD-Southern Queensland Country,MAE,77.55041772499997,3
113,QLD-Southern Queensland Country,SMAPE,15.009035923779512,3
