,ts_name,error_metric,error,level
0,Aggregated,MSE,15576302.397666745,1
1,Aggregated,MAE,3461.2166975583327,1
2,Aggregated,SMAPE,10.698722000675865,1
3,NSW,MSE,2196987.641668506,2
4,NSW,MAE,1328.1128839499995,2
5,NSW,SMAPE,13.59210052102783,2
6,NT,MSE,18284.018014933365,2
7,NT,MAE,102.46655330833335,2
8,NT,SMAPE,13.801065244327031,2
9,QLD,MSE,1294798.3841368514,2
10,QLD,MAE,1017.444603816667,2
11,QLD,SMAPE,12.372779305544412,2
12,SA,MSE,129855.7573020057,2
13,SA,MAE,288.06658760000005,2
14,SA,SMAPE,13.102755018469438,2
15,TAS,MSE,36209.450708096854,2
16,TAS,MAE,149.64592119999998,2
17,TAS,SMAPE,15.477226743503731,2
18,VIC,MSE,474203.1782677153,2
19,VIC,MAE,631.9973613499999,2
20,VIC,SMAPE,9.882741869946354,2
21,WA,MSE,478810.21943131805,2
22,WA,MAE,578.8112246833333,2
23,WA,SMAPE,14.374946058376405,2
24,NSW-Blue Mountains,MSE,1788.7032337510855,3
25,NSW-Blue Mountains,MAE,38.115346158333345,3
26,NSW-Blue Mountains,SMAPE,15.922562733892791,3
27,NSW-Canberra,MSE,60103.178088080596,3
28,NSW-Canberra,MAE,182.88494796666666,3
29,NSW-Canberra,SMAPE,25.88059924662777,3
30,NSW-Capital Country,MSE,8509.52832377959,3
31,NSW-Capital Country,MAE,70.82481879166666,3
32,NSW-Capital Country,SMAPE,24.056699590598647,3
33,NSW-Central Coast,MSE,14380.19905576834,3
34,NSW-Central Coast,MAE,91.86463359999999,3
35,NSW-Central Coast,SMAPE,25.32423946021158,3
36,NSW-Central NSW,MSE,11501.370686339105,3
37,NSW-Central NSW,MAE,82.10174371666666,3
38,NSW-Central NSW,SMAPE,14.030013114494839,3
39,NSW-Hunter,MSE,44023.021702491766,3
40,NSW-Hunter,MAE,165.32425265000003,3
41,NSW-Hunter,SMAPE,16.25239602049955,3
42,NSW-New England North West,MSE,13386.081083393154,3
43,NSW-New England North West,MAE,91.12015704166667,3
44,NSW-New England North West,SMAPE,24.074783383255095,3
45,NSW-North Coast NSW,MSE,104321.37064350229,3
46,NSW-North Coast NSW,MAE,287.79369785833336,3
47,NSW-North Coast NSW,SMAPE,15.62950391825868,3
48,NSW-Outback NSW,MSE,5475.38209504078,3
49,NSW-Outback NSW,MAE,47.113521416666664,3
50,NSW-Outback NSW,SMAPE,29.30521684874541,3
51,NSW-Riverina,MSE,5116.922628334251,3
52,NSW-Riverina,MAE,53.06341525,3
53,NSW-Riverina,SMAPE,21.073641000041427,3
54,NSW-Snowy Mountains,MSE,5217.0942605472,3
55,NSW-Snowy Mountains,MAE,54.08569354166667,3
56,NSW-Snowy Mountains,SMAPE,23.85147676710806,3
57,NSW-South Coast,MSE,90197.96612885587,3
58,NSW-South Coast,MAE,208.65669434166668,3
59,NSW-South Coast,SMAPE,19.26267210023103,3
60,NSW-Sydney,MSE,272525.4792802374,3
61,NSW-Sydney,MAE,429.42714118333333,3
62,NSW-Sydney,SMAPE,15.21122938180399,3
63,NSW-The Murray,MSE,7650.874748365114,3
