,ts_name,error_metric,error,level
0,Aggregated,MSE,7615532.878443632,1
1,Aggregated,MAE,2208.6845071999983,1
2,Aggregated,SMAPE,6.855618688719105,1
3,NSW,MSE,810845.6079507335,2
4,NSW,MAE,712.8260235499998,2
5,NSW,SMAPE,7.411107385881544,2
6,NT,MSE,10504.925534393164,2
7,NT,MAE,95.43624053333332,2
8,NT,SMAPE,16.15919215374245,2
9,QLD,MSE,735173.5557493325,2
10,QLD,MAE,767.232659783333,2
11,QLD,SMAPE,10.04536109940458,2
12,SA,MSE,131732.4680664822,2
13,SA,MAE,272.22373508333345,2
14,SA,SMAPE,11.926509342237358,2
15,TAS,MSE,19212.167582558108,2
16,TAS,MAE,95.25149145000006,2
17,TAS,SMAPE,7.641773949723259,2
18,VIC,MSE,281464.21070877515,2
19,VIC,MAE,445.12611138333324,2
20,VIC,SMAPE,6.811966679125344,2
21,WA,MSE,190995.07301403,2
22,WA,MAE,356.65987994999983,2
23,WA,SMAPE,8.659541205926727,2
24,NSW-Blue Mountains,MSE,2527.3796531146945,3
25,NSW-Blue Mountains,MAE,42.49068406666668,3
26,NSW-Blue Mountains,SMAPE,16.043920422258434,3
27,NSW-Canberra,MSE,31455.016233153587,3
28,NSW-Canberra,MAE,128.99641440000002,3
29,NSW-Canberra,SMAPE,20.755286376090698,3
30,NSW-Capital Country,MSE,10953.889088378035,3
31,NSW-Capital Country,MAE,78.96850240000002,3
32,NSW-Capital Country,SMAPE,24.53537605541869,3
33,NSW-Central Coast,MSE,17598.72165603647,3
34,NSW-Central Coast,MAE,103.20240536666667,3
35,NSW-Central Coast,SMAPE,25.741501689484885,3
36,NSW-Central NSW,MSE,17818.969447289634,3
37,NSW-Central NSW,MAE,100.26355451666666,3
38,NSW-Central NSW,SMAPE,17.08607334532775,3
39,NSW-Hunter,MSE,37312.530442641815,3
40,NSW-Hunter,MAE,165.59377828333334,3
41,NSW-Hunter,SMAPE,15.458472401736397,3
42,NSW-New England North West,MSE,15566.712087415059,3
43,NSW-New England North West,MAE,88.22978465,3
44,NSW-New England North West,SMAPE,21.672992503039552,3
45,NSW-North Coast NSW,MSE,110081.80728812244,3
46,NSW-North Coast NSW,MAE,277.41694190000004,3
47,NSW-North Coast NSW,SMAPE,13.702923335578625,3
48,NSW-Outback NSW,MSE,3325.0826094011077,3
49,NSW-Outback NSW,MAE,46.65833961666667,3
50,NSW-Outback NSW,SMAPE,34.78583228139553,3
51,NSW-Riverina,MSE,5699.565562238894,3
52,NSW-Riverina,MAE,62.588306433333344,3
53,NSW-Riverina,SMAPE,25.86800648895271,3
54,NSW-Snowy Mountains,MSE,4398.068785023924,3
55,NSW-Snowy Mountains,MAE,58.63836208333333,3
56,NSW-Snowy Mountains,SMAPE,33.05817983843515,3
57,NSW-South Coast,MSE,33532.161490161314,3
58,NSW-South Coast,MAE,120.41723581666662,3
59,NSW-South Coast,SMAPE,9.917977870490873,3
60,NSW-Sydney,MSE,201396.60600089046,3
61,NSW-Sydney,MAE,360.54102179999995,3
62,NSW-Sydney,SMAPE,12.38996480989435,3
63,NSW-The Murray,MSE,4389.259132507093,3
64,NSW-The Murray,MAE,55.11592165,3
65,NSW-The Murray,SMAPE,18.417253520341326,3
66,NT-Alice Springs,MSE,1905.3237565343952,3
67,NT-Alice Springs,MAE,41.6364922,3
68,NT-Alice Springs,SMAPE,68.14701322861478,3
69,NT-Barkly,MSE,335.29200504656615,3
70,NT-Barkly,MAE,16.787648466666667,3
71,NT-Barkly,SMAPE,94.0096915755847,3
72,NT-Darwin,MSE,16379.924489615858,3
73,NT-Darwin,MAE,82.81653691666666,3
74,NT-Darwin,SMAPE,27.752013542720015,3
75,NT-Katherine Daly,MSE,6008.345927927009,3
76,NT-Katherine Daly,MAE,72.17183193333334,3
77,NT-Katherine Daly,SMAPE,112.13029849631451,3
78,NT-Lasseter,MSE,1090.4833833329012,3
79,NT-Lasseter,MAE,28.29206415,3
80,NT-Lasseter,SMAPE,48.21318961568949,3
81,NT-Litchfield Kakadu Arnhem,MSE,2027.0586604241569,3
82,NT-Litchfield Kakadu Arnhem,MAE,34.0393082,3
83,NT-Litchfield Kakadu Arnhem,SMAPE,36.11060150070482,3
84,NT-MacDonnell,MSE,766.997152556485,3
85,NT-MacDonnell,MAE,26.547950266666664,3
86,NT-MacDonnell,SMAPE,113.41539514759293,3
87,QLD-Brisbane,MSE,40359.73164588015,3
88,QLD-Brisbane,MAE,176.09878876666664,3
89,QLD-Brisbane,SMAPE,9.436546799785935,3
90,QLD-Bundaberg,MSE,10094.455830284342,3
91,QLD-Bundaberg,MAE,79.84247846666666,3
92,QLD-Bundaberg,SMAPE,35.564266819278956,3
93,QLD-Capricorn,MSE,2210.470132785294,3
94,QLD-Capricorn,MAE,34.00895391666666,3
95,QLD-Capricorn,SMAPE,12.820049717003243,3
96,QLD-Fraser Coast,MSE,4672.199339732878,3
