,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,11945.803,11995.318,12008.337,12071.872,12120.971,12167.244,12197.113,12243.362,12284.296,12334.142,12366.388,12405.373
Clerical and Administrative Workers,1334.5149,1338.0364,1336.4873,1343.0612,1349.0868,1347.8153,1349.0978,1351.572,1358.6919,1358.7021,1361.9434,1364.8594
Community and Personal Service Workers,1244.0149,1245.3711,1254.3707,1266.597,1273.3922,1279.905,1289.9725,1299.6526,1303.508,1311.2975,1318.1648,1326.06
Labourers,1131.1296,1126.2181,1129.165,1139.1774,1138.9641,1133.8522,1138.4174,1144.2314,1144.6683,1142.6116,1144.621,1145.9845
Machinery Operators and Drivers,737.0015,742.3382,737.9424,735.7002,735.3351,740.34845,743.1653,743.7545,741.3527,742.52765,744.09125,745.54114
Managers,1540.4395,1546.8536,1553.139,1558.368,1565.2267,1571.1052,1574.4177,1582.5835,1588.216,1594.0127,1599.6771,1604.7814
Professionals,2753.7751,2784.252,2792.2139,2810.5493,2832.025,2862.4456,2867.62,2881.6255,2896.881,2929.2559,2938.1985,2949.802
Sales Workers,1465.9645,1469.7451,1465.5638,1474.0319,1477.1704,1482.5272,1484.2189,1489.1885,1493.276,1498.5884,1500.5198,1505.5186
Technicians and Trades Workers,1738.9637,1742.5034,1739.456,1744.3865,1749.7704,1749.2441,1750.2035,1750.7542,1757.7021,1757.1475,1759.1713,1762.8265
Clerical and Administrative Workers-Full time,826.25793,825.35736,822.8657,824.9898,827.8911,826.5698,825.1455,826.5943,829.86,828.4864,827.3372,828.55853
Clerical and Administrative Workers-Part time,508.25696,512.679,513.6215,518.0713,521.19574,521.2455,523.95233,524.9778,528.8319,530.21576,534.6061,536.3008
Community and Personal Service Workers-Full time,559.21484,555.85016,555.6476,559.07263,563.4282,565.7441,567.83075,570.79626,573.76624,576.72754,579.0782,582.14
Community and Personal Service Workers-Part time,684.80005,689.52094,698.723,707.5244,709.964,714.161,722.1417,728.8564,729.7418,734.5699,739.0866,743.92
