,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,11930.145,11973.286,12002.811,12049.71,12095.967,12145.599,12174.349,12222.639,12257.5,12310.07,12340.687,12375.848
Clerical and Administrative Workers,1336.8923,1341.4094,1340.2076,1344.6544,1352.3555,1351.8726,1352.111,1353.4917,1361.5055,1362.2484,1364.4374,1367.1438
Community and Personal Service Workers,1238.1552,1236.0361,1245.4297,1257.4767,1265.6725,1269.2714,1279.5388,1289.1628,1293.9669,1300.0103,1307.2126,1314.8032
Labourers,1129.7601,1127.2222,1128.208,1139.7192,1138.4071,1134.7853,1138.8286,1145.289,1145.4161,1145.7335,1146.6494,1147.6984
Machinery Operators and Drivers,740.37585,746.48737,742.46594,739.0195,739.7865,743.57806,746.3408,745.82574,744.5476,744.4611,746.20746,748.04285
Managers,1546.8976,1549.325,1559.332,1561.9003,1568.2845,1572.8652,1576.627,1585.6272,1590.9437,1595.4034,1601.61,1606.4381
Professionals,2744.1665,2773.1216,2784.311,2796.3,2813.6477,2850.2708,2853.6348,2869.7358,2878.8633,2915.1545,2922.7178,2932.357
Sales Workers,1452.5911,1456.2667,1457.8442,1462.8561,1465.9515,1470.2128,1473.5425,1477.5522,1481.5109,1485.7196,1489.4691,1493.6392
Technicians and Trades Workers,1741.3049,1743.4181,1745.0103,1747.7859,1751.8629,1752.7429,1753.7268,1755.9568,1760.7468,1761.3407,1762.3827,1765.727
Clerical and Administrative Workers-Full time,828.1095,827.3435,824.12616,825.4367,829.261,828.5365,826.18494,827.0793,830.9032,830.2931,828.17896,829.2118
Clerical and Administrative Workers-Part time,508.78293,514.066,516.08154,519.2178,523.0945,523.3361,525.9261,526.4124,530.6024,531.9553,536.25836,537.932
Community and Personal Service Workers-Full time,560.7309,555.61914,556.3761,560.0089,565.02167,566.2955,568.6759,571.8329,575.1055,577.5574,580.1757,583.1399
Community and Personal Service Workers-Part time,677.42413,680.41705,689.0535,697.4677,700.65076,702.9759,710.863,717.3299,718.8614,722.4529,727.03687,731.6633
Labourers-Full time,617.2761,612.23004,611.53186,621.2003,618.22766,613.1221,615.5322,620.4938,618.84924,617.6155,616.84,616.2489
Labourers-Part time,512.484,514.9921,516.67615,518.51904,520.17944,521.6632,523.2964,524.79517,526.5669,528.11804,529.8094,531.4495
Machinery Operators and Drivers-Full time,629.51105,631.6725,627.20197,623.0018,623.15607,626.4002,628.5353,627.46216,625.50977,624.7969,625.89484,627.1506
Machinery Operators and Drivers-Part time,110.864784,114.81484,115.263954,116.017715,116.63044,117.17788,117.80552,118.36357,119.037834,119.664246,120.31263,120.8923
Managers-Full time,1342.5325,1348.8679,1353.1816,1358.5867,1363.7244,1368.7891,1373.8661,1378.8743,1384.0735,1389.1335,1394.1741,1399.3237
Managers-Part time,204.36508,200.4571,206.15027,203.31358,204.56015,204.07617,202.76086,206.75296,206.87022,206.26984,207.43597,207.11447
Professionals-Full time,2031.5066,2030.6522,2040.227,2050.0515,2075.4712,2080.8164,2080.8503,2097.6553,2114.0532,2119.119,2122.7817,2133.9663
Professionals-Part time,712.65985,742.4692,744.0841,746.24854,738.17645,769.45435,772.7843,772.0806,764.81,796.0355,799.936,798.39056
Sales Workers-Full time,729.7664,729.58746,727.5237,728.5315,727.8313,728.29016,727.839,728.1146,728.13385,728.5105,728.4089,728.7481
Sales Workers-Part time,722.8246,726.6793,730.3205,734.3246,738.12024,741.92267,745.7035,749.4375,753.37695,757.2091,761.0602,764.8911
Technicians and Trades Workers-Full time,1499.3154,1498.0873,1496.1392,1498.6957,1501.3625,1500.0914,1499.2151,1500.7565,1503.6958,1502.7411,1502.0712,1503.926
Technicians and Trades Workers-Part time,241.98955,245.33075,248.87102,249.09018,250.50034,252.65154,254.51169,255.20024,257.051,258.59955,260.3115,261.801
Clerical and Administrative Workers-Full time-Females,617.04364,616.9975,616.86456,617.0329,617.10913,617.0824,617.1275,617.07684,617.2093,617.2267,617.2843,617.3389
Clerical and Administrative Workers-Full time-Males,211.06583,210.34604,207.2616,208.40381,212.15189,211.45407,209.05742,210.00246,213.69392,213.0664,210.89467,211.87283
Clerical and Administrative Workers-Part time-Females,468.929,472.94168,475.7442,478.2943,480.42313,482.43423,484.48514,486.47144,488.49384,490.4241,492.46045,494.45374
Clerical and Administrative Workers-Part time-Males,39.85393,41.124294,40.337326,40.92345,42.671387,40.901905,41.44093,39.940952,42.108555,41.53124,43.79792,43.47826
Community and Personal Service Workers-Full time-Females,328.0869,322.7455,320.71716,326.78873,329.43042,329.90707,330.99136,333.80392,335.8738,337.4172,339.07654,341.18802
