,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,11914.08,11994.22,11966.858,12055.927,12066.617,12146.524,12119.659,12208.107,12218.589,12299.094,12272.594,12360.565
Clerical and Administrative Workers,1326.7593,1332.6501,1327.761,1332.1218,1337.287,1343.4464,1338.6177,1343.1959,1347.8331,1354.2664,1349.5919,1354.1653
Community and Personal Service Workers,1224.3997,1247.2493,1247.1113,1255.6443,1250.4008,1273.2954,1273.177,1281.5594,1276.3566,1299.2871,1299.1582,1307.5449
Labourers,1125.1754,1126.4369,1111.3812,1131.1799,1131.1504,1132.1077,1117.1042,1136.8226,1136.9575,1137.8491,1122.8638,1142.44
Machinery Operators and Drivers,728.2545,731.1606,730.7367,735.1527,731.18896,734.1984,733.7032,738.49646,734.21027,737.2508,736.8307,741.8242
Managers,1549.0048,1551.8009,1556.5186,1571.9874,1573.0704,1575.56,1580.3932,1596.1196,1597.1028,1599.5074,1604.4819,1620.3348
Professionals,2763.76,2799.4478,2805.7432,2809.0007,2825.157,2860.4912,2866.8987,2869.0864,2886.282,2921.5273,2927.476,2929.6628
Sales Workers,1451.3156,1463.5825,1458.1372,1478.9602,1466.8094,1479.2433,1473.7347,1494.3438,1482.1241,1494.7655,1489.4626,1509.5464
Technicians and Trades Workers,1745.4109,1741.8906,1729.4686,1741.8815,1751.5515,1748.1819,1736.0293,1748.4835,1757.723,1754.6392,1742.7295,1755.0466
Clerical and Administrative Workers-Full time,828.0825,822.66724,818.7908,822.4503,828.27527,823.08405,819.2623,822.95374,828.4709,823.46936,819.78204,823.39453
Clerical and Administrative Workers-Part time,498.6767,509.9829,508.9702,509.67142,509.01166,520.3624,519.3553,520.2421,519.3623,530.79694,529.8099,530.7709
Community and Personal Service Workers-Full time,546.0069,548.3952,550.15045,554.50183,556.4857,558.97754,560.8055,565.1206,566.9668,569.5686,571.43335,575.7404
Community and Personal Service Workers-Part time,678.39264,698.85406,696.96094,701.14246,693.91504,714.3178,712.3716,716.43884,709.3897,729.71844,727.72485,731.80444
Labourers-Full time,619.4678,611.047,599.98517,611.1617,618.9916,610.4246,599.41077,610.41315,618.3765,609.79224,598.81604,609.5413
Labourers-Part time,505.70764,515.3899,511.39606,520.0183,512.1588,521.68304,517.6934,526.40955,518.58105,528.0568,524.04767,532.8987
Machinery Operators and Drivers-Full time,617.2956,618.3772,617.2562,620.64966,617.79596,618.98,617.80835,621.49347,618.3645,619.59436,618.4994,622.3282
Machinery Operators and Drivers-Part time,110.958885,112.7834,113.48053,114.50309,113.39296,115.218414,115.89488,117.00298,115.84578,117.656395,118.33128,119.49604
Managers-Full time,1340.3934,1343.8489,1348.9095,1363.9233,1362.3275,1365.6581,1370.7988,1386.101,1384.2712,1387.6074,1392.8638,1408.3154
Managers-Part time,208.61133,207.9521,207.60907,208.06409,210.74295,209.90204,209.59436,210.01863,212.8316,211.89993,211.61807,212.01933
Professionals-Full time,2055.5713,2048.8408,2049.7476,2060.8032,2091.276,2084.0227,2085.0022,2095.2417,2126.7761,2119.0723,2119.7153,2130.0107
Professionals-Part time,708.18866,750.6071,755.99567,748.19745,733.8811,776.4685,781.89655,773.84467,759.50586,802.45514,807.7608,799.65216
