,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,12539.8603515625,12252.525390625,12289.0283203125,12159.7109375,12341.0244140625
1,11368.34765625,11422.0126953125,12604.58984375,13436.4599609375,11659.556640625
2,11328.2744140625,11303.24609375,11340.8876953125,11531.6064453125,11020.5126953125
3,11159.1328125,11574.3779296875,11577.4150390625,11187.599609375,11295.1123046875
4,11525.0,11034.8955078125,11210.095703125,10864.33203125,10943.3544921875
5,11311.3291015625,11228.3974609375,11367.83203125,11034.9228515625,10908.056640625
6,11208.5166015625,11423.2099609375,11085.3134765625,10980.4560546875,10896.7255859375
7,10982.091796875,10981.1474609375,11142.427734375,10981.23828125,10812.9521484375
8,10953.2626953125,11043.1640625,11134.556640625,11008.2099609375,11085.736328125
9,10638.2373046875,10929.2041015625,11286.55078125,10268.3330078125,11208.7392578125
10,11440.48828125,11198.6796875,10777.958984375,10738.3037109375,10790.3818359375
11,10363.3994140625,10912.1171875,10904.458984375,10600.958984375,10793.4921875
12,10474.1669921875,10806.8515625,10794.1953125,11197.833984375,10579.0595703125
13,10746.80859375,10744.4619140625,10941.1748046875,10715.025390625,10457.900390625
14,11025.5859375,10815.15625,10836.0224609375,10467.716796875,10190.56640625
15,10464.9462890625,10559.294921875,10737.3212890625,10431.134765625,10637.146484375
16,10245.90234375,10953.3935546875,10799.4501953125,10160.3525390625,10251.8408203125
17,10989.7294921875,10405.3466796875,11090.5537109375,10679.091796875,10682.73046875
18,10821.392578125,10623.9599609375,10862.39453125,10454.4775390625,10660.3623046875
19,10515.232421875,10166.708984375,10531.208984375,10208.6572265625,10267.4453125
20,10684.4921875,10595.740234375,10997.1640625,10693.0947265625,10023.166015625
21,10445.58203125,10393.09375,10884.947265625,9863.3505859375,10461.57421875
22,10364.611328125,10828.0458984375,10989.720703125,10104.529296875,10358.15625
23,10867.8056640625,10483.9091796875,10836.228515625,10073.841796875,10638.470703125
24,10555.080078125,10322.263671875,11121.166015625,10287.3984375,9579.3955078125
25,10137.029296875,10242.587890625,10525.7919921875,10932.6416015625,10109.4658203125
26,10560.443359375,9993.8779296875,10353.0859375,10320.7158203125,10133.91796875
27,9997.1884765625,10628.248046875,10351.18359375,10565.583984375,9886.0302734375
28,10265.001953125,10080.3642578125,10303.9599609375,10020.474609375,9796.333984375
29,9734.642578125,10852.005859375,10462.15625,10397.1748046875,9675.46484375
30,9594.8115234375,10421.099609375,10130.8779296875,9535.8720703125,9492.87109375
31,9868.240234375,10342.603515625,10824.833984375,10021.9892578125,9460.28515625
32,9368.7783203125,10009.3359375,9757.056640625,10114.708984375,10114.107421875
33,9454.1962890625,10332.576171875,10735.5634765625,10293.91015625,10138.1171875
34,9781.3212890625,10172.89453125,9966.935546875,9779.2529296875,9903.1455078125
35,9498.79296875,9946.3017578125,9830.236328125,9586.658203125,9433.0439453125
36,9466.2001953125,9650.275390625,9748.62890625,9415.9296875,9508.724609375
37,9931.1083984375,10000.3349609375,10232.1572265625,9664.6748046875,9403.7041015625
38,9459.419921875,9599.5546875,10315.2216796875,9751.4931640625,9517.1728515625
39,9577.7998046875,9929.783203125,9863.0615234375,9450.9873046875,9547.220703125
40,9766.16796875,10101.84765625,9737.7373046875,9815.5146484375,9161.689453125
41,9766.443359375,9889.5029296875,9467.6162109375,10422.0,9489.384765625
