,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,216330.46875,252532.703125,229657.703125,255727.90625,241578.25
1,223497.046875,224502.46875,228147.59375,245002.328125,246942.953125
2,243788.21875,221962.71875,247865.84375,229642.828125,250999.953125
3,230910.625,229246.625,234315.40625,226963.40625,217561.703125
4,237113.703125,200480.921875,209477.953125,227797.421875,216167.84375
5,235809.296875,215898.203125,230070.296875,219793.796875,213972.046875
6,218670.46875,186456.75,224351.546875,212805.84375,238821.03125
7,223680.75,235287.125,185485.671875,249624.71875,236659.578125
8,275213.96875,231888.328125,195507.15625,208082.34375,215289.03125
9,228056.671875,213683.25,239144.96875,184101.59375,237718.421875
10,217611.78125,249474.5,259324.125,246715.203125,215529.21875
11,227165.96875,228635.40625,200040.03125,213999.546875,234902.59375
12,224249.296875,233011.40625,284390.3125,244361.5,247245.09375
13,209914.828125,205399.40625,222008.78125,214238.5,217293.453125
14,211107.546875,232602.53125,238381.953125,184176.203125,208957.046875
15,191886.4375,243003.203125,216319.875,256228.171875,202138.125
16,203524.953125,218638.09375,197276.671875,246219.828125,231590.296875
17,204522.765625,198049.5,205381.25,211062.046875,216597.953125
18,211185.375,193004.28125,186325.484375,245014.953125,229089.046875
19,173352.53125,212295.5,180122.96875,201275.125,203071.375
20,218805.203125,203826.234375,206465.1875,183200.015625,220747.796875
21,200690.71875,215906.84375,226192.84375,217679.09375,197962.53125
22,204906.109375,217044.953125,199864.671875,195056.90625,203785.34375
23,205839.734375,213107.25,199062.65625,187346.21875,221648.15625
24,175118.96875,215033.921875,271190.875,198548.515625,236060.078125
25,201329.96875,193776.78125,226210.421875,192273.84375,208731.3125
26,181925.515625,223122.296875,226491.90625,228617.03125,222317.171875
27,190688.515625,228384.046875,211975.15625,252629.09375,196532.03125
28,193300.59375,187613.359375,202911.859375,210862.546875,217306.328125
29,228445.171875,205608.71875,199299.921875,215537.5,199709.140625
30,196309.609375,197067.609375,207833.71875,195776.765625,176201.703125
31,186413.5625,188810.171875,179182.53125,208514.703125,222628.578125
32,199997.25,196138.5625,235822.875,197373.65625,198589.71875
33,183172.90625,226540.203125,205690.84375,228074.921875,188336.828125
34,166048.40625,206787.78125,178597.984375,199122.5625,216239.671875
35,212878.421875,207083.890625,219151.796875,184827.40625,194214.09375
36,181270.3125,218053.53125,211548.375,203277.5,215003.75
37,193543.34375,190636.0,210448.71875,187908.25,224255.28125
38,191846.53125,199924.859375,201325.390625,218021.28125,193448.359375
39,175593.625,200614.90625,181676.28125,171265.53125,233461.171875
40,205538.34375,193843.484375,200908.53125,216118.65625,204038.625
41,187123.53125,211923.0,191749.65625,194470.484375,202269.359375
42,175710.5,221146.328125,188019.421875,153906.03125,181396.984375
43,194639.296875,201013.046875,186040.96875,203649.09375,182451.5
44,212447.90625,204407.8125,165772.03125,185430.765625,207540.125
45,183605.078125,228455.09375,190407.90625,184690.671875,188736.015625
46,210541.078125,208608.9375,183533.0625,213407.421875,187566.53125
47,214582.421875,192015.96875,168478.671875,230829.96875,213336.53125
48,178029.640625,202649.40625,184112.875,181195.578125,210053.75
49,185020.234375,202780.109375,148545.25,189179.15625,229068.59375
50,185439.65625,165789.09375,182489.015625,244707.375,187857.796875
51,186340.34375,190114.453125,197882.328125,178552.953125,192166.84375
52,203311.515625,193132.34375,186055.65625,197536.28125,188932.6875
53,168165.609375,187191.84375,182030.171875,192872.765625,169558.15625
54,187698.359375,227723.03125,203560.4375,197677.046875,169578.984375
55,220315.53125,200971.75,167585.515625,216556.828125,168314.59375
56,201591.03125,211119.5,220889.90625,199777.21875,203987.109375
57,182322.578125,204098.75,187416.359375,229433.25,197754.78125
58,213192.296875,190168.125,176891.0,193270.65625,176069.84375
59,183512.125,203566.890625,189417.296875,186969.484375,218376.65625
60,204573.71875,186089.453125,205760.5,211348.34375,185954.59375
61,193617.1875,177349.21875,211449.078125,184773.9375,195031.15625
62,184927.609375,204214.375,207787.78125,182126.421875,179957.125
63,213971.0,196587.59375,203364.40625,215719.75,181694.4375
64,187791.953125,190010.234375,169339.703125,202576.78125,163534.09375
65,199898.28125,192443.25,214913.828125,216918.90625,209869.421875
66,187267.53125,178778.046875,171044.578125,162412.234375,202175.84375
67,161116.09375,193896.40625,173914.15625,211206.59375,230115.34375
68,170974.625,216611.34375,177337.734375,195237.59375,183378.25
69,181128.84375,203549.625,175378.28125,186987.625,227147.84375
70,184461.09375,224903.96875,189962.859375,201610.609375,201483.96875
71,204249.65625,187054.453125,166959.640625,173940.53125,229726.921875
72,191800.921875,158869.546875,219009.578125,198538.609375,185194.265625
73,202632.03125,234426.90625,173065.015625,167656.234375,176033.90625
74,205982.1875,194207.453125,192533.234375,172996.84375,183508.96875
75,214132.46875,200719.65625,187007.46875,216244.96875,198878.328125
76,183520.71875,214289.625,155412.59375,196820.171875,197904.609375
77,193225.53125,218393.296875,174378.640625,161956.40625,190243.328125
78,186179.078125,195352.40625,183677.5625,199956.15625,199986.09375
79,165191.328125,181003.546875,160231.234375,204164.71875,189548.59375
80,205478.96875,209610.75,176596.34375,196752.21875,200343.625
81,196070.875,203745.96875,151970.40625,173152.171875,156441.71875
82,179134.453125,204042.125,232882.875,196807.125,188400.046875
83,169493.0,200058.5625,185207.765625,201418.546875,206436.546875
84,206869.53125,167766.875,200715.984375,182357.71875,246214.796875
85,188815.703125,211582.09375,205874.9375,210901.03125,193092.09375
86,193035.265625,181429.09375,202726.046875,210817.53125,184490.65625
87,202894.15625,145494.34375,201543.9375,218358.453125,195733.53125
88,205800.09375,205950.28125,173524.796875,163016.78125,186250.59375
89,165501.5625,175758.8125,206928.109375,194136.921875,187703.4375
90,215620.796875,218583.78125,188082.15625,187970.890625,185162.46875
91,193499.0625,179798.390625,191640.140625,209403.984375,183177.578125
92,218001.125,203587.78125,176559.625,164203.125,190064.71875
93,173545.28125,202639.03125,175005.90625,183997.21875,198296.375
94,171483.546875,185633.90625,196690.84375,186295.28125,203196.546875
95,199839.078125,187123.65625,173220.15625,201877.84375,190346.890625
96,196134.8125,168506.234375,205140.265625,188060.109375,165692.359375
97,198351.453125,180149.5,190894.203125,184828.875,191139.28125
98,198015.265625,207597.65625,196916.234375,163471.03125,205753.890625
99,168300.703125,180341.171875,186590.78125,190958.875,211383.453125
100,207144.90625,179886.15625,183737.09375,199027.453125,173339.625
101,209294.09375,171729.984375,208513.59375,205152.84375,180777.09375
102,193146.21875,163111.28125,187657.921875,225578.625,176939.75
103,197074.78125,210531.375,174321.328125,202015.40625,156406.046875
104,180300.03125,202974.09375,193057.875,170360.53125,241035.046875
105,182650.890625,175098.578125,206202.34375,181512.3125,195850.703125
106,150080.96875,221628.703125,164202.375,158842.34375,183958.796875
107,205576.15625,201503.71875,181649.796875,190264.453125,187827.3125
108,181018.546875,186314.796875,189924.46875,187366.703125,173071.65625
109,213108.59375,197149.734375,206440.53125,187022.84375,204742.71875
110,182136.15625,195827.21875,191570.875,205305.40625,202724.515625
111,205405.1875,199016.796875,186599.171875,194900.96875,197172.28125
112,210764.21875,197269.90625,183516.046875,199365.296875,179227.59375
113,190565.84375,177377.296875,180200.65625,206467.21875,210986.078125
