,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,5716439.5,5822001.0,5812194.0,5818349.5,5835395.5
1,5478474.5,5764169.0,5646623.0,5662337.5,5789557.5
2,5279628.0,5669923.5,5588300.5,5445506.5,5637131.5
3,5639776.0,5535333.0,5330309.5,5314837.0,5516667.0
4,5569125.0,5537505.5,5334261.0,5535183.5,5650271.0
5,5456410.5,5562797.0,5179103.0,5324566.0,5496957.0
6,5288078.5,5496586.5,5194272.0,5538607.5,5559980.0
7,5556306.5,5392544.0,5381417.0,5055993.0,5584007.0
8,5416432.5,5482410.0,5310657.5,5452322.5,5786285.0
9,5245605.0,5502785.5,5132788.0,5426903.5,5545788.5
10,5304210.5,5355203.0,5293702.5,5539818.5,5568115.5
11,5206340.5,5354547.0,5141562.5,5312908.5,5315508.5
