,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,618377088.0,618320832.0,618350720.0,618328576.0,618366336.0
1,617824448.0,617737920.0,617750400.0,617724160.0,617777408.0
2,617208960.0,617137472.0,617136384.0,617099968.0,617188224.0
3,616542016.0,616453184.0,616521920.0,616439360.0,616526656.0
4,615917632.0,615764288.0,615781440.0,615738944.0,615803136.0
5,615111744.0,614987008.0,615008576.0,614942336.0,615085952.0
6,614361088.0,614227968.0,614254592.0,614207232.0,614331840.0
7,613574976.0,613385600.0,613476224.0,613345472.0,613486016.0
8,612674816.0,612512384.0,612597952.0,612538944.0,612678528.0
9,611914944.0,611715648.0,611793408.0,611674176.0,611837632.0
10,610979712.0,610846016.0,610829184.0,610769600.0,610922880.0
11,610113344.0,609811456.0,609940864.0,609821632.0,610043520.0
12,609194880.0,608911552.0,609057856.0,608990208.0,609054400.0
13,608289536.0,607925440.0,608066880.0,608037696.0,608176768.0
14,607228992.0,607142720.0,607104768.0,606931200.0,607329792.0
15,606305088.0,606246080.0,606122112.0,605968896.0,606412224.0
16,605328320.0,605149952.0,605182784.0,604991744.0,605336192.0
17,604438848.0,604339008.0,604281536.0,604198848.0,604329408.0
18,603328000.0,603055808.0,603223808.0,603284288.0,603436608.0
19,602387072.0,602122304.0,602306240.0,601979072.0,602427712.0
20,601305728.0,601154496.0,601154624.0,601116864.0,601259712.0
21,600366848.0,600110592.0,600387968.0,600266944.0,600283520.0
22,599353536.0,599019136.0,599211392.0,599053504.0,599352256.0
23,598120000.0,598278656.0,598257920.0,598097664.0,598436672.0
24,597334208.0,597110144.0,597081536.0,597140736.0,597413888.0
25,596357504.0,596248640.0,596022464.0,596175296.0,596354304.0
26,595144256.0,595147584.0,595338176.0,595066880.0,595380480.0
27,594491776.0,594135680.0,594344064.0,594022912.0,594653824.0
28,593658624.0,593118528.0,593033792.0,593244416.0,593109440.0
29,592190336.0,592048512.0,592153728.0,592257152.0,592392448.0
30,591393024.0,591187584.0,591310592.0,591035456.0,591362880.0
31,590158976.0,590186432.0,590318464.0,590330560.0,590469440.0
32,589417408.0,589342336.0,589553408.0,589144448.0,589368320.0
33,588012928.0,588009280.0,588271360.0,588187264.0,588283328.0
34,587284800.0,587301824.0,587281728.0,586954752.0,587228480.0
35,586508864.0,585929152.0,586274112.0,586098880.0,586254400.0
36,585150464.0,585230528.0,585434752.0,585100416.0,585526528.0
37,584427584.0,584047296.0,584608192.0,584023488.0,584497408.0
38,583461440.0,582911744.0,583316992.0,583434176.0,583398720.0
39,582631616.0,582169664.0,582121408.0,582262912.0,582762048.0
40,581050496.0,581308416.0,581256128.0,581300864.0,581062272.0
