,0,1,2,3,4,5,6,7
Aggregated,34944.598,35191.89,35130.902,35322.184,35525.7,35666.664,35666.82,35829.297
ACT,353.81458,355.74023,356.97754,358.2206,359.60358,360.93542,362.1331,363.3384
NSW,10676.305,10755.512,10585.898,10578.389,10663.534,10662.631,10542.1875,10531.436
NT,1596.974,1616.7532,1634.8566,1653.8693,1672.2863,1691.0193,1709.6262,1728.2639
QLD,7316.916,7320.0254,7317.2896,7326.588,7336.453,7322.465,7309.564,7307.1167
SA,2710.2295,2753.665,2763.4758,2797.7742,2822.6956,2849.423,2875.99,2903.1973
TAS,447.47064,444.0226,439.10968,443.08237,445.482,444.0058,441.9198,443.2689
VIC,6434.9575,6505.4434,6592.1113,6704.7773,6736.095,6819.38,6911.2695,7022.5347
WA,5407.9287,5440.7275,5441.1807,5459.4834,5489.549,5516.8057,5514.131,5530.1475
ACT-Female,17.376987,17.724445,17.85694,17.931652,17.904308,17.948505,18.007517,18.036678
ACT-Male,336.43762,338.0158,339.1206,340.28894,341.69928,342.9869,344.12558,345.30173
NSW-Female,694.01196,689.25714,686.83325,684.9884,682.4238,680.81555,679.6096,678.6999
NSW-Male,9982.293,10066.254,9899.064,9893.4,9981.11,9981.814,9862.578,9852.735
NT-Female,116.0609,119.254265,120.93109,123.39366,125.27978,127.47865,129.6541,131.82544
NT-Male,1480.9131,1497.4988,1513.9255,1530.4757,1547.0065,1563.5405,1579.9722,1596.4385
QLD-Female,695.7547,702.8529,709.0918,715.94446,722.74615,729.4308,735.90656,742.66205
QLD-Male,6621.161,6617.1724,6608.1978,6610.6436,6613.7065,6593.034,6573.6577,6564.4546
SA-Female,180.40598,178.80591,177.42856,176.28677,175.31203,174.47597,173.68692,173.06506
SA-Male,2529.8235,2574.8591,2586.0474,2621.4873,2647.3833,2674.9473,2702.3032,2730.1323
TAS-Female,24.914026,26.506845,26.352503,25.836546,26.193108,26.192986,26.036354,25.704838
TAS-Male,422.55664,417.51575,412.75717,417.24582,419.28888,417.8128,415.88345,417.56406
VIC-Female,442.03247,444.35934,445.5513,450.1537,453.8769,456.6985,459.5229,462.7945
VIC-Male,5992.9253,6061.0845,6146.5605,6254.624,6282.2183,6362.681,6451.747,6559.74
WA-Female,520.21936,522.0477,524.3324,526.76624,528.57355,530.8655,533.13544,535.4673
WA-Male,4887.7095,4918.6797,4916.8486,4932.718,4960.9756,4985.9404,4980.995,4994.6797
ACT-Female-Remanded,4.5725594,4.667725,4.764131,4.801063,4.742226,4.7404847,4.763569,4.7558455
ACT-Female-Sentenced,12.804428,13.056721,13.092808,13.1305895,13.162083,13.208019,13.243948,13.280834
ACT-Male-Remanded,88.506325,88.70233,88.751945,88.752975,88.82072,88.86296,88.91321,88.911125
ACT-Male-Sentenced,247.93127,249.31346,250.36867,251.53598,252.87854,254.12395,255.21237,256.3906
NSW-Female-Remanded,214.23029,212.621,211.96614,211.48901,210.75098,210.31847,210.05966,209.86743
NSW-Female-Sentenced,479.7817,476.63614,474.86713,473.49942,471.67282,470.4971,469.54993,468.83246
NSW-Male-Remanded,2788.486,2814.0476,2651.5305,2672.3743,2788.215,2783.1587,2678.6033,2688.71
NSW-Male-Sentenced,7193.807,7252.207,7247.534,7221.026,7192.8955,7198.656,7183.974,7164.0254
NT-Female-Remanded,43.13004,43.860706,44.67849,45.49817,46.24022,47.02727,47.830887,48.627483
NT-Female-Sentenced,72.93086,75.393555,76.2526,77.89549,79.03956,80.451385,81.82321,83.19795
NT-Male-Remanded,432.16763,438.3241,444.654,451.07312,457.508,463.85593,470.1682,476.56738
NT-Male-Sentenced,1048.7454,1059.1747,1069.2716,1079.4026,1089.4984,1099.6846,1109.804,1119.8711
QLD-Female-Remanded,170.07266,170.35942,170.44778,170.67044,171.05936,171.3046,171.41225,171.63847
QLD-Female-Sentenced,525.682,532.4935,538.644,545.27405,551.6868,558.12616,564.4943,571.02356
QLD-Male-Remanded,1550.5885,1573.2477,1558.7708,1543.0513,1556.4388,1567.709,1561.2576,1554.5981
QLD-Male-Sentenced,5070.5728,5043.925,5049.427,5067.5923,5057.2676,5025.325,5012.4,5009.8564
SA-Female-Remanded,75.988335,74.332466,72.88891,71.646774,70.55097,69.59582,68.73377,68.0037
SA-Female-Sentenced,104.41765,104.473434,104.53966,104.64,104.761055,104.88015,104.95314,105.06137
SA-Male-Remanded,837.079,864.38715,857.56714,874.7636,882.4443,891.8568,901.2163,910.79785
SA-Male-Sentenced,1692.7445,1710.4719,1728.4802,1746.7239,1764.9392,1783.0903,1801.0868,1819.3345
TAS-Female-Remanded,3.338705,3.0764813,2.9716444,2.8261576,2.4908667,2.292523,2.1521552,1.973201
TAS-Female-Sentenced,21.575321,23.430365,23.380857,23.01039,23.70224,23.900463,23.8842,23.731638
TAS-Male-Remanded,88.84027,87.66749,87.67281,87.72676,87.5357,87.48866,87.48049,87.50257
TAS-Male-Sentenced,333.71637,329.84827,325.08435,329.51904,331.75317,330.32416,328.40295,330.06146
VIC-Female-Remanded,126.33501,126.855675,127.28201,127.79909,128.3053,128.83649,129.27647,129.778
VIC-Female-Sentenced,315.69745,317.50366,318.2693,322.35458,325.57162,327.862,330.2464,333.0165
VIC-Male-Remanded,1302.2072,1320.1064,1337.9521,1356.2124,1374.4966,1392.6561,1410.518,1428.7456
VIC-Male-Sentenced,4690.7183,4740.978,4808.608,4898.411,4907.7217,4970.0254,5041.229,5130.9946
WA-Female-Remanded,148.25739,148.19273,148.21335,148.29942,148.21176,148.24753,148.26337,148.30942
WA-Female-Sentenced,371.96198,373.85504,376.11902,378.4668,380.36182,382.61792,384.87207,387.15784
WA-Male-Remanded,1088.9849,1113.6729,1108.3811,1121.862,1150.4493,1175.0366,1170.664,1184.1499
WA-Male-Sentenced,3798.7246,3805.0068,3808.4675,3810.8555,3810.526,3810.9038,3810.3313,3810.5303
ACT-Female-Remanded-ATSI,-0.6351577,-0.6761794,-0.66485494,-0.69460255,-0.7807016,-0.8227536,-0.8259085,-0.8652548
ACT-Female-Remanded-Non-ATSI,5.207717,5.3439045,5.428986,5.4956656,5.5229278,5.563238,5.5894775,5.6211004
ACT-Female-Sentenced-ATSI,3.9752522,4.0146384,4.031208,4.048254,4.074145,4.105368,4.126872,4.144873
ACT-Female-Sentenced-Non-ATSI,8.829176,9.042082,9.0616,9.082335,9.087937,9.102652,9.117076,9.135961
ACT-Male-Remanded-ATSI,16.712248,16.799059,16.817251,16.831738,16.862848,16.895346,16.918533,16.928102
ACT-Male-Remanded-Non-ATSI,71.794075,71.903275,71.93469,71.92124,71.95787,71.96761,71.994675,71.983025
ACT-Male-Sentenced-ATSI,49.07616,50.297226,51.335205,52.430534,53.622047,54.753994,55.807182,56.905308
ACT-Male-Sentenced-Non-ATSI,198.85512,199.01624,199.03346,199.10544,199.2565,199.36995,199.40518,199.48529
NSW-Female-Remanded-ATSI,67.463806,67.055626,67.02219,66.97292,66.71509,66.5863,66.52925,66.46457
NSW-Female-Remanded-Non-ATSI,146.76648,145.56537,144.94395,144.51608,144.03589,143.73216,143.53041,143.40286
NSW-Female-Sentenced-ATSI,157.03186,153.50888,150.97253,148.94174,146.95981,145.47574,144.25417,143.29097
NSW-Female-Sentenced-Non-ATSI,322.74985,323.12726,323.8946,324.55768,324.713,325.02136,325.29575,325.5415
NSW-Male-Remanded-ATSI,644.4492,643.54126,592.81226,594.62573,685.166,668.81384,610.26556,612.4511
NSW-Male-Remanded-Non-ATSI,2144.0369,2170.5063,2058.7183,2077.7485,2103.049,2114.345,2068.3376,2076.2588
NSW-Male-Sentenced-ATSI,1673.4054,1695.7704,1680.5935,1675.4515,1678.7927,1686.4557,1681.5547,1680.287
NSW-Male-Sentenced-Non-ATSI,5520.402,5556.4365,5566.941,5545.574,5514.1025,5512.2,5502.4194,5483.7383
