,0,1,2,3,4,5,6,7
Aggregated,35401.023,35708.875,35662.965,35838.535,36100.797,36256.883,36270.72,36431.457
ACT,361.27982,363.76053,365.1981,366.02362,368.45963,369.91376,371.2637,372.38635
NSW,10860.9375,10963.588,10799.38,10788.165,10893.875,10899.428,10784.16,10773.797
NT,1609.2935,1630.4985,1648.9885,1667.5199,1687.8236,1707.0154,1725.9938,1744.7161
QLD,7368.0728,7383.478,7383.964,7387.9473,7409.9785,7398.487,7388.238,7384.022
SA,2739.7722,2787.4575,2798.075,2830.706,2859.7427,2887.2742,2914.5557,2941.198
TAS,480.1526,479.01398,474.50522,478.46234,483.19855,482.5483,480.9135,482.65094
VIC,6497.294,6575.7534,6664.33,6774.071,6813.6006,6898.6304,6992.174,7102.747
WA,5484.2227,5525.326,5528.521,5545.6396,5584.117,5613.583,5613.419,5629.94
ACT-Female,27.728695,28.885225,29.215036,29.101955,30.116974,30.437578,30.681606,30.767334
ACT-Male,333.55115,334.8753,335.98303,336.92166,338.34262,339.47614,340.5821,341.61902
NSW-Female,750.0368,750.3928,749.2685,746.9851,749.5922,749.75824,749.8418,749.4928
NSW-Male,10110.9,10213.195,10050.111,10041.18,10144.283,10149.67,10034.318,10024.304
NT-Female,126.8603,130.92644,132.78078,135.07043,138.02089,140.52423,142.88292,145.13864
NT-Male,1482.4332,1499.5721,1516.2078,1532.4495,1549.8027,1566.4911,1583.1108,1599.5774
QLD-Female,719.26697,729.4168,736.5011,742.253,752.52344,760.05505,767.2612,773.86066
QLD-Male,6648.8057,6654.0615,6647.463,6645.6943,6657.455,6638.4316,6620.9766,6610.161
SA-Female,190.37015,189.91504,188.81714,187.23734,187.64891,187.09479,186.54398,185.84982
SA-Male,2549.402,2597.5425,2609.2578,2643.4688,2672.0938,2700.1797,2728.0117,2755.3481
TAS-Female,39.532753,42.11976,42.20258,41.629772,43.17871,43.559364,43.642998,43.49524
TAS-Male,440.61987,436.89423,432.3026,436.83258,440.01984,438.98895,437.2705,439.15567
VIC-Female,459.1612,463.04532,464.70795,468.73737,474.4458,477.67224,480.89978,484.1308
VIC-Male,6038.133,6112.708,6199.622,6305.3335,6339.1553,6420.958,6511.274,6618.616
WA-Female,541.4556,545.0765,547.8764,550.03467,553.999,556.8821,559.65076,562.17346
WA-Male,4942.767,4980.2495,4980.6445,4995.605,5030.118,5056.7017,5053.7686,5067.7666
ACT-Female-Remanded,9.8547535,10.306583,10.479272,10.455679,10.866655,10.998648,11.098892,11.134485
ACT-Female-Sentenced,17.873941,18.578642,18.735765,18.646276,19.250319,19.43893,19.582714,19.63285
ACT-Male-Remanded,88.25701,88.272934,88.2782,88.2752,88.29927,88.30811,88.31793,88.32135
ACT-Male-Sentenced,245.29411,246.60236,247.70486,248.64647,250.04337,251.16805,252.26414,253.29765
NSW-Female-Remanded,240.4785,241.40869,241.40118,240.6456,242.58626,243.0691,243.44211,243.5167
NSW-Female-Sentenced,509.55832,508.98407,507.8673,506.33948,507.00598,506.68915,506.39972,505.97614
NSW-Male-Remanded,2849.608,2883.1655,2722.4224,2742.062,2865.0493,2862.3643,2759.5166,2769.8423
NSW-Male-Sentenced,7261.293,7330.0303,7327.6885,7299.1177,7279.234,7287.306,7274.8022,7254.4614
NT-Female-Remanded,49.07722,50.337875,51.272976,51.953903,53.347214,54.313324,55.232445,56.05651
NT-Female-Sentenced,77.78307,80.58856,81.5078,83.11653,84.673676,86.21091,87.65048,89.08213
NT-Male-Remanded,436.512,443.7383,450.2827,456.29465,463.80197,470.41272,476.92377,483.23557
NT-Male-Sentenced,1045.9213,1055.8339,1065.925,1076.1548,1086.0007,1096.0784,1106.187,1116.3418
QLD-Female-Remanded,178.1261,179.62415,180.1217,179.83832,181.74734,182.34149,182.78792,182.9436
QLD-Female-Sentenced,541.1408,549.79266,556.3794,562.4147,570.7761,577.71356,584.4733,590.91705
QLD-Male-Remanded,1562.9597,1590.0084,1576.7839,1559.0216,1577.0781,1589.333,1583.8875,1576.5833
QLD-Male-Sentenced,5085.8457,5064.0527,5070.6787,5086.673,5080.377,5049.0986,5037.089,5033.5776
SA-Female-Remanded,80.51205,79.34096,78.00514,76.56085,76.0606,75.22208,74.45304,73.6828
SA-Female-Sentenced,109.85811,110.574066,110.81198,110.676476,111.58832,111.87271,112.09093,112.16704
SA-Male-Remanded,850.3067,879.46326,872.9713,889.5821,898.9064,908.7115,918.37665,927.7717
SA-Male-Sentenced,1699.0955,1718.0792,1736.2865,1753.8866,1773.1874,1791.468,1809.635,1827.5763
TAS-Female-Remanded,10.269977,10.447277,10.420961,10.261906,10.427731,10.395232,10.343018,10.244402
TAS-Female-Sentenced,29.262775,31.672482,31.781618,31.367867,32.75098,33.16413,33.29998,33.25084
TAS-Male-Remanded,95.59528,95.11801,95.23,95.166214,95.59587,95.72954,95.82968,95.86461
TAS-Male-Sentenced,345.02457,341.7762,337.07263,341.66638,344.42395,343.2594,341.44083,343.29108
VIC-Female-Remanded,131.45377,132.48676,133.07831,133.32483,134.5393,135.17332,135.74281,136.18352
VIC-Female-Sentenced,327.70743,330.55856,331.62964,335.41254,339.9065,342.49893,345.15698,347.9473
VIC-Male-Remanded,1313.0764,1332.8364,1351.1202,1368.2511,1388.611,1407.0325,1425.2316,1443.0076
VIC-Male-Sentenced,4725.056,4779.8716,4848.502,4937.0825,4950.544,5013.9253,5086.0425,5175.609
WA-Female-Remanded,157.81308,158.76761,159.08484,158.90417,160.12296,160.50285,160.78964,160.88965
WA-Female-Sentenced,383.64252,386.30887,388.79156,391.13046,393.87604,396.3792,398.86108,401.28387
