,0,1,2,3,4,5,6,7
Aggregated,35098.844,35374.934,35317.066,35501.74,35724.74,35869.266,35872.11,36032.258
ACT,349.22714,350.71558,351.8466,352.7856,353.95874,354.99542,356.05554,357.01965
NSW,10776.858,10870.221,10702.354,10694.131,10788.615,10790.922,10672.251,10662.037
NT,1592.9368,1612.7505,1630.8284,1649.4778,1667.9655,1686.5508,1705.1583,1723.6028
QLD,7292.882,7299.993,7297.2266,7303.9326,7315.8604,7301.496,7288.255,7284.2227
SA,2715.8455,2760.9849,2770.612,2804.061,2829.9355,2856.5605,2882.927,2909.5835
TAS,466.9584,464.83185,460.05502,464.02765,467.46582,466.36142,464.485,465.9662
VIC,6451.203,6524.762,6611.5127,6722.6597,6756.0874,6839.3457,6931.2393,7041.733
WA,5452.9355,5490.6777,5492.6323,5510.6616,5544.851,5573.04,5571.7354,5588.097
ACT-Female,19.236053,19.670048,19.780018,19.738647,19.83124,19.8451,19.8869,19.846554
ACT-Male,329.9911,331.04553,332.06656,333.04697,334.1275,335.15033,336.16864,337.1731
NSW-Female,725.11914,722.9861,721.0083,719.2034,718.69525,717.871,717.17395,716.5655
NSW-Male,10051.739,10147.234,9981.345,9974.928,10069.92,10073.051,9955.077,9945.473
NT-Female,119.80145,123.25963,124.92232,127.295654,129.47183,131.7254,133.90977,136.07855
NT-Male,1473.1353,1489.4908,1505.9061,1522.1823,1538.4937,1554.8254,1571.2485,1587.5242
QLD-Female,694.44495,702.18713,708.4314,714.7178,721.9686,728.5741,735.02124,741.4442
QLD-Male,6598.437,6597.8057,6588.795,6589.215,6593.8916,6572.922,6553.234,6542.7783
SA-Female,179.03136,177.55603,176.11844,174.72154,173.83182,172.86565,172.00171,171.18817
SA-Male,2536.8142,2583.4287,2594.4937,2629.3396,2656.1035,2683.6948,2710.9253,2738.3953
TAS-Female,31.249716,33.21591,33.12188,32.584274,33.327026,33.433975,33.357006,33.075462
TAS-Male,435.70865,431.61594,426.93314,431.44336,434.1388,432.92743,431.12802,432.89072
VIC-Female,444.6167,447.1657,448.39545,452.64886,456.65695,459.34888,462.18964,465.265
VIC-Male,6006.587,6077.5967,6163.117,6270.0107,6299.4307,6379.9966,6469.0503,6576.468
WA-Female,531.69946,534.3907,536.86194,539.2348,541.99036,544.50195,546.96674,549.40564
WA-Male,4921.2354,4956.287,4955.7705,4971.427,5002.8604,5028.538,5024.7686,5038.6914
ACT-Female-Remanded,6.239271,6.3764257,6.459532,6.4505334,6.4554987,6.4484606,6.4666953,6.432722
ACT-Female-Sentenced,12.996782,13.293621,13.320486,13.288113,13.375741,13.396639,13.420204,13.413833
ACT-Male-Remanded,87.183975,87.13988,87.137665,87.11482,87.06099,87.036255,87.03532,87.0076
ACT-Male-Sentenced,242.80711,243.90567,244.9289,245.93214,247.06651,248.11407,249.13333,250.16548
NSW-Female-Remanded,226.52934,226.04074,225.55057,225.06374,225.22308,225.14099,225.07498,224.99866
NSW-Female-Sentenced,498.58978,496.94534,495.45773,494.1397,493.47217,492.73,492.099,491.56683
NSW-Male-Remanded,2819.866,2850.1228,2688.0596,2708.808,2827.8389,2824.019,2719.9397,2730.3645
NSW-Male-Sentenced,7231.873,7297.112,7293.285,7266.12,7242.0815,7249.032,7235.137,7215.1074
NT-Female-Remanded,44.64019,45.50737,46.308414,47.062126,47.959816,48.76937,49.56722,50.34931
NT-Female-Sentenced,75.16127,77.75226,78.61391,80.23353,81.51201,82.95603,84.34256,85.72924
NT-Male-Remanded,429.47787,435.9713,442.2401,448.44965,455.0558,461.39502,467.65158,473.93765
NT-Male-Sentenced,1043.6573,1053.5195,1063.6659,1073.7325,1083.4379,1093.4304,1103.5969,1113.5865
QLD-Female-Remanded,165.47125,165.76892,165.86304,165.80545,166.19806,166.31644,166.39844,166.43124
QLD-Female-Sentenced,528.9737,536.4182,542.5683,548.91235,555.77057,562.2576,568.62274,575.01294
QLD-Male-Remanded,1534.3345,1558.0853,1543.538,1526.928,1541.0051,1552.1453,1545.4781,1538.3127
QLD-Male-Sentenced,5064.1025,5039.7207,5045.2573,5062.2866,5052.8867,5020.7764,5007.756,5004.4653
SA-Female-Remanded,75.275276,73.66833,72.18573,70.82283,69.7603,68.74455,67.84052,67.01839
SA-Female-Sentenced,103.75608,103.887695,103.9327,103.89871,104.07151,104.12109,104.16118,104.169785
SA-Male-Remanded,843.3922,871.7003,864.85004,881.8004,890.1058,899.63635,908.9687,918.43506
SA-Male-Sentenced,1693.422,1711.7283,1729.6436,1747.5392,1765.9979,1784.0586,1801.9565,1819.9602
TAS-Female-Remanded,6.423176,6.350894,6.258853,6.100746,5.93757,5.790311,5.6775064,5.513527
TAS-Female-Sentenced,24.82654,26.865019,26.863028,26.483528,27.389454,27.643667,27.6795,27.561934
TAS-Male-Remanded,92.495224,91.7236,91.73978,91.716866,91.76944,91.77953,91.7939,91.783394
TAS-Male-Sentenced,343.21344,339.89233,335.19336,339.7265,342.36935,341.1479,339.3341,341.10733
VIC-Female-Remanded,125.09854,125.575676,125.991585,126.323135,126.82058,127.22841,127.64204,128.00993
VIC-Female-Sentenced,319.51816,321.59003,322.40387,326.3257,329.83636,332.12048,334.5476,337.25507
VIC-Male-Remanded,1300.2579,1318.53,1336.2512,1353.8494,1372.3053,1390.1909,1407.8927,1425.6565
VIC-Male-Sentenced,4706.3286,4759.067,4826.8657,4916.161,4927.1255,4989.8057,5061.157,5150.811
WA-Female-Remanded,151.3216,151.5826,151.65083,151.64694,151.97495,152.08899,152.14908,152.20924
WA-Female-Sentenced,380.37784,382.80804,385.21112,387.58786,390.0154,392.41296,394.81766,397.19635
WA-Male-Remanded,1100.4584,1125.9249,1120.8411,1134.2566,1163.6724,1188.478,1184.3113,1197.8809
WA-Male-Sentenced,3820.7773,3830.3623,3834.9292,3837.1702,3839.1885,3840.06,3840.457,3840.8105
ACT-Female-Remanded-ATSI,1.6933439,1.7166462,1.7326901,1.7089058,1.7197245,1.716783,1.7285519,1.7096856
ACT-Female-Remanded-Non-ATSI,4.5459275,4.6597795,4.726842,4.7416277,4.735774,4.7316775,4.7381434,4.723037
ACT-Female-Sentenced-ATSI,4.2989025,4.3751125,4.3950577,4.385861,4.4900866,4.522129,4.5384927,4.5514584
ACT-Female-Sentenced-Non-ATSI,8.69788,8.918509,8.925428,8.902252,8.885654,8.87451,8.881712,8.862374
ACT-Male-Remanded-ATSI,15.676052,15.644291,15.640704,15.62672,15.593704,15.577333,15.573549,15.557463
