,0,1,2,3,4,5,6,7
Aggregated,35443.984,35766.758,35857.57,36078.547,36346.836,36654.57,36729.125,36942.445
ACT,337.5877,336.7658,336.981,336.9231,335.42056,334.5503,334.73846,334.64114
NSW,10748.0625,10833.928,10742.758,10754.988,10858.884,10945.128,10848.703,10860.807
NT,1568.2402,1574.9485,1584.2854,1603.6112,1636.8638,1643.6494,1652.6276,1672.2582
QLD,7422.79,7459.406,7475.2725,7511.191,7616.121,7652.7324,7667.737,7703.2676
SA,2813.4663,2840.4668,2864.3894,2889.52,2916.2412,2943.2383,2967.0488,2992.2798
TAS,422.89716,433.1026,434.61707,435.75946,418.20477,428.34012,429.79898,430.95374
VIC,6577.3345,6670.784,6788.29,6887.8267,6869.8223,6962.657,7080.199,7179.828
WA,5553.604,5617.36,5630.9736,5658.722,5695.2773,5744.2764,5748.2734,5768.409
ACT-Female,15.780975,15.532389,15.698166,15.761951,15.177301,14.893408,15.071737,15.111374
ACT-Male,321.80676,321.2334,321.28284,321.16113,320.2433,319.65686,319.66672,319.5298
NSW-Female,727.57416,724.9756,723.31006,723.27155,725.73364,723.22363,721.3248,720.9485
NSW-Male,10020.488,10108.953,10019.448,10031.716,10133.15,10221.904,10127.378,10139.859
NT-Female,108.50654,108.63639,110.117676,111.66978,113.44698,113.58161,115.10427,116.63824
NT-Male,1459.7339,1466.312,1474.1677,1491.9415,1523.4167,1530.0677,1537.5233,1555.6199
QLD-Female,707.22546,706.53436,706.96924,709.0959,715.1229,714.30035,714.66974,716.8335
QLD-Male,6715.5654,6752.8716,6768.3037,6802.0947,6900.998,6938.4316,6953.0674,6986.434
SA-Female,191.7594,192.05894,192.08847,192.3552,193.13922,193.58235,193.53854,193.88297
SA-Male,2621.707,2648.4077,2672.301,2697.165,2723.102,2749.6562,2773.5103,2798.3965
TAS-Female,22.444069,21.095488,20.414333,19.76744,20.63254,19.138567,18.45148,17.808046
TAS-Male,400.4531,412.0071,414.20276,415.992,397.5722,409.20154,411.34747,413.1457
VIC-Female,449.04492,453.07513,461.8655,459.6612,450.35736,454.2755,463.10004,460.86688
VIC-Male,6128.2896,6217.709,6326.4243,6428.1655,6419.465,6508.382,6617.099,6718.961
WA-Female,555.9751,561.2481,562.5647,563.5036,562.2083,566.37646,567.5497,568.4205
WA-Male,4997.629,5056.112,5068.409,5095.2188,5133.0693,5177.9004,5180.7236,5199.9893
ACT-Female-Remanded,1.7591089,1.4263164,1.5327812,1.5455571,1.0304583,0.67862236,0.7959343,0.80052435
ACT-Female-Sentenced,14.021866,14.106073,14.165384,14.216394,14.146843,14.214786,14.275803,14.31085
ACT-Male-Remanded,73.66001,72.640816,72.646774,72.454056,71.48225,70.45775,70.42941,70.236694
ACT-Male-Sentenced,248.14674,248.59259,248.63605,248.70709,248.76102,249.19911,249.2373,249.29308
