,0,1,2,3,4,5,6,7
Aggregated,35153.754,35493.85,35586.805,35793.25,36053.527,36380.562,36457.977,36656.043
ACT,336.32507,335.5345,335.68134,335.52768,334.43933,333.63107,333.8341,333.6966
NSW,10769.508,10874.074,10790.621,10801.142,10895.775,11000.008,10911.27,10921.518
NT,1592.7441,1599.3799,1608.5161,1628.516,1663.7966,1670.4192,1679.6328,1699.6289
QLD,7383.333,7437.381,7458.3843,7492.237,7587.874,7641.333,7661.1816,7694.3325
SA,2720.519,2744.8792,2767.2139,2790.2593,2816.963,2841.2515,2863.5854,2886.6519
TAS,422.0771,434.73273,438.91748,441.4535,418.38513,431.06702,435.32535,437.85757
VIC,6472.628,6565.307,6679.0815,6772.8184,6760.6562,6853.1514,6966.913,7060.687
WA,5456.6196,5502.562,5508.3896,5531.296,5575.6357,5609.703,5606.2354,5621.673
ACT-Female,10.650424,10.173869,10.263914,10.147148,9.397224,8.917356,9.041528,8.930858
ACT-Male,325.67465,325.36063,325.41742,325.38052,325.0421,324.7137,324.79257,324.76572
NSW-Female,732.1238,732.32947,732.0115,731.8034,732.55493,732.71313,732.4321,732.2156
NSW-Male,10037.385,10141.745,10058.609,10069.338,10163.221,10267.295,10178.838,10189.303
NT-Female,113.08253,114.46401,116.43276,118.18797,119.25459,120.62759,122.633156,124.38837
NT-Male,1479.6616,1484.9159,1492.0834,1510.328,1544.542,1549.7916,1556.9995,1575.2405
QLD-Female,701.7454,704.83545,706.78015,709.1581,713.6467,716.6709,718.6284,721.0115
QLD-Male,6681.5874,6732.546,6751.604,6783.079,6874.2275,6924.662,6942.5527,6973.321
SA-Female,175.8946,175.76738,175.8156,175.8075,175.67516,175.53998,175.60327,175.60571
SA-Male,2544.6243,2569.1118,2591.3984,2614.4517,2641.2876,2665.7114,2687.9822,2711.046
TAS-Female,25.768795,25.16632,25.426487,25.364397,24.208323,23.613995,23.911575,23.849302
TAS-Male,396.30832,409.5664,413.491,416.08908,394.17682,407.45303,411.41376,414.00827
VIC-Female,435.61313,439.78024,448.4148,445.78705,436.40222,440.531,449.19525,446.58423
VIC-Male,6037.0146,6125.527,6230.667,6327.0312,6324.2544,6412.62,6517.718,6614.1025
WA-Female,524.8952,524.9326,524.86646,524.7999,524.84625,524.8354,524.807,524.7496
WA-Male,4931.7246,4977.6294,4983.5225,5006.496,5050.79,5084.8677,5081.4277,5096.923
ACT-Female-Remanded,1.3775473,1.0977273,1.1620561,1.1015306,0.6298188,0.34700185,0.4315533,0.37150306
ACT-Female-Sentenced,9.272877,9.076141,9.101858,9.045618,8.7674055,8.5703535,8.609974,8.559355
ACT-Male-Remanded,82.70218,82.3923,82.4909,82.45551,81.90329,81.59284,81.70579,81.671
ACT-Male-Sentenced,242.97247,242.96832,242.92651,242.92502,243.13882,243.12086,243.08679,243.09473
NSW-Female-Remanded,228.76999,228.79266,228.69612,228.60466,228.73819,228.74487,228.66351,228.56778
NSW-Female-Sentenced,503.3538,503.53674,503.3153,503.19876,503.8167,503.96832,503.7686,503.64783
NSW-Male-Remanded,2823.2131,2850.6748,2751.3977,2773.1763,2941.275,2968.583,2864.0225,2885.539
NSW-Male-Sentenced,7214.172,7291.0703,7307.212,7296.1616,7221.946,7298.7124,7314.8154,7303.7627
NT-Female-Remanded,40.445198,40.700787,41.198105,41.612072,41.785286,42.032772,42.545193,42.95878
