,0,1,2,3,4,5,6,7
Aggregated,35478.566,35787.367,35868.9,36081.242,36349.637,36646.883,36713.36,36918.504
ACT,335.38995,333.51022,332.94293,332.3954,331.75,329.89728,329.28647,328.74866
NSW,10723.709,10805.957,10711.826,10719.118,10816.732,10899.15,10799.93,10807.8955
NT,1556.8673,1560.1465,1567.708,1586.385,1622.0874,1625.5431,1633.1355,1651.7655
QLD,7430.412,7467.758,7484.1934,7518.5225,7615.4985,7652.7363,7668.292,7702.206
SA,2819.5386,2845.0024,2868.4985,2894.5054,2923.3833,2948.682,2972.119,2998.1787
TAS,396.97028,406.37628,408.44916,409.60046,388.1477,397.60522,399.6735,400.87817
VIC,6604.084,6694.3135,6809.3833,6907.378,6897.085,6987.3247,7102.543,7200.6504
WA,5611.5967,5674.306,5685.8965,5713.3457,5754.953,5805.9414,5808.3823,5828.1797
ACT-Female,12.198646,11.456865,11.156692,10.846279,10.498744,9.724625,9.39066,9.0959015
ACT-Male,323.19135,322.05334,321.78622,321.54907,321.25128,320.17267,319.8958,319.65274
NSW-Female,693.37134,688.0354,685.0082,683.1136,683.2886,678.0657,675.129,673.37476
NSW-Male,10030.338,10117.922,10026.818,10036.005,10133.444,10221.086,10124.801,10134.5205
NT-Female,102.51047,102.316284,103.50556,104.802345,106.355774,106.22146,107.414246,108.72011
NT-Male,1454.3569,1457.8302,1464.2025,1481.5828,1515.7317,1519.3217,1525.7212,1543.0453
QLD-Female,694.46625,694.02014,694.7939,696.5582,700.3368,699.93915,700.7449,702.5485
QLD-Male,6735.9453,6773.7373,6789.3994,6821.964,6915.162,6952.797,6967.547,6999.657
SA-Female,194.1835,194.37982,194.55777,194.98422,195.43332,195.5357,195.66951,196.09918
SA-Male,2625.3552,2650.6226,2673.941,2699.521,2727.9502,2753.146,2776.4492,2802.0796
TAS-Female,15.502199,14.057404,13.59623,12.957199,12.241662,10.800058,10.328897,9.700081
TAS-Male,381.46808,392.31888,394.85294,396.64325,375.90607,386.80518,389.3446,391.1781
VIC-Female,448.4425,452.3889,461.28424,459.04648,449.12924,453.08484,462.0074,459.78662
VIC-Male,6155.6416,6241.9243,6348.099,6448.3315,6447.9556,6534.2397,6640.5356,6740.8633
WA-Female,558.18207,561.4752,562.5571,563.5492,563.6064,566.877,568.00653,568.9468
WA-Male,5053.414,5112.831,5123.339,5149.797,5191.3467,5239.0645,5240.376,5259.2324
ACT-Female-Remanded,0.50478786,0.05271727,-0.12131375,-0.3382635,-0.6289855,-1.1102767,-1.3100247,-1.5154846
ACT-Female-Sentenced,11.693857,11.404148,11.278006,11.184544,11.127729,10.834902,10.700685,10.611386
ACT-Male-Remanded,76.60318,75.797585,75.66978,75.43555,74.93807,74.15266,74.01048,73.772964
ACT-Male-Sentenced,246.58815,246.25578,246.11646,246.11354,246.3132,246.02002,245.88533,245.87979
NSW-Female-Remanded,200.8939,197.3248,195.66838,194.5479,194.39479,190.89714,189.28697,188.23322
NSW-Female-Sentenced,492.47745,490.71057,489.33978,488.5657,488.8938,487.16858,485.8421,485.14157
NSW-Male-Remanded,2762.5732,2779.3845,2675.068,2694.5698,2863.9927,2880.7876,2771.2178,2790.87
NSW-Male-Sentenced,7267.7637,7338.537,7351.75,7341.435,7269.4517,7340.298,7353.584,7343.6504
NT-Female-Remanded,37.47659,36.81864,36.944,37.234684,37.783512,37.155487,37.28442,37.580673
NT-Female-Sentenced,65.03389,65.49764,66.56156,67.567665,68.572266,69.06597,70.12982,71.139435
NT-Male-Remanded,433.53534,425.97858,421.55,429.41556,456.05762,448.57608,444.17395,452.09857
NT-Male-Sentenced,1020.8216,1031.8516,1042.6525,1052.1672,1059.6741,1070.7456,1081.5471,1090.9467
QLD-Female-Remanded,156.31865,154.7997,154.01675,153.44815,153.44754,151.96138,151.19168,150.63174
QLD-Female-Sentenced,538.1476,539.2204,540.77716,543.1101,546.8892,547.9778,549.55316,551.9168
QLD-Male-Remanded,1562.4275,1562.4191,1539.9841,1530.2253,1573.3982,1573.1901,1549.7281,1539.3696
QLD-Male-Sentenced,5173.518,5211.3184,5249.415,5291.739,5341.7637,5379.607,5417.819,5460.2876
SA-Female-Remanded,85.203,85.39261,85.54613,85.78942,85.962944,86.117165,86.24776,86.48773
