,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,47962.77,26162.59,27894.898,33506.992,26530.01,27468.043,31774.248,28635.363,30712.621,33852.285,30406.809,29875.553
NSW,16092.14,8240.291,8856.369,10781.221,8309.16,8335.715,9464.649,8681.079,9449.767,10514.3545,9307.134,9540.137
NT,682.69037,533.14374,543.8024,718.9734,765.3714,968.13043,981.9258,1005.8783,953.6983,852.3856,643.45966,640.9247
QLD,10113.648,6147.168,5871.572,7772.621,6554.942,7072.891,8682.0625,8237.061,8701.876,8776.738,7676.201,7368.0615
SA,3190.8433,1723.3411,1976.1014,2177.1724,1802.2639,1887.5546,2019.2782,1777.7592,1947.0674,2268.0303,2124.3958,2036.6816
TAS,1664.0311,1092.0989,1065.0769,1221.1368,804.1155,796.95105,774.7082,647.5512,785.5304,956.50824,896.2814,763.8226
VIC,11062.523,5297.497,5999.3154,6871.2227,5218.3325,5130.349,6036.943,5213.052,5438.889,6602.2173,6236.7993,5940.606
WA,5156.8857,3129.048,3582.6614,3964.6475,3075.825,3276.4534,3814.6807,3072.9817,3435.7947,3882.0503,3522.5386,3585.3213
NSW-Blue Mountains,285.21597,229.69867,244.0986,267.26852,242.73227,251.2941,243.83629,232.66782,264.37802,293.19342,261.4319,273.21317
NSW-Canberra,653.79095,609.57684,537.8863,652.5431,608.75323,599.7487,630.1408,630.8345,619.52673,642.1376,623.3426,596.9603
NSW-Capital Country,423.2186,227.20355,305.13965,286.07086,268.6041,252.77951,275.76392,256.78314,339.4987,362.7898,254.84256,318.91266
NSW-Central Coast,844.60443,302.00195,316.73157,368.07852,272.21002,248.91208,239.27686,225.77727,315.36688,375.14127,291.75638,387.16864
NSW-Central NSW,828.1119,605.27454,641.5918,949.0508,646.7858,818.2971,606.4653,668.11115,707.69586,843.0979,633.4739,724.4014
NSW-Hunter,1322.8268,770.66833,845.84,1025.0193,778.7147,734.85095,902.00085,812.6454,820.06226,924.8754,892.2957,918.0673
NSW-New England North West,512.2642,285.7334,342.89166,406.3625,381.05493,337.62946,401.6899,409.08673,384.8515,512.7468,354.78137,408.0095
NSW-North Coast NSW,3661.639,1243.788,1390.4889,1881.322,1225.6119,1155.4639,1440.987,1235.5807,1427.0967,1754.069,1502.1434,1638.9
NSW-Outback NSW,145.96991,84.53114,142.77795,205.70288,191.90947,171.87048,166.18884,168.75414,339.12558,205.19748,164.38133,139.12636
NSW-Riverina,261.812,229.46799,237.40623,272.00595,228.88924,233.9985,266.07935,226.35452,252.79938,252.553,244.48152,239.70157
NSW-Snowy Mountains,378.527,268.42636,181.08836,307.40436,148.18335,193.76518,600.3959,615.6726,485.57275,279.81793,218.71214,185.2362
NSW-South Coast,2852.6255,906.2694,964.61334,1342.6414,648.3544,697.3567,738.53296,591.2791,732.3761,991.726,962.38226,975.10864
NSW-Sydney,3591.2937,2182.945,2446.7483,2539.187,2429.8777,2380.595,2664.0513,2356.891,2469.9084,2741.8857,2604.8176,2482.6116
NSW-The Murray,330.23984,294.70584,259.0669,278.56213,237.4787,259.15317,289.2396,250.64127,291.5077,335.1232,298.29074,252.71855
NT-Alice Springs,136.57362,81.012825,84.91865,125.38741,89.6026,138.08229,138.72198,99.542854,89.26511,113.34471,115.133194,93.77104
NT-Barkly,28.51154,29.725542,27.755823,30.274302,36.74728,32.75618,35.636494,49.275208,35.206753,40.004997,30.905151,28.133133
NT-Darwin,280.45007,263.63303,228.95442,265.38782,260.39136,432.0959,495.08298,486.7447,378.8045,397.34265,237.79565,290.98718
NT-Katherine Daly,81.95248,57.96585,63.8185,126.29251,141.76433,143.52771,120.53858,171.3342,180.35257,101.027214,80.269646,78.17294
NT-Lasseter,52.0588,35.094627,54.940636,68.10833,79.946396,91.07475,70.22618,70.51193,95.4827,82.39203,48.40209,37.128143
NT-Litchfield Kakadu Arnhem,79.339005,40.703884,52.99822,71.38519,119.98941,96.24456,91.02785,95.77433,136.89339,82.67553,98.457664,81.13843
NT-MacDonnell,23.804916,25.007984,30.416166,32.137802,36.929974,34.349052,30.691685,32.694992,37.69336,35.59842,32.496292,31.59383
QLD-Brisbane,2748.7847,1369.5785,1339.8254,1912.7784,1527.4385,1799.9855,2059.9922,1750.3477,1958.2639,1923.7314,1931.3389,1840.0044
QLD-Bundaberg,204.80888,169.84668,180.41785,215.57045,189.0394,185.49937,225.09811,232.85042,246.80933,215.8432,198.52676,205.48389
QLD-Capricorn,352.43805,330.14923,282.35205,350.88742,351.9368,306.88132,390.08963,360.71097,391.31683,384.85645,383.2127,339.74667
QLD-Fraser Coast,398.10266,173.75414,189.47556,270.51324,213.90593,236.91704,233.08235,376.64246,333.97235,317.70386,304.34152,280.65265
QLD-Gladstone,164.35764,170.26682,171.83624,185.49939,175.94444,174.14795,164.86208,177.96254,195.39754,186.31221,180.61206,168.49237
QLD-Gold Coast,1691.864,946.4998,851.9886,1182.6919,753.59314,948.69385,1367.9691,1210.8336,1093.0297,1279.1697,1169.6576,1058.8878
QLD-Mackay,337.10333,337.11658,343.01495,353.08472,349.26978,348.0905,340.1739,353.06683,370.0374,362.24973,356.6314,344.87866
QLD-Outback Queensland,337.5802,321.29514,323.65268,393.32153,400.14136,403.39197,414.35553,399.23804,523.4575,410.50647,392.55676,409.52374
QLD-Southern Queensland Country,491.25677,476.20288,479.77722,547.2599,481.24152,505.11865,489.6636,551.9136,566.57416,532.5525,532.4812,559.6483
QLD-Sunshine Coast,1969.5369,817.8641,831.34595,1079.6807,820.7105,753.41693,1024.9177,1015.8544,1196.6018,1287.2927,963.9215,983.1288
QLD-Townsville,401.12817,299.34033,258.37137,364.1874,383.54303,346.44284,479.06128,369.9477,404.9008,433.02344,347.40823,367.67126
