,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,50939.285,25335.918,28276.744,33301.16,26630.01,26698.807,32128.621,28974.123,30654.486,34182.664,28988.389,29052.562
NSW,17210.361,7918.7173,8822.439,10907.928,8229.234,7823.0303,9457.566,8181.7197,8852.248,10423.151,8891.596,9334.535
NT,523.4248,431.88406,497.0437,608.76196,731.4273,919.97656,1217.643,1262.0044,940.9826,1006.04266,637.49084,524.0614
QLD,10836.825,5732.106,5929.9404,7440.565,6468.571,6787.831,8720.256,8540.072,9122.6875,8991.75,7142.9785,7031.042
SA,3381.9575,1640.7441,1887.7004,2220.6477,1800.5555,1658.776,1992.218,1645.831,1820.7703,2344.3005,1908.6427,1864.387
TAS,2001.6488,1130.9645,1195.8625,1178.0508,803.98083,777.7074,771.5956,590.206,712.92444,876.5303,910.236,901.3979
VIC,11425.227,5555.905,6471.822,6884.694,5581.3438,5380.8843,6096.137,5260.4526,5420.6914,6188.5083,6103.546,6064.5674
WA,5559.8438,2925.5994,3471.9346,4060.517,3014.894,3350.6018,3873.2078,3493.836,3784.1812,4352.383,3393.9011,3332.5718
NSW-Blue Mountains,329.73947,176.5203,207.03023,315.20602,240.50574,239.17255,287.72443,191.00525,202.68034,280.83688,208.93968,191.36565
NSW-Canberra,772.4111,526.75745,605.4867,664.69293,573.0398,518.32153,704.45416,541.3653,612.71344,724.9056,539.171,573.28876
NSW-Capital Country,390.13995,203.79602,259.49808,341.33975,247.85411,219.64728,245.22653,201.73799,244.70764,307.03632,297.2273,250.19041
NSW-Central Coast,895.19086,316.23996,297.5956,385.9605,246.49287,241.26665,258.6282,218.18112,249.91396,321.31934,267.5262,398.19986
NSW-Central NSW,925.999,493.39545,560.3667,819.89276,538.3738,566.1997,646.60156,506.88287,580.4135,849.91925,688.26917,572.37317
NSW-Hunter,1635.7953,715.38763,833.79407,1083.0415,727.3545,675.1685,789.9047,717.7028,744.9198,863.93085,784.57104,879.36633
NSW-New England North West,590.66504,288.34232,371.13968,440.42267,340.10358,356.85928,382.78534,377.63803,355.00897,434.00317,352.98074,313.90985
NSW-North Coast NSW,3915.7878,1440.0371,1520.8114,1962.4104,1341.6077,1252.089,1555.6956,1370.3049,1535.4519,1904.0177,1587.2029,1641.7261
NSW-Outback NSW,135.10794,103.262436,109.12904,181.47646,180.73433,142.59947,209.89441,181.75107,292.50345,210.46552,173.58243,288.89816
NSW-Riverina,330.5028,196.58716,246.20363,370.37018,262.05264,222.7361,253.69992,202.20746,236.2979,306.71716,213.45648,255.30788
NSW-Snowy Mountains,335.35498,183.31223,185.67946,233.38536,137.79468,177.0687,556.26825,504.42453,366.69708,222.86108,181.82385,200.00282
NSW-South Coast,3009.3281,931.2866,1007.10596,1309.7802,824.8851,713.56537,789.7947,684.6342,706.16223,1036.289,867.8829,1017.5539
NSW-Sydney,3502.7375,2142.0293,2374.238,2489.3762,2332.9104,2281.4116,2564.7332,2285.2195,2436.0964,2710.2837,2471.969,2439.8535
NSW-The Murray,441.6002,201.7632,244.3603,310.57196,235.52464,216.92453,212.15555,198.66492,288.68192,250.56522,256.99283,312.49948
NT-Alice Springs,71.954575,81.20183,50.671234,90.30556,74.76837,108.8362,137.67355,116.166794,122.47371,173.3788,112.1095,57.275494
NT-Barkly,21.17117,14.192104,14.753513,25.663198,21.65403,23.09764,34.239723,40.177513,37.32152,31.142727,21.677708,16.543653
NT-Darwin,190.70267,169.64963,224.4183,224.47198,302.58273,395.07886,548.3985,644.9953,396.67636,435.4641,234.06155,252.80112
NT-Katherine Daly,108.23547,50.05667,74.35644,97.61471,123.00395,155.08063,186.37143,163.02066,142.94052,137.89728,105.93227,79.77197
NT-Lasseter,45.80756,33.71245,36.44935,58.726994,68.14229,81.8899,107.674736,79.26977,73.21379,85.16328,43.127743,27.866682
