,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,52040.76,25193.848,28626.2,34644.586,27084.08,27279.55,33640.74,29175.15,31168.715,35343.035,29947.363,29742.713
NSW,17492.318,7868.6987,8901.116,11247.699,8335.662,7963.1807,9840.802,8228.279,8973.186,10712.657,9129.088,9502.802
NT,548.5866,429.9686,514.6781,667.7391,757.47394,952.9961,1291.6077,1274.112,969.0982,1060.1317,685.3827,558.83856
QLD,11066.361,5719.02,6025.046,7751.818,6591.2983,6938.857,9077.259,8599.435,9254.214,9263.808,7377.234,7202.5796
SA,3487.33,1643.1716,1935.1719,2356.6848,1857.4615,1727.4991,2146.7034,1676.7993,1883.5127,2466.1519,2012.2708,1942.2971
TAS,2067.2844,1121.5178,1214.5267,1253.7015,827.70184,808.7788,855.9758,600.8931,741.2269,942.2409,963.05225,939.23004
VIC,11761.184,5507.4897,6552.368,7226.122,5679.465,5508.3623,6462.106,5300.799,5540.5063,6478.958,6332.33,6228.219
WA,5617.6885,2903.9805,3483.2954,4140.8203,3035.0176,3379.879,3966.292,3494.8384,3806.9788,4419.0938,3448.0,3368.7476
NSW-Blue Mountains,350.7079,174.01973,213.99294,341.32053,249.59602,250.77443,317.12845,195.56084,212.76064,303.19644,227.65807,204.92319
NSW-Canberra,793.17596,523.5047,611.297,689.5045,580.9288,528.81445,732.4528,545.2777,621.987,746.3264,556.45416,585.7937
NSW-Capital Country,406.14343,199.65729,263.978,363.17087,254.55154,228.62166,270.62146,204.1138,252.0678,325.55023,312.74585,260.76154
NSW-Central Coast,915.1057,313.45392,303.7668,410.19833,254.46156,251.50569,285.73444,221.70723,258.79498,341.96207,284.6066,410.5598
NSW-Central NSW,947.65106,490.35086,566.48083,845.05426,546.62445,577.0169,674.96783,511.05823,589.96515,871.55695,705.88403,585.1204
NSW-Hunter,1656.2653,711.4094,839.27747,1107.2451,734.58954,684.7565,817.0054,720.75793,753.2089,884.5266,801.3151,891.0232
NSW-New England North West,611.52606,284.3806,376.556,464.64267,347.4357,366.54788,409.93457,380.60162,363.25116,454.29974,369.6629,325.64764
NSW-North Coast NSW,3936.262,1436.0074,1525.9016,1986.6499,1348.8433,1261.9443,1583.2482,1373.6846,1544.0481,1924.7539,1603.8326,1653.6212
NSW-Outback NSW,157.48131,100.10447,115.60182,207.04095,188.88809,153.046,238.23158,185.78085,302.1063,232.4461,191.47675,301.71973
NSW-Riverina,350.65204,192.87778,251.76263,394.21408,269.31277,232.233,280.2877,204.60242,244.08691,326.65384,230.03745,266.89026
NSW-Snowy Mountains,354.10233,179.09174,190.47078,256.5916,144.74127,186.4316,582.86163,507.37952,374.75415,242.7964,198.12125,211.27138
NSW-South Coast,3026.8657,927.51605,1012.1482,1332.7034,832.1358,723.1602,816.14935,687.37946,714.058,1055.8389,884.1723,1028.8756
NSW-Sydney,3524.1821,2137.5173,2379.1926,2513.8652,2339.8372,2290.849,2592.0122,2288.038,2444.2412,2730.8289,2488.472,2451.45
NSW-The Murray,462.1973,198.8069,250.68974,335.49756,243.71606,227.47906,240.16612,202.33778,297.85577,271.92056,274.6499,325.14496
NT-Alice Springs,76.44991,81.672935,53.917686,99.374,79.21058,114.29438,148.92325,118.5848,127.21373,181.77995,119.65048,62.959927
NT-Barkly,26.475178,15.543228,18.931707,35.61444,26.829182,29.15928,46.199272,42.95936,42.78981,40.49128,30.019127,23.04715
NT-Darwin,191.96799,168.24472,225.59248,231.15341,304.94073,398.39798,557.2288,645.5082,399.27875,441.56824,239.43814,256.36194
NT-Katherine Daly,111.009865,49.468376,76.46525,105.105965,126.33085,159.29851,196.11108,164.20927,146.32681,144.75633,112.27135,84.08191
NT-Lasseter,50.481655,33.434017,39.095524,68.448395,72.15793,87.135544,119.461655,81.66156,78.05221,94.02249,50.53545,33.58011
NT-Litchfield Kakadu Arnhem,52.13302,49.88706,67.91946,88.67132,104.414444,116.36626,155.98329,172.48613,119.708,105.726,97.69359,64.987175
NT-MacDonnell,40.068977,31.718273,32.756012,39.37161,43.59029,48.344105,67.70032,48.70279,55.728886,51.78742,35.774513,33.82037
QLD-Brisbane,2836.812,1577.5549,1615.5735,1986.0383,1748.3301,1704.4458,2060.108,1856.1317,2013.6848,2082.014,1899.6212,1836.2675
QLD-Bundaberg,274.125,106.50337,125.90077,200.67982,175.48018,152.00378,223.22617,222.8879,253.46236,187.6881,210.12675,192.24632
QLD-Capricorn,350.90417,215.62685,230.7235,362.57358,279.29398,340.01312,425.90512,408.12595,420.42432,401.5561,295.1676,287.22806
QLD-Fraser Coast,407.43878,110.73686,138.74173,250.8057,161.08273,194.13467,273.95245,297.77136,315.6924,299.58557,217.56311,231.16089
QLD-Gladstone,184.35152,165.42479,173.78401,190.55801,176.24417,178.5553,194.3334,169.29146,177.61966,188.4195,185.73976,181.25212
QLD-Gold Coast,2009.2203,955.52136,959.43115,1191.9703,873.8794,942.367,1222.7965,1166.5426,1378.8458,1427.4614,1294.3582,1038.7899
QLD-Mackay,365.30002,246.92743,249.94043,294.8102,313.3716,348.18936,439.53073,378.16702,340.70258,387.14102,286.0899,281.4188
QLD-Outback Queensland,337.80807,344.69672,254.88802,385.30887,386.89868,376.1044,507.98312,491.20734,557.2545,423.53937,317.46075,341.5249
QLD-Southern Queensland Country,580.40894,344.60312,459.4022,541.74396,422.44058,495.2782,592.33813,482.56018,511.74478,558.49176,432.0459,518.1917
QLD-Sunshine Coast,2228.7375,824.1624,839.02997,1063.238,804.4036,801.84064,1116.3387,1091.9976,1277.3813,1360.556,995.21387,1066.846
QLD-Townsville,399.4105,201.14603,289.85135,356.7004,329.58557,341.44907,548.7846,551.77234,487.10544,409.73502,285.86417,292.32718
QLD-Tropical North Queensland,786.26306,479.27484,479.17612,643.032,701.3184,836.4407,1158.4905,1182.575,1163.9989,1150.0732,703.424,558.07666
