,0,1,2,3,4,5,6,7
Aggregated,35219.27,35467.07,35426.656,35616.82,35830.504,35974.63,35982.977,36152.31
ACT,355.62433,357.3712,358.641,359.59888,360.91162,362.1908,363.2063,364.30585
NSW,10781.486,10855.633,10691.396,10685.518,10778.555,10779.3545,10661.886,10654.884
NT,1601.5991,1622.292,1641.7123,1659.8334,1678.7136,1697.9799,1717.3821,1735.9556
QLD,7305.081,7307.861,7311.09,7318.642,7330.084,7314.1523,7304.6455,7302.1147
SA,2729.2546,2773.8662,2786.2153,2820.027,2843.934,2870.19,2897.5603,2924.8506
TAS,469.3941,468.05322,463.99493,467.99802,471.36053,470.71405,468.99258,470.70813
VIC,6482.759,6557.0747,6649.7505,6760.5684,6791.375,6877.395,6971.4834,7083.3584
WA,5494.0664,5524.926,5523.853,5544.639,5575.5713,5602.6514,5597.8223,5616.131
ACT-Female,20.524134,20.904316,21.240112,21.161526,21.199007,21.458809,21.491257,21.636456
ACT-Male,335.1002,336.46686,337.40088,338.43732,339.7126,340.73196,341.71503,342.66937
NSW-Female,721.13104,714.5073,712.87976,711.7062,711.2674,709.9248,709.03076,709.21454
NSW-Male,10060.355,10141.125,9978.517,9973.811,10067.287,10069.43,9952.855,9945.669
NT-Female,124.22496,127.95451,129.72649,132.17323,134.32535,136.74545,139.0461,141.23584
NT-Male,1477.374,1494.3375,1511.9858,1527.66,1544.3884,1561.2345,1578.3359,1594.7197
QLD-Female,702.94293,709.5652,716.77905,722.74146,730.1898,736.9249,744.0365,750.97064
QLD-Male,6602.1377,6598.296,6594.3105,6595.9004,6599.894,6577.2275,6560.6094,6551.1445
SA-Female,183.2879,181.66971,180.96635,179.94147,178.8006,177.69647,177.21617,176.59116
SA-Male,2545.9668,2592.1968,2605.249,2640.0854,2665.1333,2692.4932,2720.3442,2748.2598
TAS-Female,32.72084,34.62244,34.276817,34.106674,34.833897,34.936085,34.532642,34.383045
TAS-Male,436.67325,433.4308,429.71814,433.89136,436.5266,435.77795,434.45996,436.3251
VIC-Female,456.8686,460.6332,463.37134,467.57706,471.5994,474.8884,478.20416,481.21442
VIC-Male,6025.8906,6096.4414,6186.379,6292.991,6319.776,6402.507,6493.279,6602.1445
WA-Female,545.4521,546.676,548.0852,551.799,554.1335,556.64465,557.2581,560.70996
WA-Male,4948.6143,4978.25,4975.7676,4992.84,5021.4375,5046.007,5040.564,5055.421
ACT-Female-Remanded,6.730637,6.9225883,7.0014453,7.065155,7.1933966,7.337845,7.3351502,7.446471
ACT-Female-Sentenced,13.793496,13.981728,14.2386675,14.096371,14.00561,14.120963,14.156107,14.189983
ACT-Male-Remanded,88.67495,88.90756,88.992744,89.085,89.19836,89.205536,89.356445,89.36405
ACT-Male-Sentenced,246.42523,247.55931,248.40813,249.35234,250.51425,251.52643,252.35858,253.30533
NSW-Female-Remanded,223.87653,221.24115,221.10889,221.22522,221.21458,220.74303,220.86641,221.23932
NSW-Female-Sentenced,497.25452,493.26617,491.7708,490.4809,490.0528,489.18176,488.1643,487.97522
NSW-Male-Remanded,2824.338,2847.8484,2688.721,2709.354,2826.9922,2821.9844,2719.601,2730.936
NSW-Male-Sentenced,7236.018,7293.277,7289.796,7264.457,7240.2954,7247.4453,7233.254,7214.733
NT-Female-Remanded,46.255806,47.225605,48.164257,48.84848,49.68002,50.63057,51.67829,52.495205
NT-Female-Sentenced,77.969154,80.728905,81.56223,83.32475,84.645325,86.11489,87.367805,88.74065
NT-Male-Remanded,429.6872,436.36566,443.9304,449.92612,456.08777,462.86584,469.78577,476.15283
NT-Male-Sentenced,1047.6869,1057.9718,1068.0555,1077.7339,1088.3005,1098.3687,1108.5502,1118.5669
QLD-Female-Remanded,169.92198,169.05348,170.03827,169.9312,170.62439,170.83403,171.23183,171.45209
QLD-Female-Sentenced,533.02094,540.5117,546.7407,552.81024,559.5654,566.0909,572.8047,579.51855
QLD-Male-Remanded,1534.9792,1556.949,1542.7827,1526.9436,1540.2413,1550.6968,1545.2106,1538.9982
QLD-Male-Sentenced,5067.1587,5041.3467,5051.528,5068.957,5059.653,5026.531,5015.399,5012.146
SA-Female-Remanded,78.662094,76.657005,75.6034,74.44461,73.37781,72.27075,71.46068,70.829315
SA-Female-Sentenced,104.6258,105.01271,105.36295,105.49686,105.42279,105.42572,105.75549,105.76185
