,0,1,2,3,4,5,6,7
Aggregated,35106.72,35354.87,35310.465,35533.008,35732.926,35899.72,35906.44,36107.03
ACT,347.9693,349.1612,351.32684,354.24738,353.48608,355.45877,356.87738,360.21118
NSW,10744.598,10821.021,10652.138,10654.248,10742.684,10747.025,10625.59,10625.055
NT,1556.1598,1575.5938,1594.25,1613.777,1631.2571,1649.6171,1667.8079,1687.5773
QLD,7303.196,7307.301,7308.3555,7322.4795,7333.5713,7323.659,7312.074,7315.718
SA,2716.7637,2759.6926,2771.7168,2808.262,2831.774,2860.9268,2888.761,2919.2085
TAS,438.6901,435.74222,432.51483,437.9149,438.34058,438.61896,437.42645,441.04352
VIC,6488.448,6561.65,6653.4053,6770.8115,6800.474,6888.9844,6985.129,7102.387
WA,5510.8896,5544.71,5546.7505,5571.2627,5601.343,5635.426,5632.7705,5655.824
ACT-Female,11.074533,10.692038,11.306679,12.062359,11.004897,11.163107,11.159807,12.08279
ACT-Male,336.89478,338.46915,340.02014,342.18506,342.4812,344.29565,345.7176,348.1284
NSW-Female,694.51855,686.4712,685.2501,686.5282,682.4227,681.92957,680.83813,683.3519
NSW-Male,10050.08,10134.551,9966.887,9967.719,10060.26,10065.096,9944.752,9941.703
NT-Female,105.3225,108.013,110.354744,113.67254,114.6732,116.73746,118.955894,122.07546
NT-Male,1450.8373,1467.5807,1483.8954,1500.1044,1516.584,1532.8795,1548.852,1565.5018
QLD-Female,680.30994,687.40186,695.2874,703.5081,709.7047,718.0856,725.19336,733.9713
QLD-Male,6622.8857,6619.899,6613.0684,6618.9717,6623.8667,6605.573,6586.881,6581.746
SA-Female,171.73244,169.66687,168.5671,168.16287,166.16829,166.16193,165.16495,165.68869
SA-Male,2545.0312,2590.026,2603.15,2640.099,2665.606,2694.7646,2723.5962,2753.52
TAS-Female,24.884758,26.544643,27.383713,27.875591,27.178888,28.18059,28.705078,29.740578
TAS-Male,413.80533,409.19757,405.1311,410.0393,411.16168,410.43835,408.72137,411.30298
VIC-Female,449.72797,451.8738,454.9145,461.1198,462.99573,467.20728,471.32672,476.65204
