,0,1,2,3,4,5,6,7
Aggregated,35098.215,35352.312,35306.727,35527.742,35723.25,35891.957,35900.19,36100.33
ACT,349.30615,349.91852,351.91187,354.7306,354.64807,356.79584,358.12433,361.30133
NSW,10728.453,10808.953,10640.498,10640.922,10726.607,10732.095,10611.414,10610.068
NT,1558.326,1577.8088,1596.9844,1616.7407,1634.3591,1652.6427,1671.1282,1691.0599
QLD,7310.4536,7313.6455,7314.902,7329.5176,7338.5596,7328.92,7318.4336,7323.064
SA,2716.9448,2760.9575,2773.3315,2809.6147,2832.9053,2862.1025,2890.3794,2920.5903
TAS,432.67145,429.61246,426.6726,431.9726,431.9005,432.15897,431.0058,434.48505
VIC,6482.0293,6556.443,6647.698,6763.8984,6792.592,6881.3877,6976.968,7093.455
WA,5520.034,5554.967,5554.7344,5580.3438,5611.6816,5645.8496,5642.7383,5666.3086
ACT-Female,13.210201,13.036878,13.579124,14.341942,13.573086,13.970774,14.059174,14.991657
ACT-Male,336.09595,336.88162,338.33276,340.38867,341.07498,342.82507,344.06512,346.3097
NSW-Female,685.692,679.0895,677.0178,677.5783,673.4784,673.42126,671.76825,673.8638
NSW-Male,10042.76,10129.863,9963.4795,9963.344,10053.129,10058.674,9939.6455,9936.204
NT-Female,106.07237,109.02272,111.26501,114.428566,115.833954,118.12845,120.355774,123.416466
NT-Male,1452.2538,1468.7861,1485.7194,1502.3123,1518.5251,1534.5142,1550.7723,1567.6436
QLD-Female,678.5821,685.01874,693.1288,701.66614,707.1261,715.14703,722.6875,731.83093
QLD-Male,6631.8716,6628.627,6621.7734,6627.8516,6631.4336,6613.7734,6595.746,6591.233
SA-Female,172.33182,170.28421,169.68884,169.20642,167.23576,166.92575,166.51074,166.85452
SA-Male,2544.613,2590.6733,2603.6426,2640.4082,2665.6694,2695.177,2723.8687,2753.7356
TAS-Female,22.081242,23.683298,24.292309,24.693174,23.92486,24.778948,24.991737,25.82165
TAS-Male,410.59018,405.92917,402.3803,407.27942,407.97565,407.38,406.01407,408.6634
VIC-Female,449.17767,451.91296,454.50067,460.43228,462.43646,466.9536,470.76892,475.89368
VIC-Male,6032.8516,6104.53,6193.1973,6303.466,6330.1553,6414.434,6506.199,6617.5615
WA-Female,540.29504,542.21277,544.6094,549.30896,550.41364,554.8124,557.0255,561.75464
WA-Male,4979.739,5012.7544,5010.125,5031.034,5061.2686,5091.037,5085.713,5104.5537
ACT-Female-Remanded,0.738456,0.50504184,0.79026496,1.0753605,0.5386442,0.64407074,0.6789321,1.0266273
ACT-Female-Sentenced,12.471745,12.531836,12.788858,13.266581,13.034442,13.326704,13.380241,13.96503
ACT-Male-Remanded,86.8668,86.656784,86.86426,87.22734,86.88455,87.07132,87.16506,87.59646
ACT-Male-Sentenced,249.22914,250.22484,251.46848,253.16132,254.19043,255.75377,256.9001,258.71323
NSW-Female-Remanded,204.70862,201.83899,201.25491,201.96162,200.37875,200.57759,199.97388,201.21909
NSW-Female-Sentenced,480.98337,477.2505,475.7629,475.6167,473.0996,472.8437,471.79437,472.6447
NSW-Male-Remanded,2794.9956,2821.0415,2659.0027,2681.9487,2798.031,2794.6292,2690.0732,2702.757
NSW-Male-Sentenced,7247.7646,7308.8223,7304.477,7281.3955,7255.0977,7264.0444,7249.5723,7233.447
NT-Female-Remanded,39.75277,40.280964,41.331215,42.596027,43.24406,44.164055,44.984776,46.32851
NT-Female-Sentenced,66.3196,68.74176,69.93379,71.83254,72.58989,73.96439,75.371,77.08795
NT-Male-Remanded,420.74582,427.18475,433.99643,440.45154,446.83142,453.0213,459.4372,466.11493
NT-Male-Sentenced,1031.5079,1041.6014,1051.7229,1061.8607,1071.6937,1081.4929,1091.3352,1101.5286
QLD-Female-Remanded,157.39044,157.17569,158.12804,159.17276,158.73737,159.51111,160.08133,161.44545
QLD-Female-Sentenced,521.19165,527.843,535.00073,542.4934,548.3888,555.6359,562.60614,570.3855
QLD-Male-Remanded,1543.5319,1565.7596,1552.285,1538.1353,1551.3687,1563.7656,1557.8599,1553.2997
QLD-Male-Sentenced,5088.34,5062.8677,5069.4883,5089.7163,5080.0654,5050.008,5037.8867,5037.9336
SA-Female-Remanded,73.08289,71.34488,70.29234,69.383415,67.93573,67.24666,66.5794,66.33297
SA-Female-Sentenced,99.24893,98.93933,99.39651,99.82301,99.30003,99.67909,99.931335,100.521545
SA-Male-Remanded,843.6986,871.4125,865.46204,883.32745,890.8031,901.1026,911.05853,921.6564
SA-Male-Sentenced,1700.9144,1719.2609,1738.1807,1757.0808,1774.8665,1794.0743,1812.81,1832.0792
TAS-Female-Remanded,-0.1930083,-0.59948003,-0.37527072,-0.11504614,-1.0923735,-0.95110846,-0.96736133,-0.6244434
TAS-Female-Sentenced,22.27425,24.282778,24.66758,24.80822,25.017233,25.730057,25.959099,26.446095
TAS-Male-Remanded,84.09625,83.22091,83.67814,84.04035,83.37488,83.86006,84.00562,84.61811
TAS-Male-Sentenced,326.49393,322.70825,318.70215,323.23907,324.6008,323.51996,322.00845,324.0453
VIC-Female-Remanded,126.09937,126.715324,127.82451,128.94215,128.5065,129.81183,130.71739,132.06607
VIC-Female-Sentenced,323.0783,325.19763,326.67618,331.4901,333.92996,337.14178,340.05154,343.8276
VIC-Male-Remanded,1322.4613,1341.3046,1360.3582,1379.8816,1397.6414,1417.6804,1436.651,1456.5862
VIC-Male-Sentenced,4710.3906,4763.225,4832.8394,4923.5845,4932.5137,4996.754,5069.5483,5160.975
