,ts_name,run,forecast_type,error_metric,error,level
0,Aggregated,1,original,MASE,1.4467693051353452,1
1,Aggregated,1,adjusted,MASE,4.031484172226703,1
2,Aggregated,1,original,SMAPE,1.3265596840952534,1
3,Aggregated,1,adjusted,SMAPE,3.770246031271257,1
4,ACT,1,original,MASE,2.7843551797021084,2
5,ACT,1,adjusted,MASE,3.961164038054968,2
6,ACT,1,original,SMAPE,8.685945070324912,2
7,ACT,1,adjusted,SMAPE,12.649997721279746,2
8,NSW,1,original,MASE,11.508842843070353,2
9,NSW,1,adjusted,MASE,10.546896092743669,2
10,NSW,1,original,SMAPE,11.859395531538349,2
11,NSW,1,adjusted,SMAPE,10.802966723151028,2
12,NT,1,original,MASE,1.287758652537311,2
13,NT,1,adjusted,MASE,1.373319368932038,2
14,NT,1,original,SMAPE,3.0905558682842447,2
15,NT,1,adjusted,SMAPE,3.31331096663524,2
16,QLD,1,original,MASE,2.80540210414922,2
17,QLD,1,adjusted,MASE,2.6375214391979296,2
18,QLD,1,original,SMAPE,3.624717420757283,2
19,QLD,1,adjusted,SMAPE,3.4613804364908294,2
20,SA,1,original,MASE,4.043218175881978,2
21,SA,1,adjusted,MASE,1.2804219958782483,2
22,SA,1,original,SMAPE,5.519823108576334,2
23,SA,1,adjusted,SMAPE,1.8397865697518774,2
24,TAS,1,original,MASE,4.060797115238011,2
25,TAS,1,adjusted,MASE,3.7720924724025977,2
26,TAS,1,original,SMAPE,15.97289875662294,2
27,TAS,1,adjusted,SMAPE,14.70492103370633,2
28,VIC,1,original,MASE,7.215280197111867,2
29,VIC,1,adjusted,MASE,3.6508111460112227,2
30,VIC,1,original,SMAPE,11.026502599516188,2
31,VIC,1,adjusted,SMAPE,5.807707209219242,2
32,WA,1,original,MASE,2.514547095185798,2
33,WA,1,adjusted,MASE,3.2015607764929754,2
34,WA,1,original,SMAPE,3.695410581681636,2
35,WA,1,adjusted,SMAPE,4.759316324992471,2
36,ACT-Female,1,original,MASE,2.271015388017976,3
37,ACT-Female,1,adjusted,MASE,2.0872895221962615,3
38,ACT-Female,1,original,SMAPE,29.63327159144792,3
39,ACT-Female,1,adjusted,SMAPE,26.761832327016805,3
40,ACT-Male,1,original,MASE,2.7890625,3
41,ACT-Male,1,adjusted,MASE,4.064413242187501,3
42,ACT-Male,1,original,SMAPE,8.139605954639457,3
43,ACT-Male,1,adjusted,SMAPE,12.109786838735564,3
44,NSW-Female,1,original,MASE,11.448515156823353,3
45,NSW-Female,1,adjusted,MASE,9.547699502279636,3
46,NSW-Female,1,original,SMAPE,23.695451764209327,3
47,NSW-Female,1,adjusted,SMAPE,19.327445194252306,3
48,NSW-Male,1,original,MASE,11.253045689859858,3
49,NSW-Male,1,adjusted,MASE,10.230432530444125,3
50,NSW-Male,1,original,SMAPE,11.228924805960643,3
51,NSW-Male,1,adjusted,SMAPE,10.14561867544789,3
52,NT-Female,1,original,MASE,3.996099681962215,3
53,NT-Female,1,adjusted,MASE,4.865100791184971,3
54,NT-Female,1,original,SMAPE,13.234077214377443,3
55,NT-Female,1,adjusted,SMAPE,16.516603380737312,3
56,NT-Male,1,original,MASE,1.434609971874405,3
57,NT-Male,1,adjusted,MASE,1.3665151392709762,3
58,NT-Male,1,original,SMAPE,3.5269605014894734,3
59,NT-Male,1,adjusted,SMAPE,3.371204533878231,3
60,QLD-Female,1,original,MASE,2.16764275256222,3
61,QLD-Female,1,adjusted,MASE,2.91681649524158,3
62,QLD-Female,1,original,SMAPE,5.433052209487076,3
63,QLD-Female,1,adjusted,SMAPE,7.247595135391608,3
64,QLD-Male,1,original,MASE,4.181377159605991,3
65,QLD-Male,1,adjusted,MASE,3.1269073818897635,3
66,QLD-Male,1,original,SMAPE,5.0203122221768846,3
67,QLD-Male,1,adjusted,SMAPE,3.862541647120684,3
68,SA-Female,1,original,MASE,3.4379021357688293,3
69,SA-Female,1,adjusted,MASE,4.180758681402438,3
70,SA-Female,1,original,SMAPE,8.321952316185987,3
71,SA-Female,1,adjusted,SMAPE,10.036735971812035,3
72,SA-Male,1,original,MASE,3.4604764954228147,3
73,SA-Male,1,adjusted,MASE,0.9246826365475405,3
74,SA-Male,1,original,SMAPE,4.730312153797193,3
75,SA-Male,1,adjusted,SMAPE,1.3371637382356545,3
76,TAS-Female,1,original,MASE,2.341139258168398,3
77,TAS-Female,1,adjusted,MASE,3.1467104461077846,3
78,TAS-Female,1,original,SMAPE,24.43951955616456,3
79,TAS-Female,1,adjusted,SMAPE,34.47374835953895,3
80,TAS-Male,1,original,MASE,3.524156396770488,3
81,TAS-Male,1,adjusted,MASE,3.2950908601231186,3
82,TAS-Male,1,original,SMAPE,14.196820426529532,3
83,TAS-Male,1,adjusted,SMAPE,13.19947200176581,3
84,VIC-Female,1,original,MASE,3.9580731547674444,3
85,VIC-Female,1,adjusted,MASE,2.608079450757576,3
86,VIC-Female,1,original,SMAPE,8.842563575768821,3
87,VIC-Female,1,adjusted,SMAPE,5.9303377196093905,3
88,VIC-Male,1,original,MASE,6.0023725338309895,3
89,VIC-Male,1,adjusted,MASE,3.678867837338261,3
90,VIC-Male,1,original,SMAPE,9.209646859604769,3
91,VIC-Male,1,adjusted,SMAPE,5.7999231316223225,3
92,WA-Female,1,original,MASE,2.104323678273921,3
93,WA-Female,1,adjusted,MASE,2.337219432203389,3
94,WA-Female,1,original,SMAPE,5.606970729273611,3
95,WA-Female,1,adjusted,SMAPE,6.269016205839371,3
96,WA-Male,1,original,MASE,2.920216321815703,3
97,WA-Male,1,adjusted,MASE,3.413574878843581,3
98,WA-Male,1,original,SMAPE,4.187638495091604,3
99,WA-Male,1,adjusted,SMAPE,4.928490209712089,3
100,ACT-Female-Remanded,1,original,MASE,2.649683008051656,4
101,ACT-Female-Remanded,1,adjusted,MASE,2.2224558075000003,4
102,ACT-Female-Remanded,1,original,SMAPE,53.914415214046855,4
103,ACT-Female-Remanded,1,adjusted,SMAPE,42.556134394470845,4
104,ACT-Female-Sentenced,1,original,MASE,1.4626576833105627,4
105,ACT-Female-Sentenced,1,adjusted,MASE,1.2920246511627906,4
106,ACT-Female-Sentenced,1,original,SMAPE,26.29787770157435,4
107,ACT-Female-Sentenced,1,adjusted,SMAPE,22.87078737823863,4
108,ACT-Male-Remanded,1,original,MASE,4.093003412969283,4
109,ACT-Male-Remanded,1,adjusted,MASE,5.205797866894198,4
110,ACT-Male-Remanded,1,original,SMAPE,28.875703236904315,4
111,ACT-Male-Remanded,1,adjusted,SMAPE,38.52331540415547,4
112,ACT-Male-Sentenced,1,original,MASE,1.1458837772396973,4
113,ACT-Male-Sentenced,1,adjusted,MASE,1.5354251604116222,4
114,ACT-Male-Sentenced,1,original,SMAPE,4.993309760844422,4
115,ACT-Male-Sentenced,1,adjusted,SMAPE,6.6090062952746855,4
116,NSW-Female-Remanded,1,original,MASE,13.678908355795148,4
117,NSW-Female-Remanded,1,adjusted,MASE,12.820397203504042,4
118,NSW-Female-Remanded,1,original,SMAPE,43.78228213948043,4
119,NSW-Female-Remanded,1,adjusted,SMAPE,40.36002088614193,4
120,NSW-Female-Sentenced,1,original,MASE,3.3823790317599993,4
121,NSW-Female-Sentenced,1,adjusted,MASE,3.0183403699649745,4
122,NSW-Female-Sentenced,1,original,SMAPE,9.320211037536652,4
123,NSW-Female-Sentenced,1,adjusted,SMAPE,8.266277432717374,4
124,NSW-Male-Remanded,1,original,MASE,8.240404706725226,4
