,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,83730.96875,76520.1640625,78594.453125,78304.9375,77405.21875
1,80423.109375,83629.1015625,80829.25,88030.3671875,83681.9375
2,80043.578125,75821.8359375,74587.0234375,82282.859375,74875.921875
3,85001.046875,91798.1640625,90875.1171875,75864.703125,67877.78125
4,91456.828125,82186.203125,108049.25,84239.2734375,66888.2421875
5,90546.75,77463.03125,78316.2109375,78401.640625,75795.125
6,73995.5,69603.1953125,85301.7890625,81969.5390625,105955.8359375
7,79449.921875,90805.390625,75490.703125,70039.3203125,81950.3984375
8,82046.921875,68245.203125,87156.1640625,64241.44921875,76314.6953125
9,76792.640625,98480.5703125,94879.796875,72236.53125,57405.15625
10,84815.5859375,88270.4453125,78299.9375,66481.390625,134708.296875
11,84804.3359375,77846.296875,66749.2109375,77124.4140625,73556.421875
12,78929.9765625,82857.2109375,77353.671875,63019.98828125,74793.4140625
13,80681.2109375,66980.328125,71783.7890625,74496.7890625,78160.21875
14,77230.359375,72420.7109375,84766.4609375,64868.875,72915.546875
15,75931.671875,73411.9140625,74840.4375,87893.21875,75455.3125
16,78712.7421875,74508.140625,75960.75,76762.921875,80481.578125
17,79331.484375,72149.296875,74111.25,75666.9140625,75654.25
18,91942.765625,82429.4609375,75720.859375,79308.3359375,65743.8515625
19,69071.6953125,82490.171875,73618.328125,80252.515625,68240.1015625
20,72616.2109375,66740.9765625,72236.390625,65157.65625,56153.2265625
21,82208.0234375,67827.484375,68445.0546875,69216.1875,74757.3125
22,75659.0390625,68963.9296875,66972.9765625,75710.28125,61418.9921875
23,74772.6796875,82159.390625,67723.8046875,67717.890625,78676.9140625
24,83059.8125,80411.5234375,68879.609375,65242.38671875,72060.203125
25,79641.046875,77153.59375,73239.4375,74899.0234375,74498.484375
26,70963.7890625,70108.4765625,78389.3671875,69720.3984375,68248.1328125
27,71577.359375,71106.1015625,78137.578125,73781.4921875,68578.6640625
28,71288.6015625,69751.046875,68829.9140625,83194.1796875,76118.7734375
29,63420.44921875,71412.046875,76549.4765625,62176.8359375,71200.25
30,70608.3984375,69564.578125,71755.0625,67492.265625,81793.8359375
31,84988.140625,66954.5,69999.546875,68206.796875,74409.203125
32,79509.2265625,58898.16796875,73433.765625,73803.828125,75991.078125
33,66005.546875,63158.6015625,73028.640625,59872.19921875,63587.8515625
34,62120.15625,74128.546875,68947.3359375,75673.9765625,66994.0859375
35,70017.2734375,67968.328125,80735.375,77941.6875,64448.98828125
36,73049.46875,62299.57421875,70862.5390625,70397.7421875,76301.1484375
37,72225.3984375,73981.4453125,81770.2421875,63978.6328125,72111.765625
38,64813.25,69585.8203125,63424.5703125,73089.703125,57811.0
39,77590.203125,67933.703125,79696.6015625,71234.65625,61952.76171875
40,62551.82421875,69333.5,68066.3828125,68839.5234375,54177.26171875
41,68098.171875,68300.546875,71156.453125,65450.05078125,66658.78125
42,61050.3984375,66137.3046875,70556.0859375,67360.4375,66000.203125
43,66951.7734375,64849.82421875,62825.0234375,71853.546875,60983.8359375
44,68805.90625,70654.8671875,71750.59375,69977.4921875,58607.48828125
45,72052.671875,66947.125,70779.0078125,79027.4765625,56918.42578125
46,62623.6875,74093.9140625,62639.6171875,67068.6015625,57257.8203125
47,72036.984375,59916.5859375,76040.6484375,72048.328125,65222.63671875
48,72930.734375,68475.5859375,75093.140625,62978.1484375,69093.921875
49,64465.67578125,70889.9765625,63036.4375,71915.0546875,66877.6875
50,63444.28125,61102.9140625,57208.0390625,62442.23046875,59857.875
51,63275.5546875,66129.625,69723.359375,61361.09375,59606.48828125
52,64327.67578125,67603.765625,58266.34375,61179.73828125,71886.7109375
53,64274.64453125,57411.01171875,68145.9765625,70738.078125,66423.6875
54,59705.5234375,58650.67578125,68686.1640625,64346.25,57955.2421875
55,60936.26171875,59295.5,65127.3515625,58660.71875,56702.2265625
56,58259.7578125,68947.9140625,62371.4765625,68194.234375,66003.9375
57,59730.53125,61636.48828125,57072.9921875,73073.1015625,58673.4375
58,60638.51171875,63412.15625,70448.046875,72790.734375,64945.9296875
59,66153.0859375,66122.671875,59741.07421875,61124.91796875,59827.33203125
60,54041.26171875,57192.82421875,61511.86328125,60472.39453125,59314.0
61,71737.234375,56025.41796875,62047.0390625,76774.8515625,61145.80078125
62,64651.92578125,62153.5234375,61598.69921875,57860.0,51597.7265625
63,72910.890625,58126.7890625,65711.8984375,59399.8125,64722.01171875
64,63372.01171875,52898.6484375,59062.59375,61413.01171875,73922.9921875
65,65292.1796875,55403.4140625,63051.08203125,60391.11328125,59202.9921875
66,60064.53125,62671.0078125,57554.64453125,68734.671875,51075.0
67,60517.9765625,70915.9765625,65439.3515625,65270.94921875,65672.8984375
68,59975.1484375,59374.26171875,48650.9296875,58826.55078125,54105.9609375
69,61405.7734375,64162.6015625,65241.13671875,54910.51171875,63258.11328125
70,59792.3359375,53974.51171875,59889.01171875,51597.2890625,57733.94921875
71,58801.79296875,65190.8125,64936.75,56751.2734375,55727.14453125
72,58788.3203125,55785.45703125,64493.3515625,66445.90625,61737.3359375
73,58074.98828125,73519.2734375,56707.8515625,61131.9140625,49699.1796875
74,57884.08203125,53346.23828125,62842.625,57341.2109375,56365.2109375
75,68934.7890625,58111.8203125,50283.609375,59836.3984375,60913.3125
76,51345.203125,57378.0,64451.7890625,64650.98828125,64277.30078125
77,59947.3359375,49537.8046875,65003.6328125,57471.61328125,58965.26953125
78,51852.17578125,56486.16796875,55597.0859375,58857.63671875,50326.91796875
79,58688.05078125,49633.05859375,52626.03125,56347.88671875,54998.875
80,49243.1328125,74494.1484375,61325.51171875,67650.25,77461.921875
