,0,1,2,3,4,5,6,7
Aggregated,35477.28,35830.324,35900.965,36111.656,36368.695,36710.64,36766.508,36970.445
ACT,378.68582,377.7205,378.01172,378.62585,380.17084,379.15887,379.17728,379.84393
NSW,10775.563,10882.055,10793.198,10800.874,10883.295,10990.084,10897.244,10905.241
NT,1617.7201,1621.5153,1625.8899,1645.75,1691.4468,1695.071,1699.5249,1719.5159
QLD,7439.38,7483.415,7494.1147,7530.747,7634.8193,7679.0454,7688.2793,7724.9473
SA,2773.9888,2798.204,2821.162,2845.1733,2873.7048,2898.0933,2921.2756,2945.319
TAS,432.97937,443.27734,445.45462,447.57877,429.7791,439.8918,442.2022,444.35098
VIC,6492.1646,6583.8184,6696.52,6791.687,6775.1143,6866.401,6979.234,7074.3726
WA,5566.8003,5640.322,5646.611,5671.221,5700.3643,5762.899,5759.5723,5776.8555
ACT-Female,26.46047,25.952738,25.826057,25.689415,26.307491,25.73446,25.627783,25.507399
ACT-Male,352.22534,351.76776,352.18567,352.93643,353.86337,353.4244,353.5495,354.33655
NSW-Female,730.0976,728.652,726.181,724.92773,724.5267,723.1564,720.92883,719.8369
NSW-Male,10045.465,10153.402,10067.018,10075.945,10158.769,10266.928,10176.315,10185.404
NT-Female,125.11513,126.07811,126.59273,128.30827,132.89139,133.72556,134.29468,136.0272
NT-Male,1492.605,1495.4371,1499.297,1517.4417,1558.5554,1561.3455,1565.2301,1583.4886
QLD-Female,719.10736,720.4205,719.6594,722.94904,729.28796,730.7598,729.9757,733.29175
QLD-Male,6720.2725,6762.9946,6774.455,6807.798,6905.5312,6948.285,6958.3037,6991.6553
SA-Female,198.16052,197.3746,197.38855,197.77496,200.4333,199.78284,199.78143,200.13817
SA-Male,2575.8281,2600.8296,2623.7734,2647.3984,2673.2715,2698.3105,2721.4941,2745.181
TAS-Female,33.63109,32.529533,32.03719,32.015907,32.5737,31.34599,30.912083,30.908495
TAS-Male,399.34827,410.7478,413.41745,415.56287,397.20538,408.54584,411.29013,413.44247
VIC-Female,462.71463,467.79947,476.41263,474.4002,464.9933,470.1059,478.8394,476.65274
VIC-Male,6029.4497,6116.0195,6220.1074,6317.286,6310.121,6396.295,6500.3945,6597.7197
WA-Female,556.7351,561.75165,562.08563,562.694,561.1639,566.25,566.6062,567.3083
WA-Male,5010.0654,5078.57,5084.5254,5108.5273,5139.2,5196.649,5192.9653,5209.5474
ACT-Female-Remanded,4.1724033,3.4693415,3.2030632,2.9935815,3.4885817,2.743566,2.4874773,2.2923472
ACT-Female-Sentenced,22.288067,22.483397,22.622993,22.695831,22.81891,22.990894,23.140305,23.215052
ACT-Male-Remanded,92.564835,91.70752,91.85126,92.18417,92.68956,91.78959,91.94972,92.30238
ACT-Male-Sentenced,259.66052,260.06024,260.3344,260.75226,261.1738,261.63483,261.59976,262.03415
NSW-Female-Remanded,224.72176,222.9472,221.60251,220.98557,221.25648,219.4852,218.23993,217.71194
NSW-Female-Sentenced,505.37582,505.7048,504.5785,503.9422,503.2702,503.67114,502.68887,502.12494
NSW-Male-Remanded,2791.2214,2817.6436,2716.5493,2735.9978,2899.5151,2925.936,2820.0002,2839.3882
NSW-Male-Sentenced,7254.244,7335.759,7350.4688,7339.948,7259.2534,7340.991,7356.3154,7346.016
NT-Female-Remanded,46.89237,46.9199,46.6608,47.101448,49.02009,48.998302,48.786003,49.2317
NT-Female-Sentenced,78.22276,79.15821,79.93192,81.20683,83.8713,84.72725,85.508675,86.7955
NT-Male-Remanded,456.76782,449.7864,444.8708,453.60577,483.3869,476.4592,471.51617,480.29224
NT-Male-Sentenced,1035.8372,1045.6508,1054.4263,1063.8358,1075.1685,1084.8862,1093.714,1103.1964
QLD-Female-Remanded,173.86552,173.0899,171.58061,171.61765,173.02893,172.38315,170.87016,170.92278
QLD-Female-Sentenced,545.2418,547.33057,548.07886,551.3314,556.25903,558.37665,559.1055,562.369
QLD-Male-Remanded,1570.5664,1572.8986,1549.5779,1540.0803,1585.7195,1587.8783,1563.0093,1553.3796
QLD-Male-Sentenced,5149.706,5190.096,5224.877,5267.718,5319.8115,5360.407,5395.2944,5438.2754
SA-Female-Remanded,84.42598,83.8722,83.867325,84.05797,85.253136,84.84821,84.84859,85.05
