,0,1,2,3,4,5,6,7
Aggregated,35323.145,35664.723,35767.82,35984.83,36223.57,36552.875,36639.984,36848.4
ACT,328.54474,327.69388,327.55862,326.947,326.30402,325.38263,325.23654,324.55893
NSW,10789.904,10894.3125,10813.619,10826.821,10914.901,11019.19,10933.162,10946.154
NT,1592.2203,1599.1764,1607.884,1627.5175,1664.4033,1671.2817,1679.9775,1699.5413
QLD,7480.295,7535.545,7560.643,7599.1357,7686.8535,7741.828,7765.7437,7803.5366
SA,2734.2344,2758.5623,2781.882,2805.892,2830.0376,2854.3345,2877.6255,2901.6033
TAS,395.57404,407.8978,411.42242,412.97565,390.9849,403.26984,406.80557,408.31552
VIC,6528.273,6621.4785,6737.7324,6834.205,6816.829,6910.0605,7026.2593,7122.741
WA,5474.0967,5520.0586,5527.08,5551.332,5593.2544,5627.526,5625.177,5641.9478
ACT-Female,4.300297,3.7644808,3.6730356,3.2791913,2.838987,2.2705739,2.177002,1.7529032
ACT-Male,324.24445,323.92938,323.8856,323.6678,323.46503,323.11206,323.05954,322.80603
NSW-Female,719.13293,718.8606,718.7896,718.54395,718.1533,717.8512,717.78156,717.5195
NSW-Male,10070.771,10175.451,10094.829,10108.277,10196.748,10301.339,10215.381,10228.635
NT-Female,110.97395,112.4334,114.23315,115.811935,117.39512,118.820984,120.61599,122.165115
NT-Male,1481.2463,1486.743,1493.6509,1511.7057,1547.0082,1552.4608,1559.3616,1577.376
QLD-Female,715.05585,718.2146,720.77673,723.7654,726.8967,730.0388,732.58264,735.5552
QLD-Male,6765.2393,6817.33,6839.866,6875.371,6959.957,7011.789,7033.161,7067.9814
SA-Female,171.55347,171.31766,171.27815,171.10748,170.92395,170.65057,170.6026,170.39575
SA-Male,2562.681,2587.2446,2610.604,2634.7847,2659.1135,2683.6838,2707.023,2731.2075
TAS-Female,11.841695,11.018038,10.94763,10.363186,9.692595,8.839389,8.77261,8.15969
TAS-Male,383.73233,396.87976,400.4748,402.61246,381.2923,394.43042,398.03296,400.15582
VIC-Female,439.34418,443.46835,452.25363,449.74805,439.9227,444.0166,452.78778,450.25183
VIC-Male,6088.9287,6178.0103,6285.4795,6384.457,6376.9062,6466.044,6573.4717,6672.489
WA-Female,524.1035,524.1039,524.10706,524.11597,524.16345,524.1394,524.135,524.12256
WA-Male,4949.993,4995.9546,5002.973,5027.216,5069.091,5103.3867,5101.042,5117.825
ACT-Female-Remanded,-2.085427,-2.3880603,-2.4382205,-2.6611242,-2.9113379,-3.2268648,-3.277619,-3.5143514
ACT-Female-Sentenced,6.385724,6.152541,6.111256,5.9403152,5.750325,5.4974384,5.454621,5.267255
ACT-Male-Remanded,78.02996,77.621506,77.552635,77.25263,76.92086,76.49187,76.42162,76.10222
ACT-Male-Sentenced,246.21448,246.30788,246.33296,246.41516,246.54416,246.62018,246.63791,246.70383
NSW-Female-Remanded,219.02013,218.71494,218.65118,218.40604,218.08006,217.76666,217.70677,217.45801
NSW-Female-Sentenced,500.1128,500.14563,500.13843,500.13788,500.07324,500.08447,500.0748,500.06146
NSW-Male-Remanded,2800.8901,2827.741,2728.8228,2750.6333,2917.248,2943.9834,2839.7632,2861.3364
NSW-Male-Sentenced,7269.882,7347.711,7366.0063,7357.6445,7279.5005,7357.3555,7375.6177,7367.299
NT-Female-Remanded,40.444523,40.74705,41.186935,41.539467,41.900074,42.181973,42.61835,42.9541
NT-Female-Sentenced,70.52943,71.68635,73.04621,74.27247,75.49505,76.63901,77.99764,79.21101
