,0,1,2,3,4,5,6,7
Aggregated,35087.133,35431.793,35525.332,35732.28,35979.926,36312.617,36391.035,36589.902
ACT,352.84637,352.93622,352.92682,352.96326,353.2217,353.2712,353.29358,353.32947
NSW,10739.727,10844.57,10761.672,10772.374,10862.172,10966.945,10878.869,10889.437
NT,1610.7578,1618.3228,1627.3088,1647.5697,1684.651,1692.1257,1701.1556,1721.4178
QLD,7339.9883,7394.4316,7415.9116,7449.667,7539.222,7593.505,7614.004,7647.131
SA,2711.7068,2736.4014,2758.731,2781.7466,2807.0293,2831.7437,2854.1416,2877.1904
TAS,443.1587,456.67798,460.81174,463.69223,442.37384,455.81998,459.98328,462.85843
VIC,6443.5625,6536.6836,6650.593,6744.1973,6728.337,6821.5625,6935.5664,7029.24
WA,5445.391,5491.7705,5497.379,5520.0674,5562.922,5597.6396,5594.018,5609.2974
ACT-Female,19.25734,19.201733,19.235498,19.241814,19.186487,19.108479,19.157719,19.163013
ACT-Male,333.58905,333.73447,333.6913,333.72144,334.03522,334.16272,334.13583,334.16644
NSW-Female,731.0381,731.311,731.1433,731.04584,731.21936,731.47266,731.33655,731.25903
NSW-Male,10008.688,10113.26,10030.529,10041.328,10130.953,10235.473,10147.533,10158.178
NT-Female,120.86035,122.67512,124.56096,126.423164,128.24431,130.02284,131.93092,133.79501
NT-Male,1489.8975,1495.6477,1502.7479,1521.1466,1556.4067,1562.1029,1569.2246,1587.6227
QLD-Female,698.3894,701.6977,703.69653,706.1011,709.85925,713.1747,715.2031,717.626
QLD-Male,6641.5986,6692.7344,6712.215,6743.5654,6829.3633,6880.33,6898.8013,6929.505
SA-Female,179.97595,180.06493,180.0235,180.02307,180.21277,180.2876,180.26291,180.26605
SA-Male,2531.731,2556.3364,2578.7075,2601.7236,2626.817,2651.4563,2673.879,2696.9243
TAS-Female,36.10927,35.930916,36.15398,36.24898,35.964973,35.752415,35.98887,36.082382
TAS-Male,407.04944,420.74707,424.65778,427.44324,406.40884,420.06754,423.99442,426.77606
VIC-Female,436.1645,440.59006,449.1219,446.4715,437.13385,441.56146,450.11768,447.47876
VIC-Male,6007.398,6096.0933,6201.4707,6297.7256,6291.203,6380.001,6485.4487,6581.7617
WA-Female,527.33826,527.6367,527.4896,527.4418,527.71606,527.99817,527.88605,527.8496
WA-Male,4918.0527,4964.134,4969.889,4992.6255,5035.2056,5069.6416,5066.132,5081.4478
ACT-Female-Remanded,6.01918,5.961034,5.991893,5.99526,5.920204,5.848724,5.887947,5.8901424
ACT-Female-Sentenced,13.23816,13.240699,13.243606,13.246555,13.266283,13.259756,13.269772,13.272871
ACT-Male-Remanded,87.97944,87.896866,87.93926,87.95404,87.90102,87.80264,87.85273,87.865234
ACT-Male-Sentenced,245.60962,245.8376,245.75204,245.7674,246.1342,246.36008,246.28311,246.30122
NSW-Female-Remanded,228.57443,228.58656,228.56305,228.5252,228.47427,228.47562,228.46362,228.43362
NSW-Female-Sentenced,502.46362,502.72443,502.58026,502.52063,502.74512,502.997,502.873,502.82544
NSW-Male-Remanded,2819.6274,2847.1782,2748.1313,2770.128,2937.4407,2964.865,2860.5352,2882.3057
NSW-Male-Sentenced,7189.061,7266.0815,7282.3975,7271.2,7193.5127,7270.6074,7286.9976,7275.8716
NT-Female-Remanded,44.207973,44.69184,45.14874,45.613243,46.122635,46.59005,47.05776,47.523556
NT-Female-Sentenced,76.65238,77.98328,79.412224,80.80992,82.12167,83.43279,84.87316,86.271454
NT-Male-Remanded,447.20557,443.34583,440.24783,448.62317,474.409,470.53262,467.4499,475.83105
NT-Male-Sentenced,1042.6919,1052.3018,1062.5001,1072.5234,1081.9977,1091.5702,1101.7747,1111.7916
QLD-Female-Remanded,168.40367,168.67926,168.55945,168.57011,169.02316,169.29617,169.18758,169.20366
QLD-Female-Sentenced,529.9857,533.01843,535.1371,537.53094,540.83606,543.8785,546.0155,548.42236
QLD-Male-Remanded,1548.8555,1555.9163,1535.524,1525.7745,1566.5071,1573.3185,1551.8547,1541.4028
QLD-Male-Sentenced,5092.743,5136.8184,5176.691,5217.791,5262.8564,5307.0117,5346.9463,5388.1025
SA-Female-Remanded,77.58343,77.62002,77.60315,77.6031,77.68782,77.7169,77.70796,77.708855
SA-Female-Sentenced,102.39253,102.44491,102.42036,102.41997,102.524956,102.570694,102.55495,102.557205
