,0,1,2,3,4,5,6,7
Aggregated,35401.05,35730.42,35826.94,36042.91,36321.562,36638.617,36719.605,36927.14
ACT,355.091,355.10028,355.20746,355.26706,355.13623,355.14648,355.24316,355.2659
NSW,10796.863,10898.416,10816.464,10829.139,10924.666,11026.057,10938.848,10951.303
NT,1598.9503,1606.5311,1615.3353,1635.2017,1671.5237,1678.9261,1687.584,1707.4994
QLD,7465.92,7515.341,7537.699,7574.748,7676.2065,7725.229,7746.5938,7782.9385
SA,2746.6973,2769.8267,2792.495,2816.4836,2844.9607,2868.072,2890.7708,2914.7388
TAS,433.27844,447.15622,451.01257,453.59332,431.43073,445.5,449.4557,451.99133
VIC,6533.2783,6622.8286,6737.201,6833.1094,6826.3774,6915.8765,7030.32,7126.255
WA,5470.9688,5515.227,5521.5215,5545.369,5591.2617,5623.8145,5620.788,5637.151
ACT-Female,18.612097,18.583862,18.605047,18.602942,18.499672,18.476656,18.498016,18.475534
ACT-Male,336.4789,336.51642,336.60242,336.66412,336.63657,336.6698,336.74515,336.79034
NSW-Female,730.80884,730.7853,730.7479,730.75964,730.94946,730.932,730.90295,730.9204
NSW-Male,10066.054,10167.631,10085.716,10098.379,10193.717,10295.124,10207.945,10220.383
NT-Female,119.085884,120.87332,122.681076,124.55427,126.43645,128.22299,130.06465,131.90562
NT-Male,1479.8645,1485.6578,1492.6542,1510.6473,1545.0873,1550.7031,1557.5194,1575.5938
QLD-Female,717.1786,719.6258,721.78613,724.6874,730.0685,732.4998,734.6817,737.5753
QLD-Male,6748.741,6795.715,6815.913,6850.0605,6946.138,6992.7295,7011.9116,7045.3633
SA-Female,182.77042,182.76431,182.76996,182.85385,183.18188,183.18497,183.1927,183.24944
SA-Male,2563.9268,2587.0625,2609.725,2633.63,2661.7788,2684.8872,2707.5781,2731.4893
TAS-Female,31.669533,31.657516,31.75773,31.72697,31.234478,31.222414,31.3228,31.287792
TAS-Male,401.6089,415.49872,419.25485,421.86636,400.19626,414.2776,418.1329,420.70355
VIC-Female,441.5293,445.32288,453.86127,451.4632,443.42188,447.2299,455.77936,453.37732
