,ts_name,run,forecast_type,error_metric,error,level
0,Aggregated,1,original,MASE,0.8475772546306223,1
1,Aggregated,1,adjusted,MASE,3.0947957603196685,1
2,Aggregated,1,original,SMAPE,0.7845277879794003,1
3,Aggregated,1,adjusted,SMAPE,2.872922037707983,1
4,ACT,1,original,MASE,4.271324197427554,2
5,ACT,1,adjusted,MASE,3.386464511099366,2
6,ACT,1,original,SMAPE,13.729686225271326,2
7,ACT,1,adjusted,SMAPE,10.690335549162864,2
8,NSW,1,original,MASE,12.553837278575802,2
9,NSW,1,adjusted,MASE,10.496771924645769,2
10,NSW,1,original,SMAPE,13.015442688605988,2
11,NSW,1,adjusted,SMAPE,10.750683265927568,2
12,NT,1,original,MASE,1.1084964313399581,2
13,NT,1,adjusted,MASE,1.1866415776699024,2
14,NT,1,original,SMAPE,2.643495556478956,2
15,NT,1,adjusted,SMAPE,2.841781644639985,2
16,QLD,1,original,MASE,2.8685372176690986,2
17,QLD,1,adjusted,MASE,1.7804099126778798,2
18,QLD,1,original,SMAPE,3.6813787124549067,2
19,QLD,1,adjusted,SMAPE,2.3534219629044393,2
20,SA,1,original,MASE,4.390388916305343,2
21,SA,1,adjusted,MASE,1.3752316265060238,2
22,SA,1,original,SMAPE,5.971896831250797,2
23,SA,1,adjusted,SMAPE,1.976716292432723,2
24,TAS,1,original,MASE,4.5162174846828,2
25,TAS,1,adjusted,MASE,5.24058859577922,2
26,TAS,1,original,SMAPE,17.96361943000528,2
27,TAS,1,adjusted,SMAPE,21.16397769455991,2
28,VIC,1,original,MASE,6.34301283871345,2
29,VIC,1,adjusted,MASE,4.278412033422786,2
30,VIC,1,original,SMAPE,9.759658924750692,2
31,VIC,1,adjusted,SMAPE,6.771623688722232,2
32,WA,1,original,MASE,3.0576042462496433,2
33,WA,1,adjusted,MASE,3.1024525687939106,2
34,WA,1,original,SMAPE,4.537176958401155,2
35,WA,1,adjusted,SMAPE,4.604029351141639,2
36,ACT-Female,1,original,MASE,2.291038876194134,3
37,ACT-Female,1,adjusted,MASE,1.5322756471962617,3
38,ACT-Female,1,original,SMAPE,29.951697271210918,3
39,ACT-Female,1,adjusted,SMAPE,18.69769065631527,3
40,ACT-Male,1,original,MASE,4.312612648379413,3
41,ACT-Male,1,adjusted,MASE,3.5621402343750006,3
42,ACT-Male,1,original,SMAPE,12.908426448535721,3
43,ACT-Male,1,adjusted,SMAPE,10.521049167199692,3
44,NSW-Female,1,original,MASE,10.764989785273228,3
45,NSW-Female,1,adjusted,MASE,10.26742509118541,3
46,NSW-Female,1,original,SMAPE,22.10749682270347,3
47,NSW-Female,1,adjusted,SMAPE,20.96274081562875,3
48,NSW-Male,1,original,MASE,11.107526037854116,3
49,NSW-Male,1,adjusted,MASE,10.06160655444126,3
50,NSW-Male,1,original,SMAPE,11.076877609269312,3
51,NSW-Male,1,adjusted,SMAPE,9.970469467390556,3
52,NT-Female,1,original,MASE,4.569792087563964,3
53,NT-Female,1,adjusted,MASE,3.904630940028902,3
54,NT-Female,1,original,SMAPE,15.401717764143836,3
55,NT-Female,1,adjusted,SMAPE,12.925086438630595,3
56,NT-Male,1,original,MASE,1.2926214492625603,3
57,NT-Male,1,adjusted,MASE,1.1962827544704262,3
58,NT-Male,1,original,SMAPE,3.1630405380814466,3
59,NT-Male,1,adjusted,SMAPE,2.9368441446929525,3
60,QLD-Female,1,original,MASE,1.8448147691089738,3
61,QLD-Female,1,adjusted,MASE,3.0954532686676415,3
62,QLD-Female,1,original,SMAPE,4.654086704158433,3
63,QLD-Female,1,adjusted,SMAPE,7.688664697587802,3
64,QLD-Male,1,original,MASE,2.3174928876804914,3
65,QLD-Male,1,adjusted,MASE,1.7633365157480319,3
66,QLD-Male,1,original,SMAPE,2.8137733885333405,3
67,QLD-Male,1,adjusted,SMAPE,2.1916581804833286,3
68,SA-Female,1,original,MASE,3.3882560045058083,3
69,SA-Female,1,adjusted,MASE,4.199714999999999,3
70,SA-Female,1,original,SMAPE,8.206125346280535,3
71,SA-Female,1,adjusted,SMAPE,10.050428186834749,3
72,SA-Male,1,original,MASE,3.918396193554621,3
73,SA-Male,1,adjusted,MASE,1.0961080832771404,3
74,SA-Male,1,original,SMAPE,5.334685799773074,3
75,SA-Male,1,adjusted,SMAPE,1.577752917197603,3
76,TAS-Female,1,original,MASE,4.000853238183628,3
77,TAS-Female,1,adjusted,MASE,3.5694316212574853,3
78,TAS-Female,1,original,SMAPE,47.347834888357774,3
79,TAS-Female,1,adjusted,SMAPE,40.39791415978728,3
80,TAS-Male,1,original,MASE,3.7854991716273965,3
81,TAS-Male,1,adjusted,MASE,4.718295359097127,3
82,TAS-Male,1,original,SMAPE,15.37416724419759,3
83,TAS-Male,1,adjusted,SMAPE,19.563170254214786,3
84,VIC-Female,1,original,MASE,1.013457112185721,3
85,VIC-Female,1,adjusted,MASE,3.287498598484848,3
86,VIC-Female,1,original,SMAPE,2.36833738945621,3
87,VIC-Female,1,adjusted,SMAPE,7.418062816077602,3
88,VIC-Male,1,original,MASE,6.3879868143093725,3
89,VIC-Male,1,adjusted,MASE,4.287130482571957,3
90,VIC-Male,1,original,SMAPE,9.744917574170135,3
91,VIC-Male,1,adjusted,SMAPE,6.724797383719794,3
92,WA-Female,1,original,MASE,2.801213037756253,3
93,WA-Female,1,adjusted,MASE,2.363182938559322,3
94,WA-Female,1,original,SMAPE,7.57783435195384,3
95,WA-Female,1,adjusted,SMAPE,6.32265047149136,3
96,WA-Male,1,original,MASE,3.5147768311909773,3
97,WA-Male,1,adjusted,MASE,3.186734546290109,3
98,WA-Male,1,original,SMAPE,5.083570468978514,3
99,WA-Male,1,adjusted,SMAPE,4.587788551967349,3
100,ACT-Female-Remanded,1,original,MASE,2.788939946355628,4
101,ACT-Female-Remanded,1,adjusted,MASE,2.8273271774999995,4
102,ACT-Female-Remanded,1,original,SMAPE,57.86654138533047,4
103,ACT-Female-Remanded,1,adjusted,SMAPE,58.73687885583176,4
104,ACT-Female-Sentenced,1,original,MASE,1.2480351416514555,4
105,ACT-Female-Sentenced,1,adjusted,MASE,1.1033073924418604,4
106,ACT-Female-Sentenced,1,original,SMAPE,22.022223198300402,4
107,ACT-Female-Sentenced,1,adjusted,SMAPE,18.85597437843088,4
108,ACT-Male-Remanded,1,original,MASE,4.093084436486865,4
109,ACT-Male-Remanded,1,adjusted,MASE,4.384621986348123,4
110,ACT-Male-Remanded,1,original,SMAPE,28.876377906901084,4
111,ACT-Male-Remanded,1,adjusted,SMAPE,31.32428168108723,4
112,ACT-Male-Sentenced,1,original,MASE,2.0067058280852614,4
113,ACT-Male-Sentenced,1,adjusted,MASE,1.593552630145279,4
114,ACT-Male-Sentenced,1,original,SMAPE,8.632067034564002,4
115,ACT-Male-Sentenced,1,adjusted,SMAPE,6.858441385786436,4
116,NSW-Female-Remanded,1,original,MASE,13.649742660259205,4
117,NSW-Female-Remanded,1,adjusted,MASE,13.656644191374664,4
118,NSW-Female-Remanded,1,original,SMAPE,43.66454127936791,4
119,NSW-Female-Remanded,1,adjusted,SMAPE,43.68487394044279,4
120,NSW-Female-Sentenced,1,original,MASE,3.666312122868782,4
121,NSW-Female-Sentenced,1,adjusted,MASE,3.165561101138354,4
122,NSW-Female-Sentenced,1,original,SMAPE,10.157995024343656,4
123,NSW-Female-Sentenced,1,adjusted,SMAPE,8.690512937508501,4
124,NSW-Male-Remanded,1,original,MASE,10.105158658980105,4
125,NSW-Male-Remanded,1,adjusted,MASE,9.178642254528123,4
126,NSW-Male-Remanded,1,original,SMAPE,25.422668285016663,4
127,NSW-Male-Remanded,1,adjusted,SMAPE,22.81206932850505,4
128,NSW-Male-Sentenced,1,original,MASE,4.833872896117644,4
129,NSW-Male-Sentenced,1,adjusted,MASE,4.582521878048779,4
130,NSW-Male-Sentenced,1,original,SMAPE,5.035848365531984,4
131,NSW-Male-Sentenced,1,adjusted,SMAPE,4.767137146350703,4
132,NT-Female-Remanded,1,original,MASE,1.57940727272694,4
133,NT-Female-Remanded,1,adjusted,MASE,1.4835031798986487,4
134,NT-Female-Remanded,1,original,SMAPE,13.287113375084624,4
135,NT-Female-Remanded,1,adjusted,SMAPE,12.293268249906534,4
136,NT-Female-Sentenced,1,original,MASE,4.541083390020327,4
137,NT-Female-Sentenced,1,adjusted,MASE,4.983913385135136,4
138,NT-Female-Sentenced,1,original,SMAPE,14.527508017013913,4
139,NT-Female-Sentenced,1,adjusted,SMAPE,16.14244273961524,4
140,NT-Male-Remanded,1,original,MASE,1.2572690974496012,4
141,NT-Male-Remanded,1,adjusted,MASE,1.5565450629496398,4
142,NT-Male-Remanded,1,original,SMAPE,6.185321656150358,4
143,NT-Male-Remanded,1,adjusted,SMAPE,7.6058822758414575,4
144,NT-Male-Sentenced,1,original,MASE,0.7922790688595638,4
145,NT-Male-Sentenced,1,adjusted,MASE,0.7164707070707075,4
146,NT-Male-Sentenced,1,original,SMAPE,2.2397834447163025,4
147,NT-Male-Sentenced,1,adjusted,SMAPE,2.0331726246381883,4
148,QLD-Female-Remanded,1,original,MASE,6.773029242959555,4
149,QLD-Female-Remanded,1,adjusted,MASE,4.938619948770492,4
150,QLD-Female-Remanded,1,original,SMAPE,22.415915656057113,4
151,QLD-Female-Remanded,1,adjusted,SMAPE,15.72041789836988,4
152,QLD-Female-Sentenced,1,original,MASE,3.7193438058817145,4
153,QLD-Female-Sentenced,1,adjusted,MASE,5.0459557414910865,4
154,QLD-Female-Sentenced,1,original,SMAPE,11.61027841765315,4
155,QLD-Female-Sentenced,1,adjusted,SMAPE,15.423639252858257,4
156,QLD-Male-Remanded,1,original,MASE,4.054801413239653,4
157,QLD-Male-Remanded,1,adjusted,MASE,6.797964762931034,4
158,QLD-Male-Remanded,1,original,SMAPE,7.77045510737285,4
159,QLD-Male-Remanded,1,adjusted,SMAPE,13.546699888089622,4
