,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,47127.1,25016.271,26854.762,32272.494,25391.168,26175.156,31645.613,27688.2,29055.09,32885.76,29273.041,29305.768
NSW,15883.801,7954.3237,8591.282,10462.107,8049.0625,8005.434,9475.763,8460.137,9048.549,10316.779,9038.61,9408.856
NT,631.82904,477.22955,494.63208,664.2517,704.7084,907.2467,968.9629,955.95734,880.04974,806.10803,587.8649,612.17816
QLD,9938.3125,5866.9297,5645.6445,7474.0,6288.0254,6800.711,8677.375,8022.6074,8304.619,8563.478,7412.597,7279.195
SA,3105.731,1601.8885,1860.1868,2053.16,1685.7412,1747.2024,1970.5126,1685.5256,1787.0177,2153.9558,2012.9987,1957.834
TAS,1627.0947,1037.3198,1016.5067,1162.6837,752.37445,735.3419,769.8151,607.58905,712.8824,916.2084,848.441,740.124
VIC,10886.074,5076.96,5786.0396,6626.2935,4952.199,4854.4634,5982.786,4973.848,5045.8174,6339.883,5958.071,5799.0005
WA,5054.2563,3001.622,3460.47,3829.9995,2959.0583,3124.7573,3800.3982,2982.5342,3276.1536,3789.3496,3414.4614,3508.5793
NSW-Blue Mountains,269.61813,208.65416,224.73996,244.36127,223.32687,227.37524,244.98079,215.66193,234.59766,278.59393,241.36987,263.90497
NSW-Canberra,638.7252,591.61194,521.08264,633.9524,589.23004,573.7459,631.0212,614.17694,589.6997,627.43097,603.39667,586.26227
NSW-Capital Country,405.88593,205.05568,283.70602,261.34872,248.17265,226.79343,275.65094,239.36732,309.48193,346.45142,234.38939,307.55896
NSW-Central Coast,830.11755,280.49408,297.12207,341.9659,254.69699,226.5596,239.30768,210.4935,285.86917,360.1296,271.7649,377.36072
NSW-Central NSW,814.47766,585.3258,622.73083,928.541,629.6583,794.47845,609.0916,656.2799,684.2576,832.0076,618.5149,715.04126
NSW-Hunter,1307.6317,750.94165,826.90295,1004.03125,757.20386,708.8113,902.5756,793.7681,787.0849,906.903,870.11395,906.88696
NSW-New England North West,495.71426,265.1343,322.9359,383.31158,361.33496,312.1767,400.672,391.6137,354.56018,498.79388,334.2851,398.31738
NSW-North Coast NSW,3645.8213,1221.4075,1369.7573,1855.8823,1207.3197,1132.5913,1441.4491,1219.3142,1397.729,1737.5278,1482.2859,1627.8859
NSW-Outback NSW,131.19765,64.663895,124.45653,184.13098,174.22003,149.56367,168.24585,153.27989,311.52466,192.5836,145.8593,131.01904
NSW-Riverina,244.32187,210.52922,218.48482,251.01218,210.57405,209.16872,265.72208,210.44499,224.63754,239.65808,225.65329,230.20056
NSW-Snowy Mountains,365.2232,247.64456,163.13239,283.30426,131.54688,172.20038,601.10187,601.4226,457.48227,267.83585,199.93456,177.6446
NSW-South Coast,2838.1096,883.3781,943.63104,1315.0629,629.7247,673.4597,739.2641,575.0717,703.87506,975.62506,943.2572,964.0663
NSW-Sydney,3579.2395,2162.706,2428.4229,2517.5723,2414.1948,2358.0745,2667.792,2345.9631,2447.7742,2733.6353,2590.8965,2474.875
NSW-The Murray,317.71704,276.77707,244.17671,257.63083,217.85844,240.4349,288.88794,233.27805,259.97443,319.60397,276.88797,247.83282
NT-Alice Springs,129.61514,72.553665,77.64413,117.12397,80.29529,128.89691,136.73718,91.73975,77.22399,106.321045,106.19322,90.108406
NT-Barkly,21.174337,23.374063,22.917152,24.93483,27.309853,23.928036,34.498863,41.093025,26.512955,34.35986,23.748446,25.499607
NT-Darwin,274.34933,256.92096,222.34448,259.92395,252.24489,424.11307,492.94052,479.28928,368.91907,391.5807,229.88686,287.15466
NT-Katherine Daly,75.297035,48.701454,55.44925,115.876755,132.39662,135.15025,117.29661,163.07347,167.50728,91.016266,70.63777,72.15008
NT-Lasseter,44.82261,25.834143,46.93788,57.93829,71.71919,82.65336,69.080734,63.52489,83.18478,74.54172,39.474514,32.695015
NT-Litchfield Kakadu Arnhem,72.05175,32.075573,45.902554,63.00997,111.51214,88.09349,89.09868,89.85135,127.422,75.57581,91.60561,76.906296
NT-MacDonnell,14.518855,17.76972,23.436626,25.44397,29.230423,24.411583,29.310238,27.385555,29.279697,32.712646,26.318462,27.664085
QLD-Brisbane,2735.279,1346.3619,1320.2599,1887.1189,1509.0413,1778.575,2059.0347,1735.1926,1927.6581,1907.1475,1910.9503,1831.1805
QLD-Bundaberg,189.46121,147.26308,161.79138,191.54356,167.72589,162.44641,222.64433,214.21062,213.3193,199.76582,175.57086,197.58757
QLD-Capricorn,338.97318,307.99823,264.20334,326.83942,333.37186,284.88544,392.73453,347.34213,365.73914,371.1961,366.86795,332.61786
QLD-Fraser Coast,387.40207,152.61792,172.51326,247.78056,195.15436,217.60098,232.7968,360.9416,303.55856,302.18567,283.97925,274.67004
QLD-Gladstone,149.95268,148.70818,154.4237,162.63585,154.84322,152.48895,163.06613,159.49922,162.23795,170.1594,158.19731,161.94437
QLD-Gold Coast,1675.5739,924.73926,834.54346,1159.5062,732.07904,925.99207,1369.4784,1194.7985,1063.6995,1263.9998,1150.4272,1052.6049
QLD-Mackay,324.51907,315.64322,325.7906,330.5111,329.11578,327.9291,339.88364,336.1651,340.04984,345.7113,336.6899,338.48672
QLD-Outback Queensland,324.37137,299.85605,306.47382,370.6485,379.8428,383.74344,415.13504,382.91782,493.66583,393.12753,373.04538,403.10107
QLD-Southern Queensland Country,478.88824,454.29926,461.9802,523.58527,460.21707,484.66635,489.696,537.05396,538.3723,514.4396,514.40814,552.761
QLD-Sunshine Coast,1954.5127,795.51495,812.9079,1055.4161,800.17377,732.0096,1025.6628,1000.22125,1167.4093,1269.8706,945.1291,975.698
QLD-Townsville,388.11963,277.56232,240.79799,340.6262,364.30493,325.58032,478.00162,353.80405,372.2993,418.55502,325.21967,361.38614
QLD-Tropical North Queensland,717.6175,516.8237,400.43484,643.19885,661.01074,817.03107,1242.4507,1185.1583,1103.2635,1155.8711,635.0639,559.6544
QLD-Whitsundays,273.64233,179.54121,189.52411,234.58984,201.14429,207.76175,246.79074,215.30273,253.34698,251.44781,237.04794,237.50179
SA-Adelaide,1110.986,577.27277,719.41626,727.4581,666.84796,721.04834,730.6131,726.956,751.4498,820.4572,775.995,787.842
SA-Adelaide Hills,56.890053,45.68775,44.07454,55.56145,55.75552,51.16315,53.94438,53.24218,51.773693,55.225086,51.62699,52.89467
SA-Barossa,44.01027,43.405804,46.8172,48.238403,47.934742,47.310905,51.34034,49.827057,50.973286,52.452694,49.479507,49.648697
SA-Clare Valley,38.11788,34.111275,37.356163,38.740387,38.68824,38.088604,41.104153,40.504234,40.787598,42.724457,39.4065,40.046276
SA-Eyre Peninsula,131.35971,130.20253,146.37527,159.90076,135.94362,125.89791,153.77475,135.74834,138.91217,144.83875,142.23036,148.26643
SA-Fleurieu Peninsula,498.17334,162.37971,157.42442,212.49997,109.28421,112.99329,140.2776,82.929924,85.420044,184.59702,136.31787,184.14531
SA-Flinders Ranges and Outback,237.39925,197.93907,223.44621,233.9628,240.1251,246.97105,285.78406,269.92816,258.18155,347.98572,318.41214,234.13269
SA-Kangaroo Island,67.76525,24.747814,31.34901,44.338753,29.545485,30.94086,43.8161,28.21998,45.005806,61.10109,55.178116,42.076027
SA-Limestone Coast,289.466,135.02103,145.61836,140.08243,138.60815,102.61723,114.74026,69.79826,86.51903,111.899765,130.59062,112.298874
"SA-Murray River, Lakes and Coorong",101.13549,59.68486,94.42009,61.68797,54.38773,66.573326,61.203133,61.60928,66.62531,84.65818,91.28108,67.81422
SA-Riverland,154.67905,77.28232,71.558815,107.185074,97.762764,90.22092,92.0911,75.219154,97.38234,117.92951,113.592476,89.89422
SA-Yorke Peninsula,375.74878,114.15358,142.3305,223.50374,70.85773,113.37678,201.82364,91.54308,113.98701,130.08624,108.887924,148.77464
TAS-East Coast,285.4176,101.116806,113.948105,132.13307,62.72606,67.418724,60.116573,43.87487,83.973564,80.67307,97.189545,97.89278
TAS-Hobart and the South,780.934,459.26593,457.03024,460.10004,320.40063,287.0327,293.78818,235.83376,273.87616,393.77594,372.88196,333.85446
TAS-Launceston and the North,271.07947,294.0964,248.89294,234.92094,184.70999,186.15398,154.6298,135.7335,171.01865,189.25565,190.00465,149.50226
TAS-North West,243.44089,144.6863,154.04393,287.92606,142.92554,159.54697,193.19525,151.58975,141.68451,202.38382,138.56339,118.27166
TAS-West Coast,46.222763,38.154476,42.591484,47.603653,41.612247,35.189556,68.08532,40.557167,42.329445,50.11989,49.80146,40.602837
VIC-Ballarat,138.6586,120.3085,127.28933,141.21365,124.04751,139.93762,137.65274,130.26996,136.02533,162.27237,141.20221,132.75067
VIC-Bendigo Loddon,237.16237,191.21373,242.72278,220.03423,213.5106,209.44946,213.88165,218.4306,201.7192,229.98303,204.7075,220.16887
VIC-Central Highlands,86.57571,72.35531,83.418724,90.18662,77.09553,75.42857,86.92576,83.93166,86.97571,87.16236,87.19684,81.52737
VIC-Central Murray,465.25323,197.10303,189.05016,337.93542,124.73638,164.89026,177.09271,84.70018,127.91903,238.75967,239.31029,189.32623
