,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,47018.46,25294.158,27055.799,32818.875,25915.184,26785.35,31401.121,28060.773,29224.941,32996.793,29382.174,29364.207
NSW,15866.94,8035.067,8665.8545,10618.506,8197.199,8184.0527,9429.072,8600.368,9110.075,10357.97,9083.051,9437.896
NT,625.7591,494.13,504.53116,691.90796,738.82025,943.43317,961.3319,988.9596,902.75415,807.1629,603.08887,617.5595
QLD,9909.488,5934.7124,5671.3647,7606.548,6427.024,6993.4937,8630.425,8135.333,8361.396,8608.07,7452.088,7313.1875
SA,3080.1362,1622.1694,1865.5687,2078.3152,1704.1482,1768.8788,1933.5789,1675.7716,1776.5249,2148.1348,2001.8787,1935.145
TAS,1614.6337,1042.4211,1016.8827,1169.806,760.60425,742.31714,740.6715,596.90155,698.4926,898.0041,835.03064,720.2221
VIC,10869.233,5121.932,5834.8906,6749.9224,5054.0303,4960.141,5921.153,5017.177,5069.647,6360.2866,5973.237,5814.0146
WA,5052.279,3043.727,3496.7075,3903.8677,3033.357,3193.0293,3784.894,3046.26,3306.0527,3817.168,3433.8052,3526.1829
NSW-Blue Mountains,269.44846,214.03629,230.21404,255.98485,234.63116,241.27023,242.66187,227.3403,239.73073,281.85104,245.1244,266.43533
NSW-Canberra,636.3582,597.72815,527.1306,644.83386,599.28296,584.65826,625.5033,622.19635,592.0924,629.39343,605.1201,586.7254
NSW-Capital Country,406.12042,212.9314,291.39218,274.651,258.97787,240.01163,272.68826,249.81798,313.625,349.2948,237.36636,310.5179
NSW-Central Coast,829.6894,284.92593,300.4377,352.25122,264.4929,237.66498,236.67804,216.74785,291.06525,364.55627,275.83633,379.62997
NSW-Central NSW,811.19604,590.8319,627.5277,939.4117,638.3097,805.31946,602.8647,663.49335,684.85126,832.9463,618.18805,715.77246
NSW-Hunter,1304.6835,756.89655,832.18304,1015.4882,766.8197,720.0044,897.4676,802.4152,789.1501,908.53656,871.25476,908.0264
NSW-New England North West,496.0853,270.61087,327.7966,393.90427,373.69308,326.48486,399.37335,404.1307,360.62247,501.31406,338.87476,399.85538
NSW-North Coast NSW,3645.7395,1228.3658,1377.5884,1868.5852,1216.5864,1143.2399,1437.8158,1227.972,1400.3109,1741.2708,1483.9595,1630.8606
NSW-Outback NSW,130.31615,70.19859,128.87233,193.95792,186.36862,164.3585,165.7255,163.9748,317.88962,196.81308,150.60771,132.34853
NSW-Riverina,243.95352,215.59451,222.34477,261.17902,223.35637,224.93422,262.7902,223.596,231.94205,243.93942,231.45311,233.74399
NSW-Snowy Mountains,362.84045,253.29324,168.57184,294.37076,141.23343,184.73933,598.84503,612.0895,463.1308,269.50497,204.13972,179.21935
NSW-South Coast,2835.415,889.9877,950.31836,1328.0664,639.9194,686.909,736.2638,586.32007,708.411,980.18024,946.6005,968.4907
NSW-Sydney,3578.3728,2167.775,2432.5227,2527.3127,2425.608,2371.415,2664.3062,2356.1814,2451.9778,2737.1082,2593.6934,2476.173
NSW-The Murray,316.72037,281.89047,248.95396,268.5084,227.91919,253.04362,286.08862,244.09245,265.27536,321.2609,280.8317,250.09737
NT-Alice Springs,129.15901,74.99745,79.38265,121.93211,86.43389,134.40697,136.74446,96.84317,80.29613,107.78474,108.61065,90.99963
NT-Barkly,21.585756,25.333328,22.699148,27.02118,32.81824,30.040806,32.277317,46.104656,30.650852,32.514694,26.342733,25.570038
NT-Darwin,271.95078,257.81598,222.3973,261.65866,253.8254,427.11945,490.8412,482.38333,371.08212,387.15015,231.07109,285.515
NT-Katherine Daly,73.95427,52.885677,59.26809,122.58177,138.57841,141.6111,117.607735,169.36879,171.71428,96.38011,74.154945,75.97198
NT-Lasseter,43.54185,28.797325,49.330467,64.246475,76.176414,87.99247,68.79398,68.7466,87.18758,75.618225,42.013905,34.19117
NT-Litchfield Kakadu Arnhem,70.76202,34.219337,47.06417,66.06611,116.08787,91.28738,86.49359,92.14725,127.68184,76.08908,91.31011,76.71921
NT-MacDonnell,14.805347,20.080893,24.389317,28.401695,34.900013,30.975048,28.57362,33.36583,34.14138,31.625896,29.585459,28.59246
QLD-Brisbane,2732.1104,1352.2,1323.442,1898.602,1519.7432,1793.0426,2057.4058,1745.1749,1934.4277,1911.7938,1915.9889,1835.536
QLD-Bundaberg,187.40427,152.28343,163.476,204.31204,180.44545,179.35616,222.74385,222.5425,221.90097,203.66127,182.29005,201.18556
QLD-Capricorn,336.1578,313.40994,265.84024,334.97443,342.30566,297.71735,385.64764,355.53152,366.33298,374.5451,366.6817,333.68643
QLD-Fraser Coast,381.5573,157.91052,174.51764,255.95468,206.0542,233.55196,230.98605,370.549,310.5166,306.54987,289.46112,276.60385
QLD-Gladstone,148.63162,152.45894,155.5737,171.55354,165.48212,167.21588,160.84235,168.20943,168.1082,173.83415,162.70352,164.227
QLD-Gold Coast,1675.804,929.19025,835.765,1169.8483,743.83484,942.0945,1364.3657,1203.6661,1067.157,1265.6249,1152.6127,1055.0623
QLD-Mackay,321.45255,322.3323,327.90524,341.43835,338.91898,341.80276,335.32065,347.5677,343.7257,348.70697,339.05896,341.1525
QLD-Outback Queensland,322.06924,304.71588,307.99887,381.32712,390.40256,398.43643,410.77344,387.83786,497.0887,396.65247,375.24963,406.75745
QLD-Southern Queensland Country,476.37552,460.7896,465.02344,534.09375,468.99725,497.3437,483.55298,544.05975,537.5396,518.8934,512.85876,554.7094
QLD-Sunshine Coast,1952.6372,800.6524,814.61273,1064.1909,811.3406,747.8423,1021.39594,1007.2573,1170.7076,1273.937,947.176,979.5909
QLD-Townsville,384.66724,281.5156,241.83861,349.96164,373.86176,339.07486,475.90466,361.35046,378.4566,419.38376,329.83926,362.00613
QLD-Tropical North Queensland,716.15546,522.6333,403.42688,656.6071,671.6316,831.16766,1238.0499,1196.2557,1106.8882,1158.5364,637.3472,561.833
QLD-Whitsundays,274.46686,184.62048,191.9449,243.68478,214.00638,224.84744,243.43549,225.33018,258.54678,255.95148,240.81921,240.83685
SA-Adelaide,1107.6234,579.13293,720.20306,728.70667,667.7573,723.29047,728.81195,727.80054,751.3594,817.69855,775.64984,786.9287
SA-Adelaide Hills,54.096375,48.233833,45.203297,58.886196,57.06994,54.044357,52.61597,52.555336,52.4765,55.81369,52.502605,53.44795
SA-Barossa,42.318703,44.419968,46.65452,50.28991,49.685066,48.502575,46.23677,48.864014,50.14329,52.681396,48.438698,47.266857
SA-Clare Valley,36.3275,36.066658,37.821106,41.043034,41.01052,39.987564,37.45152,40.17105,41.148205,43.692028,39.64326,37.607346
SA-Eyre Peninsula,130.20782,131.07962,146.35753,159.91653,137.4161,127.05353,150.40425,134.63176,137.39545,141.15364,140.50874,144.16953
SA-Fleurieu Peninsula,494.51678,164.2069,157.71419,214.79524,109.31691,113.251625,135.79115,80.919205,82.22397,184.1136,132.99333,181.70595
