,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,48330.656,25609.959,27728.79,34318.99,26754.92,27435.648,32540.83,28762.475,30022.547,34650.586,30249.076,30407.152
NSW,16197.436,8191.2524,8868.443,11033.111,8426.357,8344.031,9662.702,8702.851,9278.281,10732.671,9326.267,9705.1875
NT,680.35974,490.05316,535.5187,756.9541,820.1412,1022.4963,1069.9133,1135.4473,1015.2238,975.6009,665.0131,713.7466
QLD,10114.9795,5862.9155,5715.3467,7776.4272,6550.6377,7116.949,8859.664,8421.431,8598.816,8966.798,7546.9814,7444.43
SA,3281.117,1629.3047,1929.3281,2280.8953,1798.3369,1857.8733,2069.5042,1738.8064,1864.4741,2365.0828,2110.207,2069.5725
TAS,1720.804,1102.2568,1098.5822,1321.3112,842.89966,824.0413,831.22003,649.38104,764.82605,1024.5598,926.63385,811.35956
VIC,11196.258,5304.33,6092.72,7187.939,5265.267,5080.9243,6183.7427,5007.1353,5145.5435,6665.3223,6211.813,6083.4233
WA,5139.701,3029.8462,3488.851,3962.3545,3051.2798,3189.332,3864.081,3107.4238,3355.38,3920.5532,3462.1606,3579.433
NSW-Blue Mountains,293.03592,222.35297,241.79915,281.59772,248.43362,250.51822,257.38,232.87653,250.10454,307.10562,260.4957,284.45367
NSW-Canberra,659.94055,607.85693,540.75,673.20044,616.50684,598.729,643.8148,631.8286,606.50934,656.9858,623.1509,607.02344
NSW-Capital Country,430.01926,222.75139,303.6996,304.23962,276.86356,252.43832,289.2056,256.6371,327.4463,377.90128,255.75505,329.27197
NSW-Central Coast,850.9334,295.10294,314.11935,379.83887,277.95667,247.8686,252.4896,226.04974,300.93887,389.26486,290.53238,397.53598
NSW-Central NSW,832.075,601.0717,640.6433,965.8205,654.98193,814.94965,618.39307,668.90906,695.919,858.5257,635.14075,734.10345
NSW-Hunter,1327.9283,766.71783,845.8241,1043.7261,782.31836,732.4324,914.8724,810.59534,802.35657,935.1135,888.0289,927.46594
NSW-New England North West,517.70746,280.28256,342.34283,421.48016,388.56223,336.58258,414.26675,410.6549,371.58023,527.04297,355.44257,419.6521
NSW-North Coast NSW,3670.2986,1242.1915,1393.8367,1902.5671,1237.0508,1158.6736,1457.2583,1238.3293,1416.4559,1771.7653,1505.4872,1652.4967
NSW-Outback NSW,155.19449,80.43293,142.69699,224.97314,201.2581,174.87071,181.31961,172.84384,328.53198,222.93471,166.34966,152.27025
NSW-Riverina,270.12814,231.92195,242.33334,296.98615,242.3691,238.15865,283.77362,230.95686,244.65392,271.8495,249.77342,252.53583
NSW-Snowy Mountains,386.31265,262.1521,180.66562,321.1801,156.14174,194.56013,613.286,616.5913,473.76447,295.64487,220.65393,196.2602
NSW-South Coast,2859.6113,900.90625,964.41675,1356.3213,655.237,696.1496,751.57434,589.97473,718.2747,1005.7806,963.17773,985.10645
NSW-Sydney,3602.267,2181.2883,2448.8362,2559.5027,2441.1519,2381.9507,2679.1592,2362.295,2461.1763,2761.388,2611.262,2495.8215
NSW-The Murray,341.98447,296.22296,266.47974,301.6768,247.52539,266.14984,305.90942,254.3073,280.5679,351.36774,301.0169,271.1903
NT-Alice Springs,134.57278,72.65117,82.06952,128.80782,96.00973,144.8108,150.40054,117.31206,95.49087,130.14838,116.51696,103.82592
NT-Barkly,28.51377,25.051266,28.60899,36.965714,45.624794,41.927086,48.12709,67.96001,46.603367,56.858322,34.972927,39.40985
NT-Darwin,281.2524,258.794,228.38472,274.02658,269.49725,442.97675,509.29443,508.7904,390.9538,416.66058,241.71544,302.34402
NT-Katherine Daly,80.910706,49.79022,61.08713,128.63129,147.53568,149.09525,131.01118,185.20694,185.3368,117.36211,81.7228,86.77181
NT-Lasseter,51.56092,30.194445,54.82878,72.53653,88.774506,97.93706,83.67433,90.38777,102.847984,100.00098,52.11425,49.635563
NT-Litchfield Kakadu Arnhem,79.720245,33.457508,50.618904,76.424934,126.208496,103.6091,103.150276,111.900024,144.25766,99.66531,99.65305,90.60134
NT-MacDonnell,23.828983,20.114506,29.920677,39.561256,46.49067,42.140297,44.255547,53.89012,49.73336,54.905235,38.317688,41.158066
QLD-Brisbane,2746.7883,1348.2384,1326.8645,1911.5923,1528.6201,1801.9548,2074.9966,1767.6227,1952.019,1939.5873,1922.6993,1845.7238
QLD-Bundaberg,200.25874,146.7612,166.29913,213.5348,187.14224,186.51396,237.78568,245.24847,236.53336,228.59631,186.32806,208.1437
QLD-Capricorn,352.61172,309.26562,271.97223,352.55798,355.20654,309.47375,405.01645,376.60608,387.10992,402.86343,376.9477,346.5432
QLD-Fraser Coast,398.34967,150.69173,176.0287,268.7819,212.95375,239.05347,245.32928,389.8824,326.35037,332.79742,293.72687,286.99475
QLD-Gladstone,166.7717,147.47656,159.41263,186.253,174.63501,176.86633,179.48145,190.59743,185.69733,200.52444,170.6698,174.5201
QLD-Gold Coast,1692.536,924.1563,839.57385,1181.8474,753.45996,951.25476,1383.5343,1225.6201,1085.6433,1294.582,1160.6218,1064.6075
QLD-Mackay,336.30954,315.86978,331.9024,353.9419,349.7029,352.86066,353.33194,368.46014,363.87485,377.08347,347.29745,352.62976
QLD-Outback Queensland,335.5392,295.6911,307.76736,388.50516,396.4325,403.7057,424.1803,410.33026,511.7536,421.26373,379.25107,414.4068
QLD-Southern Queensland Country,492.53674,455.0743,468.63293,550.4031,482.72995,510.79837,504.31598,567.15656,560.2753,548.46564,523.8804,567.7407
QLD-Sunshine Coast,1970.5308,794.6304,819.04877,1078.6272,819.8078,757.13727,1038.7285,1029.663,1188.3839,1302.3076,953.5238,987.39874
QLD-Townsville,399.09692,276.0007,243.90074,361.53372,382.19247,347.76328,492.17538,381.94138,395.45044,447.01376,336.15378,372.11945
QLD-Tropical North Queensland,733.7818,519.77734,409.0468,671.0376,684.24976,845.2713,1259.5977,1219.7916,1128.347,1188.4485,647.5875,573.8223
QLD-Whitsundays,289.8677,179.28241,194.8964,257.811,223.5049,234.29532,261.19186,248.51102,277.37933,283.26425,248.29388,249.77911
SA-Adelaide,1122.2358,580.19574,726.0965,745.86554,677.71704,730.47424,740.23114,730.93115,760.5483,837.7979,785.3949,796.86395
SA-Adelaide Hills,70.19257,48.176952,49.822067,75.231415,65.71119,61.07689,65.17676,59.683506,62.19535,75.88507,61.953625,63.618057
SA-Barossa,59.758087,46.02346,53.216263,68.033554,56.46074,59.104836,58.192192,55.009644,57.356236,70.217705,56.13016,58.22844
SA-Clare Valley,53.870415,37.705814,43.510124,59.0747,48.827026,47.57238,49.598434,45.723198,47.652657,60.91059,48.296963,49.8058
SA-Eyre Peninsula,147.83702,132.57996,151.9772,178.86308,146.77148,134.8132,161.79327,140.50201,144.7541,159.50706,150.75763,158.56277
SA-Fleurieu Peninsula,515.1132,166.74008,165.61835,234.91899,119.94011,123.60576,149.80637,87.88385,92.16973,203.60666,144.65686,194.84682
SA-Flinders Ranges and Outback,251.76343,199.45403,229.18307,252.8461,248.40913,255.16615,294.76013,273.03775,265.15933,366.34824,327.69992,243.70201
SA-Kangaroo Island,81.43715,25.70097,35.888874,61.07113,38.28145,40.661354,52.136734,34.18924,51.772835,77.17048,63.11026,49.84479
SA-Limestone Coast,303.0409,137.25845,152.07759,158.78537,147.43556,109.84339,123.2713,74.01403,92.41211,131.13576,138.02423,121.148636
"SA-Murray River, Lakes and Coorong",116.55634,59.231678,97.093506,78.15805,61.34797,73.308395,66.4555,63.815,68.79095,100.483826,96.41771,76.22554
SA-Riverland,174.01468,81.79073,78.89244,129.28574,109.97914,102.97976,101.377235,80.924576,104.38168,137.85081,123.038124,101.05298
SA-Yorke Peninsula,385.29733,114.44689,145.95203,238.76157,77.45602,119.26694,206.7053,93.09236,117.28084,144.16866,114.72684,155.67267
TAS-East Coast,302.42783,111.57248,126.871,160.12201,78.27753,81.509254,69.03083,48.80128,91.54511,98.64267,109.76079,109.98364
TAS-Hobart and the South,798.4255,469.9664,473.17764,489.45197,337.2066,302.4362,305.6361,241.96925,282.75012,414.78296,388.90274,347.65564
TAS-Launceston and the North,294.4451,310.34763,267.60974,270.6725,207.23718,208.25533,169.59735,146.43147,184.1618,213.64165,208.23703,165.52248
TAS-North West,262.61685,159.83847,172.10623,322.7783,161.10457,178.72148,205.81909,161.48201,151.98526,225.77533,153.69319,134.4835
TAS-West Coast,62.888756,50.531876,58.81749,78.286354,59.073795,53.119102,81.13667,50.697014,54.383793,71.717155,66.04014,53.714302
VIC-Ballarat,151.40955,130.38087,140.90643,166.2465,137.97882,148.96243,144.3464,130.16566,138.77985,174.07753,153.52768,144.74017
VIC-Bendigo Loddon,253.66469,202.04088,256.8543,247.30429,230.00963,222.4578,223.56487,222.33298,207.53233,245.83386,217.77403,233.7616
VIC-Central Highlands,99.11791,80.610886,95.1353,113.53265,88.158936,83.25191,92.87001,79.57271,85.892624,99.50636,94.65251,92.01459
VIC-Central Murray,478.1845,209.95999,204.4866,366.2848,140.97346,174.8553,185.71625,87.31244,131.98877,252.92363,250.50731,202.03879
