,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,47935.03,25328.604,26994.379,32634.666,25609.43,26561.713,31680.111,27695.254,29190.705,32868.055,29277.674,29209.615
NSW,16028.022,7997.566,8579.308,10495.567,8056.688,8054.1895,9421.876,8414.851,9024.349,10244.559,8989.708,9330.244
NT,726.01715,516.0013,530.5159,719.22156,749.5342,961.59717,1009.6632,990.4483,926.11475,844.73773,621.913,639.13245
QLD,10067.706,5899.844,5616.588,7488.739,6276.2246,6830.755,8598.815,7947.5273,8251.803,8461.975,7340.06,7177.1143
SA,3242.516,1673.5001,1929.4303,2155.935,1765.0931,1844.1852,2051.772,1750.8042,1877.552,2234.4512,2079.4902,2014.3052
TAS,1696.2216,1068.201,1043.689,1205.9084,788.4484,780.79974,799.84344,635.12885,749.93054,945.13,874.2299,758.1407
VIC,11080.256,5161.6094,5849.05,6738.59,5027.8438,4963.126,6039.1855,5011.348,5116.7744,6392.6694,5995.2847,5825.526
WA,5094.301,3011.8843,3445.797,3830.7012,2945.6104,3127.0625,3758.9531,2945.1433,3244.1775,3744.5312,3376.9844,3465.149
NSW-Blue Mountains,279.3506,211.00003,223.09018,245.43791,223.53966,230.4081,240.12096,212.0443,231.93275,272.34186,237.10416,257.52554
NSW-Canberra,647.6073,594.7733,519.95917,636.1882,589.7526,577.19476,626.12103,610.4308,587.0351,621.6117,599.135,580.13403
NSW-Capital Country,418.098,208.93097,283.93698,265.28406,250.41284,231.99303,272.96878,237.53793,309.03625,343.16708,231.90956,303.37732
NSW-Central Coast,840.81616,283.8825,296.9863,345.3063,254.71602,229.54787,236.96133,207.18787,285.70975,356.44177,269.627,372.80737
NSW-Central NSW,822.7996,588.4551,621.39087,929.7932,629.41656,796.9916,602.47864,650.5428,679.2447,825.2483,612.58655,708.5426
NSW-Hunter,1315.1802,753.63794,825.1999,1005.33673,756.65076,711.07764,896.51245,789.043,783.17737,900.04974,864.92413,900.07886
NSW-New England North West,507.45343,268.13486,322.0661,385.96326,363.53125,317.3154,398.7642,390.5007,354.911,493.86728,332.50085,392.71692
NSW-North Coast NSW,3657.3477,1225.268,1370.4197,1860.2073,1207.6641,1136.0211,1438.7014,1216.3563,1396.4305,1735.1825,1479.001,1624.381
NSW-Outback NSW,142.50568,67.68738,123.547646,186.27492,174.77565,153.03897,164.33005,150.40768,309.83,187.17706,142.4488,125.240105
NSW-Riverina,257.04895,213.18309,217.42317,253.02159,212.06088,213.54762,262.90308,208.56197,224.05017,234.33328,223.17163,224.3606
NSW-Snowy Mountains,373.29593,249.74646,160.81322,283.68185,130.21725,173.78094,596.77374,596.64996,455.3681,260.15244,196.16824,170.10526
NSW-South Coast,2847.0166,887.12494,943.635,1318.5757,630.08264,676.7339,735.2371,571.917,701.81464,971.85974,939.415,959.61487
NSW-Sydney,3589.969,2166.0886,2427.6975,2520.3584,2415.1675,2362.1553,2663.5188,2342.815,2445.884,2728.631,2587.0696,2469.3093
NSW-The Murray,329.53424,279.6529,243.14116,260.13834,218.70042,244.38335,286.48312,230.85555,259.9235,314.49454,274.64694,242.05049
NT-Alice Springs,142.80373,77.97404,82.84393,125.51655,87.51992,137.59593,143.0865,97.6146,84.70979,112.708275,111.63438,94.23765
NT-Barkly,36.06845,28.412952,27.10116,32.012722,34.458225,32.265785,39.74135,46.0253,32.80628,38.668156,28.298265,28.130875
NT-Darwin,286.99344,262.18784,227.35748,266.6765,258.40356,431.6276,499.20602,484.43546,376.1759,396.05322,235.43434,290.78702
NT-Katherine Daly,88.51235,55.27993,61.96108,125.73911,138.61069,142.72664,124.31593,168.27765,174.40665,99.035675,75.81096,77.74159
NT-Lasseter,57.069954,31.2265,51.905537,65.78643,76.89031,89.286575,74.09754,67.47665,89.28998,80.316055,43.8737,36.473515
NT-Litchfield Kakadu Arnhem,84.90129,37.867958,50.84268,70.66154,117.152176,95.00693,93.35361,93.19518,131.8326,80.41687,94.83712,80.27523
NT-MacDonnell,29.667973,23.052063,28.504019,32.828693,36.499283,33.087776,35.862328,33.423504,36.89356,37.539497,32.024246,31.486588
QLD-Brisbane,2743.7288,1349.1978,1318.5957,1888.7308,1506.7352,1779.4465,2053.7158,1728.8208,1924.5669,1900.151,1906.4287,1824.0527
QLD-Bundaberg,199.27654,149.12456,158.78418,191.71071,166.80971,164.63277,218.21178,209.61143,211.07265,190.98692,171.71587,189.04242
QLD-Capricorn,348.29446,310.50507,261.95203,328.16418,332.80853,287.59384,385.08127,341.03033,360.39725,363.57886,360.01395,324.7925
QLD-Fraser Coast,395.22876,155.33922,170.544,249.28273,193.44739,219.20894,227.70784,355.46945,300.8813,294.82852,279.48993,267.10626
QLD-Gladstone,161.13632,151.11502,152.25885,163.99048,154.92232,155.73077,159.38596,155.98796,160.84868,162.66531,154.98227,154.18904
QLD-Gold Coast,1687.5282,927.05884,831.70465,1159.8524,732.37244,929.4341,1362.0432,1188.7325,1058.6013,1255.1276,1143.9976,1043.975
QLD-Mackay,334.62787,318.45587,324.11118,332.4683,328.3964,330.48785,334.0622,331.56213,336.64688,338.87024,331.59732,331.2443
