,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,48550.62,26033.457,27660.11,33250.027,26168.06,26898.32,32045.662,28200.596,29775.729,33571.55,30074.002,29655.787
NSW,16247.139,8195.753,8773.688,10704.387,8234.027,8174.3296,9563.811,8586.73,9227.387,10485.768,9235.845,9483.194
NT,700.7522,523.24194,528.65234,696.91394,735.94836,938.4776,978.3989,970.5833,902.01526,824.2215,614.0478,620.62213
QLD,10312.224,6136.6597,5856.0195,7743.1895,6500.4863,6993.0913,8782.623,8162.84,8504.453,8732.714,7632.5635,7367.9854
SA,3240.6958,1709.0974,1954.2711,2150.7063,1768.2231,1826.5493,2023.1882,1742.2499,1865.9166,2239.57,2098.5693,2004.0831
TAS,1688.9274,1082.5951,1051.8766,1198.2697,785.5851,767.8014,780.94165,626.52386,738.99786,941.3256,878.9592,749.04565
VIC,11115.721,5269.836,5942.21,6798.593,5092.716,4992.8774,6060.339,5060.2134,5164.502,6442.1143,6096.952,5870.166
WA,5245.1616,3116.2737,3553.3906,3957.9714,3051.0745,3205.1921,3856.3628,3051.453,3372.4617,3905.8394,3517.066,3560.6904
NSW-Blue Mountains,294.31802,225.14285,237.05354,259.46265,236.48898,239.27884,249.62598,223.76999,245.54611,288.7993,253.64719,267.8749
NSW-Canberra,665.46924,608.8012,533.71387,650.5861,602.39105,585.69135,635.76794,622.4328,601.1134,640.7745,616.2437,590.6524
NSW-Capital Country,432.96304,223.06303,297.71588,281.0993,262.94504,240.20096,283.83292,250.79454,324.42722,359.39294,250.45667,315.15808
NSW-Central Coast,854.5141,296.00598,308.4714,360.36215,264.9486,235.8575,247.33966,218.15236,300.54135,372.01147,287.47076,383.10977
NSW-Central NSW,840.51587,602.7082,635.61707,947.1788,642.83295,806.38696,614.88983,664.99,696.54346,844.9165,632.3041,721.2674
NSW-Hunter,1331.581,768.54175,840.0972,1020.4681,770.6274,721.0233,907.02295,801.82806,798.1134,918.2669,882.60065,911.31055
NSW-New England North West,523.9203,283.0767,336.72043,401.10754,377.01477,326.48816,409.05304,403.1875,369.62915,511.9738,350.42633,403.95294
