,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,43151.16015625,42381.890625,42380.37109375,42652.2890625,41730.9296875
1,36692.8671875,36099.546875,36225.45703125,34736.55859375,36168.0703125
2,33256.171875,33120.8984375,31396.48046875,33455.94921875,32535.458984375
3,30558.3984375,29132.095703125,28076.876953125,28960.771484375,30468.341796875
4,26740.859375,28677.826171875,25228.94140625,26570.615234375,26507.697265625
5,25510.55859375,25092.880859375,23594.080078125,24225.5859375,24875.2109375
6,25621.703125,23755.138671875,22998.029296875,22548.693359375,24253.33203125
7,23844.94140625,22253.6953125,21007.642578125,24409.109375,21795.8828125
8,23161.759765625,19543.296875,22933.533203125,21701.462890625,19971.48046875
9,23514.55078125,20301.638671875,22274.4140625,21198.9296875,17030.994140625
10,22445.626953125,17941.578125,20961.0703125,17595.095703125,21426.48046875
11,27063.388671875,18357.21484375,19416.62109375,19774.3515625,19800.625
12,20745.76953125,21177.603515625,16639.083984375,19270.21484375,19998.966796875
13,20369.50390625,17281.931640625,18008.234375,16708.708984375,17282.419921875
14,20511.021484375,18182.560546875,19529.775390625,20724.56640625,16498.974609375
15,17984.416015625,19111.390625,16673.28515625,17787.5078125,14867.2314453125
16,17228.892578125,17847.44921875,16665.3984375,18745.77734375,15758.603515625
17,18405.3515625,14601.7978515625,19230.421875,20003.865234375,18474.287109375
18,17424.80859375,16776.01953125,16090.6943359375,18150.794921875,17140.8203125
19,19406.62109375,15589.4521484375,16810.078125,20391.982421875,15764.6650390625
20,19181.353515625,18429.92578125,16841.345703125,18861.314453125,15429.619140625
21,19850.76171875,16865.654296875,15812.4814453125,18017.568359375,14157.2734375
22,17335.42578125,15542.373046875,14708.890625,17353.1953125,16143.6240234375
23,15339.759765625,14387.7939453125,14653.134765625,16678.654296875,15340.017578125
24,15299.8310546875,15726.615234375,14768.3017578125,16119.0859375,13770.7158203125
25,15659.134765625,16805.068359375,14855.0947265625,15567.1015625,15737.099609375
26,15041.73046875,15966.3212890625,16307.45703125,15461.2724609375,14105.544921875
27,12611.884765625,17063.28125,15150.0869140625,14731.8408203125,14088.22265625
28,13447.2158203125,15999.97265625,14230.7099609375,15280.24609375,15291.9423828125
29,13785.98828125,18329.791015625,14371.7060546875,15413.5263671875,15441.853515625
30,15386.7138671875,17241.951171875,13699.873046875,15560.642578125,16529.904296875
31,18451.384765625,17129.935546875,14964.478515625,16425.95703125,17228.072265625
32,17564.39453125,15323.5234375,13941.9091796875,15916.9189453125,15510.5869140625
33,16410.21875,15812.7998046875,14412.4072265625,13790.0341796875,14545.9990234375
34,14730.4482421875,15019.8525390625,16122.4892578125,13327.720703125,14519.22265625
35,15590.3818359375,15851.9462890625,17138.66796875,13437.294921875,13459.998046875
36,14121.0234375,13936.888671875,16236.505859375,15594.8515625,14024.2353515625
37,14559.06640625,14912.3740234375,13994.1806640625,14499.884765625,13608.55078125
38,15792.26953125,16754.005859375,14221.478515625,14906.435546875,14362.60546875
39,14087.5361328125,15307.8603515625,16111.423828125,15678.5927734375,19140.078125
