,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,52610.508,24878.338,27976.389,33408.664,26034.553,26005.242,31491.217,28218.174,29962.344,34028.32,28639.58,28647.654
NSW,17697.508,7790.4834,8747.361,10948.404,8061.203,7626.803,9287.464,7970.134,8666.4375,10389.663,8803.15,9228.6045
NT,560.4793,404.74756,470.43814,593.5133,701.26245,887.24036,1181.0374,1227.4106,903.4701,982.4779,608.7727,495.74048
QLD,11329.777,5659.488,5917.195,7536.73,6363.33,6654.278,8618.326,8383.347,9006.114,9018.084,7117.6904,6989.3047
SA,3492.615,1594.2142,1846.0768,2209.2942,1742.936,1594.7494,1925.7145,1577.4424,1750.2338,2313.503,1863.199,1815.9381
TAS,2069.5938,1097.8114,1167.514,1168.9546,763.6142,733.4326,727.28235,545.0697,665.9365,855.1541,879.6373,867.8759
VIC,11807.088,5441.759,6382.641,6890.3594,5430.8813,5207.6143,5927.597,5075.6104,5238.671,6133.8965,6003.1733,5950.4883
WA,5653.4453,2889.841,3445.166,4061.4092,2971.3286,3301.127,3823.7974,3439.1594,3731.4795,4335.5405,3363.9517,3299.698
NSW-Blue Mountains,355.7976,166.53532,198.42807,313.5413,227.40025,224.49844,273.3815,175.47638,187.37933,274.74207,199.53052,180.90367
NSW-Canberra,805.4778,518.3099,599.47235,666.4987,561.3686,504.93512,691.9765,526.7448,599.159,721.7156,532.2477,565.1794
NSW-Capital Country,421.2966,194.78723,252.68951,342.12665,235.67236,205.83049,232.1713,186.82312,230.61964,302.96155,289.5402,241.35388
NSW-Central Coast,919.365,306.01694,288.64612,383.6443,233.41182,226.738,244.2076,202.94073,234.58522,314.76108,257.80872,387.477
NSW-Central NSW,961.095,485.18982,555.0352,822.65063,527.0835,553.2033,634.6055,492.6796,567.3128,847.5026,682.0006,564.8794
NSW-Hunter,1677.2373,706.70624,831.91895,1090.7795,716.88477,661.26605,780.13464,702.4787,733.847,865.51306,781.5845,874.92615
NSW-New England North West,623.4567,278.97037,364.35678,441.61438,327.55112,342.62595,369.46985,362.2962,340.61957,430.08365,345.27774,305.00247
NSW-North Coast NSW,3959.5815,1431.7502,1519.4587,1970.986,1331.4069,1238.3738,1546.2098,1355.1406,1524.6299,1906.2288,1584.7064,1637.7299
NSW-Outback NSW,162.70755,91.87681,100.77988,180.31143,166.59265,127.03681,195.63956,165.69005,277.2722,204.70264,164.40068,278.62985
NSW-Riverina,362.4825,187.37576,240.53156,372.8902,249.69112,208.69939,241.2922,187.09354,222.77689,303.99338,206.83673,247.44864
NSW-Snowy Mountains,368.36053,172.22704,178.84276,234.51648,123.84396,161.60506,542.8949,488.40924,352.247,218.88766,174.06723,191.0419
NSW-South Coast,3054.545,924.51337,1005.2156,1317.3143,814.7277,701.5304,780.17535,671.0077,695.271,1037.7837,864.90576,1013.1524
NSW-Sydney,3553.194,2135.534,2374.6338,2500.2961,2323.8606,2268.7896,2556.459,2270.4758,2426.3845,2714.473,2471.1433,2437.4346
NSW-The Murray,472.91052,190.69044,237.35173,311.23398,221.70819,201.67102,198.8468,182.87675,274.3341,246.31409,249.09941,303.4457
NT-Alice Springs,79.175186,78.05633,47.98308,89.89749,71.43286,105.12454,133.13512,112.02599,117.76202,171.50287,109.162415,53.985188
NT-Barkly,22.13847,11.008812,11.584917,21.965656,19.050484,20.108543,30.219414,36.613453,33.281376,27.035591,18.042412,13.773788
NT-Darwin,204.28725,166.4753,223.02998,226.07326,298.51422,390.39066,544.5496,639.7999,392.41974,435.15338,232.32564,250.61293
NT-Katherine Daly,111.289635,46.605267,69.68493,94.12723,118.828575,150.5647,180.94568,158.28636,137.4971,133.35759,100.84898,75.45277
NT-Lasseter,47.491676,28.929237,30.74652,54.509277,62.65507,76.1135,101.0879,73.41255,66.61623,80.00186,37.250988,22.149834
NT-Litchfield Kakadu Arnhem,56.027016,46.55741,62.172035,79.57917,96.79697,107.39457,140.87038,166.22614,110.852875,95.89772,87.62999,56.38349
NT-MacDonnell,40.070095,27.11522,25.23666,27.361237,33.984257,37.543835,50.22922,41.04608,45.040756,39.528927,23.51225,23.3825
QLD-Brisbane,2865.6091,1575.9004,1612.1332,1976.3586,1734.045,1685.3845,2029.2034,1841.5118,1998.1511,2068.9102,1884.4999,1824.5345
QLD-Bundaberg,289.06763,101.07628,114.55896,179.84741,156.57538,129.11162,184.87262,205.30795,231.81328,164.94534,187.1543,172.75317
QLD-Capricorn,369.1801,210.98813,222.92976,346.55994,261.91214,317.8609,390.78207,391.28143,401.74106,382.9725,275.57397,271.4477
QLD-Fraser Coast,425.1302,104.8365,128.8631,232.28839,142.41393,171.94371,238.1677,280.80212,295.5291,279.03888,196.39172,213.47891
QLD-Gladstone,197.92204,159.84038,162.14975,169.5431,157.64108,156.33362,156.94928,152.59378,156.33249,165.95349,162.71019,161.79521
QLD-Gold Coast,2032.619,949.2101,951.5717,1176.3658,855.84784,918.7027,1187.1808,1148.8181,1359.8881,1409.2832,1274.4742,1022.70087
QLD-Mackay,390.11084,243.02919,243.85115,281.60754,297.32556,327.19083,406.9558,362.379,323.96594,371.55966,268.66473,267.49017
QLD-Outback Queensland,360.02173,339.94266,247.32166,369.6698,369.5697,353.85922,472.99188,474.48615,538.71643,405.26675,298.1453,325.73236
QLD-Southern Queensland Country,602.21326,341.072,451.99445,526.66437,405.47333,474.55786,558.44666,466.6981,493.54694,540.86304,413.15714,502.88907
QLD-Sunshine Coast,2252.7935,820.138,830.77374,1046.615,786.27936,779.763,1080.3735,1075.1661,1258.1289,1341.4958,974.9708,1050.3112
QLD-Townsville,412.59448,196.4249,279.0052,336.23706,311.43994,319.40506,511.1032,535.0706,466.04663,387.59628,263.41104,273.25568
QLD-Tropical North Queensland,811.94696,477.20773,473.93137,630.2076,685.65204,816.21106,1125.2885,1166.8473,1146.9208,1134.2275,686.3341,544.40643
QLD-Whitsundays,320.56772,139.8215,198.11034,264.76477,199.15506,203.95355,276.01175,282.38416,335.3343,365.97116,232.2025,358.50922
SA-Adelaide,1202.7587,643.08856,776.5847,798.5583,699.85425,633.0968,758.091,662.43134,705.2156,804.9667,731.3851,875.86316
SA-Adelaide Hills,62.284027,45.893658,48.11977,50.946,45.58149,44.798378,45.790455,43.77519,45.403378,49.139874,47.790165,47.362457
SA-Barossa,72.451355,25.83416,38.051254,56.570564,39.723656,39.759033,45.201344,26.218391,36.77532,53.780087,54.069656,38.774685
SA-Clare Valley,58.21289,21.410582,47.976303,34.990658,39.699596,24.88832,35.60073,23.421616,27.909996,37.903328,42.814728,25.568985
