,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,52138.61,25566.926,29340.244,35098.39,27511.682,27748.59,34222.453,29727.14,31704.834,36184.285,30549.775,30319.436
NSW,17427.748,7943.734,9064.813,11318.185,8436.524,8083.0127,9975.402,8370.667,9049.35,10857.961,9240.804,9586.953
NT,552.02246,451.62616,554.5256,716.7585,795.9084,997.8818,1365.5627,1329.1444,1020.284,1130.6986,736.44714,609.5572
QLD,11060.384,5827.5195,6229.4644,7869.2344,6732.307,7082.12,9238.939,8742.012,9368.423,9444.988,7546.756,7335.65
SA,3510.3257,1673.5474,1992.3491,2412.0825,1890.0664,1767.5239,2207.1794,1726.1195,1958.7684,2577.1057,2071.3335,2017.483
TAS,2077.0225,1148.7207,1264.4038,1278.5273,853.1751,832.26514,881.534,625.82874,772.7228,991.51807,1000.2112,977.39154
VIC,11878.985,5581.6885,6681.5815,7322.5557,5725.7983,5568.5894,6537.983,5397.476,5690.582,6700.7314,6446.349,6378.7363
WA,5632.122,2940.084,3553.1094,4181.041,3077.9048,3417.1968,4015.857,3535.895,3844.7002,4481.279,3507.874,3413.661
NSW-Blue Mountains,346.3437,178.7072,224.91176,345.64606,256.0476,258.5246,326.02518,205.3197,217.84816,313.11707,234.881,210.11504
NSW-Canberra,789.8377,528.60205,622.6708,694.89856,588.11456,537.30896,742.1335,555.3773,627.19385,756.7632,564.3941,591.8741
NSW-Capital Country,407.66827,206.37787,278.41885,372.52393,263.73618,238.99532,283.61206,215.6586,259.4801,339.31046,323.99106,269.70023
NSW-Central Coast,910.11444,318.12598,314.46555,415.33844,261.37384,260.03314,295.71967,232.33214,264.77237,352.63913,292.45816,416.50888
NSW-Central NSW,939.32074,494.93588,576.84937,848.0001,552.3994,584.2304,682.49255,519.9395,594.4199,880.03156,711.8894,589.8471
NSW-Hunter,1651.3859,717.3766,851.9052,1112.2178,742.4715,693.8608,826.9608,731.24365,758.937,894.9671,810.0154,897.5989
NSW-New England North West,605.42975,288.99146,387.15573,468.39337,353.5184,373.79727,418.51163,390.16473,368.3709,463.85422,376.80084,330.95166
NSW-North Coast NSW,3930.6248,1441.3455,1537.5675,1990.9396,1355.8549,1270.2329,1592.5822,1383.7947,1549.0435,1934.6332,1611.5391,1659.2131
NSW-Outback NSW,150.47292,105.52579,126.90754,211.07458,195.80157,161.54674,247.26028,195.44238,306.5433,241.32275,198.83926,307.09137
NSW-Riverina,347.15952,198.49484,263.86673,400.52316,277.16782,241.55434,290.56674,215.5209,250.41437,338.19693,238.73352,273.63055
NSW-Snowy Mountains,351.07306,184.92899,203.00246,262.42725,152.5705,195.27039,592.6191,517.0961,379.78464,253.63255,206.25092,217.50284
NSW-South Coast,3023.6558,933.3567,1024.5007,1338.2888,840.0978,732.314,826.4082,698.0515,720.11395,1066.6692,892.84174,1035.0822
NSW-Sydney,3517.2156,2143.223,2390.6196,2517.3953,2346.6433,2299.272,2600.9553,2298.0137,2449.018,2740.3015,2495.9236,2456.863
NSW-The Murray,457.4466,203.7426,261.9713,340.51718,250.72748,236.07155,249.55502,212.71239,303.41003,282.52243,282.24567,330.9748
NT-Alice Springs,75.36144,84.16777,58.843945,105.484695,84.09389,119.808,158.4262,125.550354,133.50932,190.84166,126.113075,69.51684
NT-Barkly,25.83178,18.637976,24.758137,41.989292,32.709282,35.952755,57.079697,51.32479,50.31301,50.202652,37.787804,29.944138
NT-Darwin,196.1083,172.03969,232.3656,240.51979,311.40198,405.63342,569.3774,653.86554,407.68735,453.73477,248.05673,265.24756
NT-Katherine Daly,113.716156,53.57384,83.33222,113.54651,132.64171,166.96262,208.0375,173.0841,154.36168,155.84048,120.544044,92.00712
NT-Lasseter,48.326973,35.68682,43.693726,73.15162,76.19197,91.94871,127.21856,87.20157,83.271706,101.789825,56.32662,39.414627
NT-Litchfield Kakadu Arnhem,54.46051,52.866524,73.95118,97.44348,110.35484,123.05945,167.92879,181.20271,128.42264,117.44256,105.88974,73.54463
NT-MacDonnell,38.2173,34.653545,37.58074,44.623085,48.51472,54.51681,77.49457,56.91527,62.718334,60.84683,41.72914,39.88235
QLD-Brisbane,2841.0251,1587.6409,1633.6704,1998.8363,1761.643,1718.1282,2076.273,1869.155,2024.8921,2099.5496,1915.8853,1849.2445
QLD-Bundaberg,272.58096,114.427986,141.67105,209.29895,186.26404,162.56792,235.231,233.25916,261.75018,200.77814,222.67848,202.1052
QLD-Capricorn,348.20532,223.52948,245.22054,370.04245,289.66376,350.44345,436.94135,418.4089,428.63495,414.53897,307.0743,296.34097
QLD-Fraser Coast,405.69122,118.39506,153.24382,259.07053,171.38435,204.28726,285.50467,307.6853,324.14838,313.3325,230.0364,240.7917
QLD-Gladstone,182.48827,173.62112,189.57271,199.51271,186.63933,189.66498,206.50557,179.74162,185.77318,201.86737,198.68599,191.54436
QLD-Gold Coast,2008.7067,962.5455,972.96936,1198.763,882.43585,951.13824,1232.632,1176.2058,1386.6364,1439.7245,1304.5286,1047.3429
QLD-Mackay,367.417,255.91992,267.02002,305.90753,325.6775,360.7485,454.34274,390.63263,351.01465,403.18784,300.7544,293.47928
QLD-Outback Queensland,339.93768,353.03235,271.2859,394.80032,397.49747,387.00104,520.4804,502.50693,565.8309,437.33652,330.50748,351.49155
QLD-Southern Queensland Country,582.1142,354.8868,476.87625,553.25195,435.27203,508.1202,606.9721,494.6659,522.5508,574.8253,447.42566,531.20374
QLD-Sunshine Coast,2228.4475,832.1393,854.0705,1072.0299,814.27313,811.95636,1127.9177,1102.4397,1285.188,1374.2585,1007.40173,1076.1788
QLD-Townsville,395.55603,208.57988,304.43082,363.7507,339.76306,351.52487,559.5704,561.73303,494.53662,421.5777,297.97653,301.18173
QLD-Tropical North Queensland,784.7195,488.17575,495.80817,652.3236,712.91046,848.1696,1171.7467,1194.5181,1173.2152,1164.0917,717.27997,568.32227
QLD-Whitsundays,303.4939,154.62572,223.62498,291.6467,228.8832,238.36969,324.82092,311.05978,364.25076,399.91995,266.52164,386.42273
SA-Adelaide,1191.8136,646.3632,783.9172,809.4187,709.4015,644.7,778.30115,673.1947,719.49646,821.97205,743.7553,888.26
SA-Adelaide Hills,60.72263,52.74841,58.860294,65.92303,57.76874,58.803604,67.59092,55.390606,60.94458,68.80418,63.84731,62.373802
SA-Barossa,76.5511,32.325737,50.161327,74.38582,51.716587,54.066902,68.77487,38.465088,54.2174,76.04004,71.69119,56.037067
SA-Clare Valley,58.96412,28.534506,59.412823,51.8317,52.313572,39.132214,58.33441,35.50622,44.923904,59.551624,59.776863,42.57832
SA-Eyre Peninsula,219.63312,113.18023,162.08124,187.4014,150.71524,109.17219,171.19179,149.30634,128.89052,195.04434,137.49977,120.6773
SA-Fleurieu Peninsula,488.27048,171.03973,168.09622,216.93697,137.32892,133.28357,165.10812,99.598404,117.99814,195.10912,155.55276,168.0685
SA-Flinders Ranges and Outback,211.95035,213.82944,170.4994,298.5817,246.03587,269.12268,390.89932,312.9499,405.6711,514.4056,320.66214,173.03629
SA-Kangaroo Island,108.55211,43.24782,54.86457,72.48226,48.191013,33.96601,52.659657,37.223442,42.243805,69.26566,52.07454,53.57336
SA-Limestone Coast,329.29352,150.11168,164.21034,192.09013,144.09328,137.9679,135.50804,99.644714,110.50249,167.84108,144.36787,137.92273
"SA-Murray River, Lakes and Coorong",160.28525,51.127617,84.53782,92.479904,79.88931,65.217514,73.30057,63.912807,77.48351,105.66604,86.64802,71.05772
SA-Riverland,217.62749,62.51318,96.62086,154.5066,96.39223,102.66226,107.42019,80.01487,98.91001,135.83006,109.42499,90.302376
SA-Yorke Peninsula,386.66202,108.52576,139.08708,196.04427,116.22006,119.42908,138.0904,80.91219,97.48662,167.57599,126.03279,153.59572
TAS-East Coast,442.6754,170.58919,190.28667,245.4943,97.8832,129.20108,91.25626,72.061615,123.72299,121.49181,136.65979,151.3993
TAS-Hobart and the South,786.84735,476.63074,510.9647,485.3827,368.1721,347.98334,398.9757,275.3957,328.01813,418.3036,393.84146,389.764
TAS-Launceston and the North,367.32422,228.83563,259.28293,224.93385,163.10393,156.30919,170.81052,141.58693,129.50589,191.0015,202.58493,180.92621
TAS-North West,393.02768,210.01765,223.39879,245.30003,166.4533,151.53458,165.24121,105.60977,146.44934,190.60599,198.51631,196.3919
TAS-West Coast,87.14772,62.647465,80.47071,77.41652,57.562534,47.236946,55.25028,31.174707,45.026432,70.11521,68.608734,58.91011
VIC-Ballarat,225.82938,124.12971,168.2931,181.39622,144.6413,154.61987,161.69298,133.06795,152.73622,185.6286,166.2327,153.5843
VIC-Bendigo Loddon,402.9923,204.92303,252.34169,316.92368,188.20265,264.75043,242.17561,200.33548,213.21632,260.4958,231.99799,216.09644
VIC-Central Highlands,161.64958,63.196392,266.66992,155.46187,80.0266,78.00615,97.424194,73.84543,86.74758,118.54495,116.31817,92.21858
VIC-Central Murray,435.25693,170.58536,206.99072,262.9044,161.95087,166.08841,180.69492,132.65271,194.69405,208.19879,192.43175,191.07071
VIC-Geelong and the Bellarine,824.3833,287.39838,319.1511,342.96997,266.10724,245.12492,280.01822,225.51997,253.5021,294.39606,314.2312,312.55377
VIC-Gippsland,564.40045,249.69504,308.40088,327.87262,252.3173,216.88268,232.78902,177.89938,226.66216,298.57483,268.75543,286.86725
VIC-Goulburn,249.99852,153.38882,213.00658,223.7609,170.26276,170.33934,193.41342,146.9476,167.97891,188.50151,190.55432,192.78226
VIC-Great Ocean Road,1469.8212,514.9139,606.98096,624.14136,421.76456,392.11627,441.92914,347.4662,411.7479,501.14096,487.1997,556.67053
VIC-High Country,714.4191,312.1172,402.0645,532.5284,426.56177,371.3613,593.4352,562.2554,481.2553,412.29053,455.93082,398.96527
VIC-Lakes,516.3486,182.54282,236.20961,271.4331,171.86542,137.52118,154.8279,120.32207,161.46082,201.83415,204.78851,151.14687
VIC-Macedon,131.88179,69.44965,87.14067,99.37443,84.80195,78.28311,92.98432,70.405426,84.40602,99.005005,102.96587,95.872475
VIC-Mallee,304.1285,120.91355,167.30742,259.28564,196.48329,172.19409,200.6395,185.15762,194.07938,264.40863,193.24678,190.34222
VIC-Melbourne,3112.4453,2048.6438,2237.4873,2350.391,2187.6057,2178.3423,2470.9502,2205.4478,2122.9446,2462.2449,2366.9612,2307.0386
VIC-Melbourne East,224.17932,170.12617,179.02574,187.30354,164.54156,140.99823,156.34421,109.47845,162.67973,194.27234,139.73067,184.51886
VIC-Murray East,66.471725,48.210796,57.090744,67.79318,54.535732,56.613213,69.221245,52.087967,59.94871,71.749435,63.61922,61.84611
VIC-Peninsula,1334.5779,403.44165,386.82687,406.2383,289.6921,291.45917,279.817,247.93846,260.29794,323.28998,340.5729,402.38498
VIC-Phillip Island,621.6185,175.75429,196.04602,217.855,125.61513,116.87422,288.4258,100.57249,128.42947,197.09375,185.61354,180.87268
VIC-Spa Country,135.96156,71.687195,114.36492,143.87334,88.29118,92.93955,118.74608,78.61229,81.35365,108.69433,113.373436,106.120575
VIC-Upper Yarra,160.37038,48.30394,83.551186,101.28231,60.782642,64.84179,71.39873,45.033806,61.58457,81.14412,86.30854,68.20822
VIC-Western Grampians,117.38921,79.17273,100.49593,146.73558,100.915184,88.59682,108.494865,96.30775,89.88737,123.02489,127.055595,132.4707
VIC-Wimmera,104.86094,83.094894,92.13592,103.03068,88.833664,90.63744,102.56044,86.12186,94.96913,106.197525,98.46111,97.104744
WA-Australia's Coral Coast,474.433,258.17188,275.6068,436.01645,324.4594,370.23215,555.0198,507.1745,636.56793,581.36316,338.09317,317.08347
WA-Australia's Golden Outback,482.59857,233.75342,376.67935,371.59497,265.0361,317.96075,368.18884,321.63962,416.54297,459.96152,420.73074,293.8015
WA-Australia's North West,641.0428,635.60016,667.20984,741.69135,737.2568,804.5201,1076.3176,1048.2844,966.2829,978.18634,787.01245,683.52484
WA-Australia's South West,1801.7872,676.99146,813.4787,1130.3873,568.2636,697.897,659.6549,534.82526,539.42236,871.1522,719.1538,837.9913
WA-Destination Perth,2232.2603,1135.567,1420.1349,1501.3508,1182.8888,1226.587,1356.6758,1123.9711,1285.884,1590.6158,1242.8839,1281.2598
