,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,52029.844,25533.043,29140.725,35033.9,27358.236,27715.123,34236.773,29680.033,31810.006,36223.797,30556.18,30187.406
NSW,17388.725,7936.101,9018.14,11302.721,8401.979,8077.716,9979.046,8365.752,9073.523,10860.433,9240.381,9556.97
NT,542.7319,448.412,537.94556,712.6239,781.72235,993.99915,1364.7317,1323.4396,1025.7699,1133.4532,735.86005,598.71155
QLD,11049.098,5830.31,6202.558,7869.769,6712.7915,7087.0176,9257.071,8742.552,9401.945,9465.674,7560.3594,7319.1846
SA,3500.212,1666.6675,1963.5221,2400.3604,1866.4495,1759.3645,2201.088,1712.3899,1967.0898,2580.0137,2069.0146,1999.0657
TAS,2082.3938,1148.2197,1255.3566,1276.6499,845.5276,829.8416,881.2321,622.1237,780.2666,996.02136,1001.65356,971.77124
VIC,11838.584,5563.922,6621.183,7295.4136,5679.121,5550.3335,6533.075,5377.849,5708.0605,6702.868,6438.094,6335.8013
WA,5628.105,2939.4102,3542.015,4176.362,3070.6504,3416.855,4020.5295,3535.9292,3853.351,4485.329,3510.817,3405.9038
NSW-Blue Mountains,340.49197,176.78746,219.51556,341.26852,251.71878,256.31226,324.00348,203.63724,217.60327,310.46768,232.45506,205.77325
NSW-Canberra,785.317,528.2168,619.4944,693.1534,585.8564,536.95905,742.4349,555.2291,628.79877,756.26447,564.5415,589.4116
NSW-Capital Country,401.39676,204.64229,273.13565,368.96402,259.20636,236.77586,280.97598,213.85115,259.8365,337.20404,321.73193,265.9303
NSW-Central Coast,902.79785,315.5174,307.94858,409.99408,255.96678,256.34332,291.2606,228.70395,263.07108,348.57062,288.5695,411.4161
NSW-Central NSW,939.0983,495.1187,574.50964,848.01996,550.7134,584.65405,683.7183,520.2269,596.79846,881.36273,712.9093,588.58826
NSW-Hunter,1651.8676,717.8558,850.5458,1113.9535,741.6661,695.224,829.8221,732.20496,762.3311,897.69183,811.9934,897.1348
NSW-New England North West,601.47235,288.401,383.29657,467.2789,350.8761,373.34848,418.01907,389.30084,369.88748,463.87784,376.48245,328.82642
NSW-North Coast NSW,3929.5908,1442.6307,1537.241,1993.3208,1356.46,1272.5447,1596.567,1385.3286,1552.2778,1937.6647,1615.1879,1659.3231
NSW-Outback NSW,143.12799,103.320274,120.933,206.61107,191.32205,159.38312,244.22038,193.40868,305.8796,238.08026,196.21289,302.4158
NSW-Riverina,342.75626,197.16241,258.89883,397.81152,273.55908,240.0865,289.97562,214.69592,251.28365,336.9735,237.09479,270.13602
NSW-Snowy Mountains,345.6554,183.37627,198.07607,259.75574,149.01677,194.21248,592.28644,516.7678,381.40668,252.93224,204.87419,214.40126
NSW-South Coast,3028.1284,935.0166,1024.2839,1341.1835,839.6088,733.7806,829.5262,699.6057,724.7873,1070.8717,895.8437,1036.1605
NSW-Sydney,3524.6768,2146.0935,2393.5828,2524.5115,2349.5518,2304.3665,2609.1206,2302.28,2456.0862,2748.1418,2502.4033,2460.2097
NSW-The Murray,452.34937,201.96135,256.67633,336.8946,246.45564,233.72469,247.11537,210.51195,303.47577,280.32913,280.08078,327.24216
NT-Alice Springs,72.83191,82.89778,54.857323,103.6391,80.901794,118.335434,157.26994,124.27586,134.0631,190.36816,124.61791,67.18308
NT-Barkly,24.53961,17.561901,21.33904,40.98377,29.835659,34.804176,56.06083,49.97529,50.596992,50.347027,36.785564,28.156898
NT-Darwin,199.69206,174.28574,234.91913,245.07265,312.9234,408.74655,574.4217,656.18427,411.3409,458.1226,252.47412,266.9248
NT-Katherine Daly,110.36274,52.388775,79.99494,111.75154,130.23824,165.75882,207.45624,172.03537,154.42914,155.21097,119.716866,89.536896
NT-Lasseter,45.820957,34.63048,40.49294,71.3384,73.542564,90.70306,126.240746,85.82295,83.43959,101.149315,55.517517,37.090748
NT-Litchfield Kakadu Arnhem,53.818527,53.265045,72.51057,96.884705,108.86942,122.67515,167.39412,180.24261,129.177,117.74135,106.25841,72.044174
NT-MacDonnell,35.66608,33.382267,33.831642,42.9538,45.41124,52.97586,75.88809,54.903156,62.72324,60.513893,40.489647,37.774963
QLD-Brisbane,2844.0098,1589.8607,1634.9568,2002.2021,1762.417,1720.6096,2080.3555,1870.5138,2028.652,2103.3967,1919.875,1849.9619
QLD-Bundaberg,269.1186,112.55303,136.4218,206.05923,182.00134,160.43378,233.37277,231.61018,262.501,199.6748,220.84007,198.60475
QLD-Capricorn,350.2211,224.72128,244.65973,372.45566,289.2428,351.72202,440.2808,419.59113,432.4042,417.86295,309.82138,296.73773
QLD-Fraser Coast,403.06738,117.6734,149.82864,257.38754,168.71075,203.39723,284.98874,306.7932,325.2299,312.92273,229.46622,238.28047
QLD-Gladstone,176.0398,171.25174,183.24403,194.59712,181.76144,186.54852,202.9377,176.85101,185.67763,199.56598,195.56421,186.95985
QLD-Gold Coast,2005.0933,962.3605,970.2345,1197.9974,880.41724,951.4783,1234.0223,1176.2474,1389.1404,1441.2034,1305.2062,1045.7717
QLD-Mackay,368.23312,257.27216,266.58267,307.84247,325.55374,362.57635,457.80438,392.0304,355.255,406.77747,303.8325,293.55856
QLD-Outback Queensland,338.00085,353.99124,269.6886,395.52063,397.01907,388.37152,522.9117,503.1009,569.58264,440.014,332.50977,351.17715
QLD-Southern Queensland Country,583.62854,355.1808,475.27222,554.411,434.18103,508.99054,609.7025,495.76596,526.0488,577.24725,448.6444,530.2069
QLD-Sunshine Coast,2226.6047,832.5144,852.659,1072.4899,813.86316,813.33795,1130.449,1102.8964,1287.6135,1375.8889,1009.2237,1075.2828
QLD-Townsville,397.60696,209.22845,302.69308,363.8006,338.08737,351.62234,560.4681,561.5174,497.43765,423.65103,299.1429,300.3343
QLD-Tropical North Queensland,789.76337,491.35083,498.4395,657.8321,715.44806,852.43713,1178.2423,1197.6125,1178.7963,1170.2762,722.6675,570.6806
QLD-Whitsundays,297.71033,152.35217,217.87704,287.17313,224.08772,235.49207,321.53546,308.02072,363.6066,397.19278,263.56525,381.62744
SA-Adelaide,1198.9741,648.8248,786.76776,814.27466,711.47424,648.1911,783.6744,675.5701,724.3384,828.19806,748.72473,891.0134
SA-Adelaide Hills,58.704384,51.670483,55.69683,63.695816,55.00534,57.619114,66.438446,54.300083,61.634754,68.72057,62.650127,60.18289
SA-Barossa,75.06312,31.349545,47.409885,72.93514,49.485893,53.030876,67.336174,36.65756,54.51594,75.58134,71.10431,54.172115
SA-Clare Valley,54.98887,27.44959,55.52446,48.116783,49.086143,37.31883,55.888,33.35736,44.44333,57.37665,57.937973,39.251133
SA-Eyre Peninsula,219.05466,112.290344,159.11647,186.6013,148.6434,108.24081,170.7879,148.22543,129.9238,195.69632,137.10635,119.23577
SA-Fleurieu Peninsula,488.25296,170.46333,165.55864,215.92638,135.16101,132.35254,164.33253,98.38781,118.643326,195.20992,155.29218,166.50699
SA-Flinders Ranges and Outback,215.5435,215.68677,171.5507,301.83038,246.99043,271.22128,394.13748,314.01233,408.6963,517.8312,324.09256,174.38004
SA-Kangaroo Island,104.614815,41.31803,50.363277,69.42111,44.93686,31.917381,50.468937,34.93772,41.34434,67.68796,50.015438,50.17775
SA-Limestone Coast,328.03076,149.45692,161.61072,190.80238,141.83614,137.08752,134.50731,98.28148,111.19879,167.64651,144.03065,136.38533
"SA-Murray River, Lakes and Coorong",160.75409,50.265553,82.07623,92.088196,77.81611,64.35231,72.56456,62.078224,77.77456,106.05788,86.29445,69.69297
SA-Riverland,214.07495,61.303,92.967995,151.94533,93.43503,101.142235,105.53138,78.1145,98.24082,134.57288,108.08183,87.691154
SA-Yorke Peninsula,382.1558,106.58922,134.879,192.72296,112.578575,116.89044,135.42055,78.467224,96.335396,165.43402,123.68409,150.37616
TAS-East Coast,442.32123,169.56453,187.45277,243.90514,95.53266,127.65857,90.286476,70.55017,124.913216,121.75179,135.88487,149.47624
