,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,49740.94,24544.898,27078.396,32988.34,26041.184,26165.227,31721.328,27944.88,29633.65,33535.81,28702.275,28115.473
NSW,16876.354,7705.006,8488.433,10832.841,8073.71,7683.414,9354.743,7897.3774,8571.187,10251.076,8824.372,9078.113
NT,473.0953,396.0479,446.71426,588.0451,702.4643,892.8071,1194.4001,1216.7017,896.7141,975.1534,617.4058,482.87097
QLD,10583.23,5585.302,5676.345,7422.5103,6375.249,6709.3066,8675.938,8321.492,8916.072,8882.921,7132.442,6846.1636
SA,3278.5562,1575.572,1784.2988,2189.5068,1751.1616,1613.2014,1955.054,1554.7489,1734.6915,2290.8062,1879.181,1786.3425
TAS,1932.7855,1080.1378,1126.9991,1149.1003,762.4469,738.72504,738.4158,531.2749,651.7299,832.3182,882.4579,843.96857
VIC,11122.116,5346.728,6168.7124,6790.004,5420.4614,5233.305,5978.8057,5003.276,5158.239,6013.5796,6015.2896,5821.478
WA,5474.8022,2856.106,3386.893,4016.3306,2955.6948,3294.4653,3823.9727,3420.0083,3705.018,4289.9546,3351.1255,3256.538
NSW-Blue Mountains,306.1369,161.77745,183.42766,310.6834,230.08122,229.9157,281.16888,170.94121,182.95053,269.20325,204.99493,173.44107
NSW-Canberra,748.93866,512.0573,582.0143,660.2888,562.6583,509.1288,698.0001,521.41156,593.0565,713.28467,535.34674,555.442
NSW-Capital Country,366.48303,188.21758,235.84116,334.95908,236.13664,208.99084,237.01672,181.54077,224.62051,294.21945,291.35895,231.76462
NSW-Central Coast,872.5649,302.37036,274.96964,382.08405,236.80296,232.72406,252.7489,198.8919,231.16534,310.4376,264.21567,381.2409
NSW-Central NSW,902.41364,478.57416,536.7813,815.10486,527.77466,556.7448,639.79987,486.78503,560.6171,838.13104,684.0552,554.3959
NSW-Hunter,1611.4237,699.8295,809.42255,1077.6996,716.112,665.0923,782.5311,696.9697,724.407,851.466,779.8009,860.6511
NSW-New England North West,566.4149,272.49567,346.8895,434.00595,328.25,346.07495,374.48584,356.94278,334.44016,421.04153,347.099,295.06912
NSW-North Coast NSW,3891.604,1424.1763,1496.6274,1956.3987,1329.8462,1241.4655,1547.701,1349.8109,1514.9576,1891.0773,1581.7524,1622.9316
NSW-Outback NSW,111.92721,88.75158,85.94831,177.3394,170.54099,133.59537,203.65007,162.03262,273.1015,199.02979,170.04616,271.26346
NSW-Riverina,306.45712,181.14413,222.15793,364.68146,250.72751,212.53369,246.07843,181.72685,216.10416,294.21777,208.31195,236.85707
NSW-Snowy Mountains,311.07755,168.00745,161.40202,228.41565,126.823006,167.28406,549.2215,483.78122,346.3719,210.65236,177.4445,181.52328
NSW-South Coast,2985.4268,915.5543,983.20465,1303.2039,812.98834,702.7215,781.3859,664.3048,685.8783,1023.30066,861.8302,998.9428
NSW-Sydney,3477.4954,2125.5667,2348.9958,2483.0845,2320.733,2270.4023,2556.4116,2263.7239,2414.736,2696.8882,2466.255,2420.2842
NSW-The Murray,417.99057,186.48318,220.75069,304.8915,224.2351,206.74031,204.54259,178.51434,268.77887,238.12688,251.86029,294.3056
NT-Alice Springs,65.81197,77.099106,44.528637,88.43185,71.665825,106.00217,135.41818,110.64496,117.220314,169.98651,110.333466,52.43376
NT-Barkly,15.159396,10.4598,8.741741,24.03348,18.92466,20.609495,32.275803,34.685673,32.29906,28.152143,20.131126,11.997511
NT-Darwin,182.34047,163.36292,216.0561,220.31203,297.24426,389.9867,543.8617,637.4592,389.15616,429.86414,229.9982,245.7336
NT-Katherine Daly,101.046394,44.837646,67.16736,94.61771,118.80845,151.14723,183.01472,156.57968,136.53137,133.418,103.022934,73.77963
NT-Lasseter,38.221447,28.49254,28.863234,56.29743,64.18681,78.26582,104.77318,72.4477,66.56444,80.85232,40.81823,21.726828
NT-Litchfield Kakadu Arnhem,42.717434,45.318882,59.10933,78.02131,96.85625,107.98299,142.74606,164.87598,110.18416,94.44349,88.4717,54.984547
NT-MacDonnell,27.79822,26.477022,22.247892,26.33131,34.778038,38.81277,52.310535,40.008595,44.75861,38.436855,24.630203,22.21508
QLD-Brisbane,2802.2166,1567.6447,1589.5704,1962.0476,1732.2008,1687.3619,2030.3524,1835.1536,1988.2985,2053.93,1881.4437,1809.7688
QLD-Bundaberg,234.60968,94.5746,97.51459,172.09454,156.9142,132.07034,189.31682,199.86766,225.68143,155.87776,188.5204,162.9719
QLD-Capricorn,311.61328,205.04686,202.9245,336.56403,262.37558,322.14005,394.47906,386.18103,393.70218,371.3529,275.80637,259.14197
QLD-Fraser Coast,371.79056,101.306526,113.361176,226.92523,145.54651,177.57402,244.5503,277.11026,290.7029,271.63727,200.02722,205.09268
QLD-Gladstone,147.0613,155.10951,147.40901,164.65381,159.4642,160.68146,163.28845,148.27832,151.92322,159.23997,166.41118,154.06279
QLD-Gold Coast,1971.3207,944.217,931.4855,1164.9983,855.8593,923.32294,1190.2659,1144.4905,1351.9457,1396.8485,1273.7816,1010.2137
QLD-Mackay,328.97388,236.96185,223.52719,270.71674,297.39413,331.4275,410.20355,357.60907,315.66687,359.30756,268.24625,254.75052
QLD-Outback Queensland,301.06195,334.08463,227.84517,359.60098,369.99188,358.05728,476.54498,469.9058,531.03815,393.71906,298.21667,313.7589
QLD-Southern Queensland Country,543.96875,335.1841,433.3106,518.083,406.89236,478.75433,563.11316,461.6328,486.62396,530.63043,414.54398,491.93573
QLD-Sunshine Coast,2192.087,814.3184,812.1842,1038.9218,788.1772,784.62396,1085.8224,1070.6058,1251.3519,1331.52,977.3165,1039.436
QLD-Townsville,361.61258,191.12227,263.0166,331.42865,313.4488,324.23105,518.0779,530.4142,461.0354,380.37256,267.73236,264.70038
QLD-Tropical North Queensland,748.30206,468.92688,452.44156,616.9767,684.35345,818.3691,1127.0066,1161.1445,1137.8582,1120.1346,684.04584,530.58295
QLD-Whitsundays,268.61307,136.80461,181.75496,259.49896,202.63036,210.6928,282.91653,279.09906,330.2432,358.35098,236.35031,349.74762
SA-Adelaide,1170.9117,638.089,765.8859,790.4082,697.8705,632.3192,757.11694,658.56635,700.23785,797.4287,728.1206,868.6627
SA-Adelaide Hills,42.50554,46.231106,42.50554,49.803047,47.845703,48.256092,49.154064,42.50554,44.182655,47.40919,49.980427,44.966507
SA-Barossa,56.71519,24.35232,33.664146,55.50231,40.34081,41.14192,47.843468,24.455118,36.03033,52.45809,55.67093,37.05561
SA-Clare Valley,40.813637,21.238073,43.09842,33.161705,41.395706,27.226576,37.979168,22.14502,26.866182,36.10441,43.92002,23.431139
SA-Eyre Peninsula,198.4425,104.15682,143.73376,167.59612,138.37984,95.44629,148.70879,134.19368,108.8918,169.57068,120.45724,100.18386
