,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,50745.28,25297.8,28279.516,33577.13,26721.357,26797.041,32322.553,28889.016,30494.678,34381.324,29200.83,29004.918
NSW,17147.758,7898.675,8812.168,10974.281,8244.063,7839.818,9500.438,8150.562,8797.693,10466.098,8940.674,9310.702
NT,491.46677,418.8048,484.05057,604.42664,722.6002,912.2453,1211.98,1249.8964,924.9116,997.8453,630.2456,512.14545
QLD,10823.96,5759.7896,5969.4326,7551.1367,6530.8774,6852.441,8811.251,8546.75,9118.256,9081.675,7238.143,7055.1987
SA,3360.8381,1635.1504,1881.0785,2235.2227,1803.2565,1661.8324,2000.4626,1636.7189,1806.7358,2353.4573,1918.4452,1858.3672
TAS,1988.6062,1125.02,1192.7378,1188.3165,804.7188,778.66266,777.48267,583.21405,700.8807,883.36115,917.0018,895.2856
VIC,11403.609,5557.013,6486.5747,6967.5938,5615.966,5416.0186,6157.115,5249.689,5390.4307,6255.488,6171.0264,6062.497
WA,5529.052,2903.3506,3453.4717,4056.1514,2999.878,3336.0264,3863.826,3472.1855,3755.7708,4343.3994,3385.2944,3310.7246
NSW-Blue Mountains,324.7049,174.61417,205.6624,319.2911,241.04459,239.87761,290.2659,188.41136,198.35193,283.23,211.9011,189.11853
NSW-Canberra,768.75867,526.26697,605.7355,670.60535,575.1701,520.6124,708.7092,539.95593,609.6931,729.1261,543.83777,572.51416
NSW-Capital Country,386.58963,202.90047,259.38528,346.49487,249.33821,221.21973,248.58134,199.97826,241.39224,310.59802,301.08966,249.0782
NSW-Central Coast,891.54895,315.71375,297.62817,391.4326,248.44156,243.38388,262.60394,216.7911,246.99628,325.17374,271.88074,397.3653
NSW-Central NSW,922.2013,492.63123,560.3944,825.4783,540.0836,568.02814,650.28125,505.07324,577.0484,853.67645,692.48724,571.3259
NSW-Hunter,1631.2819,713.46216,832.29944,1087.1562,727.86664,675.7834,792.31903,715.0682,740.6031,866.4711,787.5346,877.1602
NSW-New England North West,585.53644,286.37024,369.93948,444.50525,340.60077,357.50494,385.29898,374.95456,350.58112,436.46945,355.85294,311.6602
NSW-North Coast NSW,3910.311,1437.611,1519.064,1966.0613,1341.6367,1252.2726,1557.7125,1367.3679,1530.6456,1905.9905,1589.6279,1639.0946
NSW-Outback NSW,130.89122,101.978325,108.4951,186.42299,181.93248,143.934,213.07231,179.56036,288.7447,213.64743,177.282,287.33115
NSW-Riverina,325.3854,194.3398,244.55136,374.06613,262.1758,222.97704,255.705,199.25563,231.64421,308.76242,215.96631,252.75496
NSW-Snowy Mountains,330.30832,181.80994,184.82979,238.18967,138.9246,178.39218,559.552,502.2156,362.70685,225.97893,185.43643,198.21649
NSW-South Coast,3005.546,930.788,1007.4959,1315.584,826.9496,715.7596,793.85895,683.3399,703.1966,1040.5067,872.31616,1016.9043
NSW-Sydney,3496.9558,2139.126,2372.1465,2492.8337,2332.5137,2281.141,2566.3723,2281.536,2430.6028,2711.9482,2474.1387,2436.6252
NSW-The Murray,437.73694,201.06194,244.54088,316.16003,237.38475,218.93137,216.10571,197.05345,285.48636,254.51814,261.32233,311.5537
NT-Alice Springs,68.22421,79.994095,49.55419,90.44502,74.1802,108.39778,137.58104,114.92064,120.7966,172.93176,111.81158,56.226685
NT-Barkly,17.96655,13.469601,13.898384,26.005562,21.438158,23.010696,34.364883,39.39897,36.19799,30.959194,21.646957,15.953973
NT-Darwin,186.52946,167.65846,222.4859,223.7787,301.1611,393.76282,547.3969,643.0774,394.1858,434.245,232.95995,250.91232
NT-Katherine Daly,104.98251,49.091503,73.50186,98.09491,122.68113,154.86826,186.47324,162.0485,141.47263,137.82352,105.9198,78.97264
NT-Lasseter,39.721443,31.294176,34.067257,57.81268,66.51438,80.504234,106.66471,77.08654,70.32705,83.54129,41.733753,25.675339
NT-Litchfield Kakadu Arnhem,45.08665,48.33016,63.792118,80.1856,99.573456,110.62506,145.13727,169.25912,113.95729,97.45357,90.25236,58.811268
NT-MacDonnell,28.955976,28.96679,26.750853,28.10417,37.05176,41.0765,54.361954,44.10523,47.974247,40.891018,25.921179,25.593203
QLD-Brisbane,2821.5244,1581.5731,1612.5037,1972.5508,1744.683,1698.8749,2041.2828,1852.9161,2004.36,2069.7383,1890.2239,1826.3179
QLD-Bundaberg,253.09148,108.104515,119.797485,182.53242,169.12408,143.42029,200.17038,217.33157,241.31215,171.15244,197.30663,179.06793
QLD-Capricorn,329.41373,218.3015,225.64294,346.27167,274.18265,333.0071,404.75162,403.5495,409.17822,386.4855,283.6238,275.25043
QLD-Fraser Coast,389.6191,114.55751,135.51933,236.70554,157.3858,188.48042,254.85837,294.1149,305.9536,286.70248,208.06052,220.91504
QLD-Gladstone,165.82108,168.84575,169.95073,175.33145,171.91615,172.23482,174.37726,165.66026,167.64827,174.90428,175.39795,170.31076
QLD-Gold Coast,1988.5463,956.3455,952.3971,1173.3975,866.4978,933.0303,1199.3257,1160.6132,1366.2468,1410.6187,1280.5532,1024.9116
QLD-Mackay,348.5895,251.02213,246.75575,281.20297,309.94647,342.97104,421.14996,375.46158,331.89908,375.33228,276.99634,271.48593
QLD-Outback Queensland,318.63806,347.15784,249.97359,369.23117,381.68747,368.8279,486.69623,486.8916,546.22473,408.67615,306.02197,329.55566
QLD-Southern Queensland Country,563.8303,349.54285,457.188,529.06757,419.84055,490.71426,574.5292,479.91577,503.1116,547.06757,423.7088,508.9786
QLD-Sunshine Coast,2210.1921,827.01196,834.2657,1047.342,799.1618,794.55865,1094.9496,1087.4764,1266.3496,1345.8911,983.959,1054.8867
QLD-Townsville,380.12375,204.31795,285.58936,340.80368,325.0062,334.7731,527.9568,547.6072,476.42023,395.33017,275.2516,280.63803
QLD-Tropical North Queensland,766.8768,482.43686,474.84402,627.20416,696.57104,829.6317,1137.7158,1178.3469,1153.3676,1135.6891,692.5448,546.6358
QLD-Whitsundays,287.69263,150.5717,205.00504,269.49612,214.8746,221.91667,293.48697,296.8651,346.18353,374.08682,244.49413,366.24402
SA-Adelaide,1178.6819,643.53107,774.7485,794.4704,702.5698,636.68536,761.1694,666.1103,706.8693,803.11707,731.6137,875.26013
SA-Adelaide Hills,49.86096,51.378162,51.337948,53.434723,52.1708,52.21248,52.718117,49.80979,50.5136,52.75919,52.903675,51.346775
SA-Barossa,63.037243,28.853601,41.023285,58.911835,44.288624,44.824814,51.25605,30.780552,41.536533,57.20532,58.620945,42.503387
SA-Clare Valley,47.932983,26.595222,51.47987,37.60063,46.22197,31.80374,42.37725,29.324703,33.231888,41.76064,47.89589,29.75538
SA-Eyre Peninsula,206.18481,110.06892,152.71004,172.47337,143.72505,100.46299,153.47778,141.58304,115.6628,175.96664,124.70428,107.092415
SA-Fleurieu Peninsula,475.60513,167.29744,157.63309,202.09613,129.43314,124.20781,147.93413,92.29688,105.6526,176.4928,142.20045,154.58083
SA-Flinders Ranges and Outback,203.95271,212.19292,163.61482,286.51025,240.34908,261.48468,375.6659,306.18857,393.81955,497.57376,310.15637,161.35295
SA-Kangaroo Island,95.50334,38.341915,44.237823,56.65244,39.45177,23.404758,33.98946,28.372602,28.45925,49.58316,37.563988,39.293125
SA-Limestone Coast,313.98734,145.8117,153.23363,175.29955,135.70776,127.74036,116.65067,91.46046,97.11131,147.32808,130.29163,123.63564
"SA-Murray River, Lakes and Coorong",149.49463,47.996063,75.58163,78.58992,73.097015,56.673885,56.730442,56.499344,65.04238,87.87813,74.27701,57.994904
SA-Riverland,204.18832,58.750294,86.42187,138.79262,88.15393,92.763,88.40144,71.60065,85.40558,116.51369,95.67236,76.37975
SA-Yorke Peninsula,372.40884,104.332985,129.05592,180.39064,108.08755,109.568436,120.091866,72.691986,83.430954,147.27876,112.54483,139.17192
TAS-East Coast,425.39746,165.67958,175.90883,228.5372,88.2785,119.043625,71.78736,64.325386,110.52124,101.20216,120.16449,135.38348
TAS-Hobart and the South,772.2387,473.7077,499.16144,470.12537,360.85544,339.31882,380.91898,268.3609,315.3819,399.58258,379.724,375.41205
TAS-Launceston and the North,349.0461,222.9087,243.8727,205.25124,151.8736,143.53716,147.33826,131.02458,112.94815,166.71417,184.40031,163.14342
TAS-North West,373.05002,205.07904,208.03065,225.84097,156.35582,140.64868,143.60641,96.924385,131.2947,167.57771,181.1828,178.97763
TAS-West Coast,68.873726,57.645046,65.764175,58.561745,47.355396,36.114357,33.83164,22.578804,30.734669,48.284542,51.53015,42.36895
VIC-Ballarat,202.46898,122.149376,157.81969,164.24121,138.85672,147.0615,143.21706,125.85363,137.34851,163.60214,152.5115,137.66174
VIC-Bendigo Loddon,381.75238,204.50444,243.9935,301.28055,183.88731,258.63858,225.88606,194.67477,200.17926,240.78085,220.35999,201.62265
VIC-Central Highlands,137.62294,61.964653,257.72888,138.57027,75.351166,71.116005,79.947556,67.18028,72.937225,97.70654,104.10831,77.23417
