,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,3651831.75,3650148.75,3651980.25,3651397.0,3652499.75
1,3649073.25,3643615.5,3648382.75,3648750.75,3649813.25
2,3646383.75,3637178.0,3644725.75,3646331.75,3647415.25
3,3643931.0,3632711.0,3642665.0,3642991.75,3644661.5
4,3640785.25,3629191.5,3639343.25,3640272.75,3642280.75
5,3637817.5,3619663.25,3638408.75,3635911.5,3640237.75
6,3631790.75,3617499.5,3632233.25,3631924.25,3636581.0
7,3627795.25,3613069.5,3627553.5,3629400.5,3630499.5
8,3623171.5,3608034.5,3623746.5,3622889.75,3631019.25
9,3615244.25,3603415.25,3618327.75,3619577.5,3624462.25
10,3612710.25,3593013.75,3613832.25,3610248.25,3620482.75
11,3605484.75,3578507.75,3606449.75,3608953.25,3615950.75
12,3601839.75,3574585.25,3604365.25,3600367.0,3611876.5
13,3593380.0,3568065.5,3599539.75,3592820.75,3601617.75
14,3592340.0,3554916.0,3584960.25,3591661.0,3602791.5
15,3583121.75,3552654.75,3581223.75,3582818.0,3590806.5
16,3573909.5,3539077.0,3574618.25,3568715.75,3587172.5
17,3562160.5,3535724.25,3566167.25,3561040.5,3581186.5
18,3551745.0,3512273.75,3563926.0,3559937.0,3571084.5
19,3549451.25,3504702.0,3551326.5,3554418.75,3562424.5
20,3535222.25,3494922.25,3544293.5,3531114.25,3558757.0
21,3518109.0,3491292.0,3527678.75,3528539.0,3547104.75
22,3521271.75,3466517.75,3519371.5,3524967.25,3551874.0
23,3499414.75,3450821.5,3516278.25,3510815.5,3525503.75
24,3498046.5,3447747.5,3491070.75,3502433.0,3510724.5
25,3487630.25,3425494.0,3483287.5,3485561.0,3501486.75
26,3472478.5,3431262.5,3474629.0,3479229.5,3492263.0
27,3459392.0,3413808.0,3462254.75,3467472.0,3491317.25
28,3449261.5,3383159.25,3434342.25,3463564.25,3483919.75
29,3438157.75,3392521.75,3442074.75,3438525.25,3477427.25
30,3418259.25,3376178.75,3408229.0,3427499.75,3453769.25
31,3397553.75,3349698.0,3416134.75,3403820.75,3428522.25
32,3393643.0,3347136.5,3374360.5,3408587.75,3410234.5
33,3354683.0,3307557.0,3365316.5,3402602.25,3468072.75
34,3358984.5,3302071.25,3352903.0,3392796.5,3402759.25
35,3313946.75,3299274.5,3311266.5,3358592.25,3366479.25
36,3311216.75,3253406.0,3335366.0,3354602.75,3363805.0
37,3310048.5,3291331.5,3309450.5,3332807.0,3385153.0
38,3291705.5,3247241.75,3277853.75,3334419.25,3315356.0
39,3293359.0,3235249.25,3266874.0,3312723.0,3315572.75
40,3245786.0,3200020.75,3256145.75,3292621.25,3314442.25
41,3254966.25,3177763.5,3242094.25,3272422.5,3276352.0
42,3210435.0,3174772.25,3227870.0,3260042.25,3274741.5
43,3158641.75,3154879.5,3231321.75,3208937.25,3232626.75
44,3221654.75,3165441.75,3179205.25,3208825.25,3213725.5
45,3154832.75,3136554.5,3172626.5,3231654.0,3188391.5
46,3108022.75,3114158.5,3150324.75,3202299.75,3167306.0
47,3134543.25,3044200.25,3117869.0,3153908.25,3132679.5
48,3156483.5,3056964.75,3136858.75,3166530.5,3118527.75
49,3102885.0,3057439.0,3088779.5,3128940.5,3122821.0
50,3081227.25,3055751.5,3094538.25,3115061.5,3101122.5
51,3034345.5,3012061.5,3061674.25,3105044.25,3064252.5
52,3040908.0,2997625.5,3058434.75,3078037.0,2996356.25
53,3011188.75,2961663.5,3000319.5,3093839.5,2986395.75
54,3022099.25,2955070.75,2998710.75,3087415.75,2982335.5
55,2941889.5,2963357.0,3012778.0,3049399.75,2932654.75
56,2985815.75,2931800.25,2986118.75,3010154.75,2926560.5
57,2877242.25,2941953.0,2921918.5,3030297.5,2895479.25
58,2907688.75,2950598.5,2918466.25,2993095.0,2909587.0
59,2855169.25,2903150.25,2898415.0,2990873.25,2863176.75
60,2882019.75,2830486.75,2873434.5,2951372.0,2816712.25
61,2831571.25,2881468.0,2827563.75,2961077.25,2834057.0
62,2891674.5,2838878.0,2879907.75,2928979.25,2816366.0
63,2800589.0,2797280.25,2841015.75,2867794.75,2887284.25
64,2702131.75,2851058.75,2755432.25,2848943.5,2816981.25
65,2697173.0,2802207.75,2763324.25,2914147.0,2755590.5
66,2742411.75,2762627.5,2777094.25,2842023.0,2762891.0
67,2746521.0,2730595.5,2735849.5,2819310.5,2685719.75
68,2627505.25,2750837.25,2678554.75,2795862.0,2713219.25
69,2569811.75,2669407.75,2643866.75,2780044.5,2665193.5
70,2607022.75,2697175.75,2631394.75,2835295.25,2602830.75
